drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.40808950144823775
CID000004829,drug similarity,mean components,0.5868126625277686
CID000004140,drug similarity,mean components,0.49687977891365964
CID000002909,drug similarity,mean components,0.48316224294023913
CID000003676,drug similarity,mean components,0.4100357600656971
CID000003339,drug similarity,mean components,0.49738327758740786
CID000005656,drug similarity,mean components,0.5147159180543875
CID000000853,drug similarity,mean components,0.5148142271133462
CID000119607,drug similarity,mean components,0.5166876722455869
CID000004889,drug similarity,mean components,0.4634495580273237
CID000003154,drug similarity,mean components,0.60406893449965
CID000005029,drug similarity,mean components,0.5567438830615411
CID000003823,drug similarity,mean components,0.6708510748952212
CID000003937,drug similarity,mean components,0.41111497983535994
CID000003883,drug similarity,mean components,0.4091972910813946
CID000004885,drug similarity,mean components,0.44629516384835044
CID000003961,drug similarity,mean components,0.5320317467537873
CID000060835,drug similarity,mean components,0.48904581743469255
CID000002622,drug similarity,mean components,0.5977749079216387
CID000004609,drug similarity,mean components,0.44902391488540827
CID003468412,drug similarity,mean components,0.4919750678032515
CID000060147,drug similarity,mean components,0.5369439661904492
CID000002244,drug similarity,mean components,0.35818014456921166
CID000002806,drug similarity,mean components,0.34080081130405504
CID000003446,drug similarity,mean components,0.4500440672632967
CID000005352,drug similarity,mean components,0.547544879107533
CID000004112,drug similarity,mean components,0.5129652885819184
CID000004635,drug similarity,mean components,0.4084915837008769
CID000002088,drug similarity,mean components,0.5052455162562147
CID000002311,drug similarity,mean components,0.5298972820914802
CID000000772,drug similarity,mean components,0.384363941971665
CID000003672,drug similarity,mean components,0.4306725309500934
CID000004583,drug similarity,mean components,0.583496413546896
CID000003639,drug similarity,mean components,0.4431694463304656
CID000004585,drug similarity,mean components,0.6397513656308238
CID000003899,drug similarity,mean components,0.5749901987602525
CID000004616,drug similarity,mean components,0.5281283792640504
CID000005064,drug similarity,mean components,0.3834138849270021
CID000003929,drug similarity,mean components,0.6101518559352358
CID000051263,drug similarity,mean components,0.5073156435127246
CID000065999,drug similarity,mean components,0.5522782911242919
CID000083786,drug similarity,mean components,0.4062294277725277
CID000002524,drug similarity,mean components,0.49616809930375316
CID000003405,drug similarity,mean components,0.47067030092129714
CID000667490,drug similarity,mean components,0.5451631285236067
CID000003062,drug similarity,mean components,0.27802270594919454
CID000071616,drug similarity,mean components,0.5714815154957679
CID000004091,drug similarity,mean components,0.44047923860626736
CID000005090,drug similarity,mean components,0.549145194368804
CID000004170,drug similarity,mean components,0.6203765492533176
CID000005095,drug similarity,mean components,0.5229194027515744
CID000005291,drug similarity,mean components,0.5674332684988989
CID000019090,drug similarity,mean components,0.5224669616014601
CID000002802,drug similarity,mean components,0.4268281490355238
CID000004900,drug similarity,mean components,0.5838398866734483
CID000002803,drug similarity,mean components,0.5134497799305676
CID000003365,drug similarity,mean components,0.3964210456521724
CID000000942,drug similarity,mean components,0.5543816602549793
CID000062924,drug similarity,mean components,0.4790791509585499
CID000001065,drug similarity,mean components,0.5183248785940132
CID000005512,drug similarity,mean components,0.4707895422664121
CID000041781,drug similarity,mean components,0.46248462819289027
CID000005039,drug similarity,mean components,0.40042280512693007
CID000004679,drug similarity,mean components,0.6038249396311038
CID000005523,drug similarity,mean components,0.487935685684761
CID000002520,drug similarity,mean components,0.4158340197997137
CID000005038,drug similarity,mean components,0.5212365020923881
CID000005035,drug similarity,mean components,0.612460929620966
CID000005426,drug similarity,mean components,0.5293897061205688
CID000002662,drug similarity,mean components,0.47525017959507465
CID000004873,drug similarity,mean components,0.38139104187121076
CID000005556,drug similarity,mean components,0.5357926048944642
CID000006691,drug similarity,mean components,0.4452411597636443
CID000002666,drug similarity,mean components,0.5273755564177937
CID000002749,drug similarity,mean components,0.4782421598353471
CID000004411,drug similarity,mean components,0.5004967441129926
CID000004748,drug similarity,mean components,0.641622119941636
CID000005533,drug similarity,mean components,0.6501023452199505
CID004475485,drug similarity,mean components,0.49497753921050436
CID000003016,drug similarity,mean components,0.530013715065303
CID000003379,drug similarity,mean components,0.5615634264719477
CID000005719,drug similarity,mean components,0.6453942676031511
CID000003440,drug similarity,mean components,0.5075690770427482
CID000003325,drug similarity,mean components,0.38940883209759514
CID000003403,drug similarity,mean components,0.6514413459809201
CID000002118,drug similarity,mean components,0.42340093691263836
CID000003382,drug similarity,mean components,0.57952373807446
CID000003463,drug similarity,mean components,0.4735732800266659
CID000004510,drug similarity,mean components,0.5625513245616713
CID000004058,drug similarity,mean components,0.5720100928867996
