Relation,AUROC,AUPRC,AP@50
C0005779,0.9635548007075916,0.954420885134028,1.0
C0011991,0.9539733396621969,0.9373830446253619,0.967104287557712
C0011860,0.9711850400930403,0.960489254391971,1.0
C0038395,0.9602038051559267,0.9477894626970211,0.9541824369006789
C1145670,0.9521480672315694,0.9326212846293239,1.0
C0012833,0.9531862499666416,0.938842663939714,1.0
C0520474,0.9597658572384066,0.9471812451743563,0.9391187567802584
C0021400,0.965289256198347,0.957644834351169,1.0
C0024902,0.9797241676270564,0.9757403616811607,1.0
C0043144,0.9644844368194391,0.951622031590201,0.9779148555444378
C0085682,0.9580217008577957,0.944959547790933,0.9717918577482021
C0020676,0.9670810080553522,0.9575937813453499,1.0
C0151825,0.9669827097505669,0.9619809709614879,1.0
C0013604,0.947816127727851,0.9249650641553953,0.8353250182117555
C0042571,0.9605241783796723,0.9461932353169027,1.0
C0009782,0.9697001249479383,0.9578034100883819,0.9369449946399065
C0008325,0.9696833916907641,0.9621747201727259,1.0
C0013144,0.9559971464314885,0.9435558291148163,0.9783496381531335
C0013362,0.9585328623678232,0.9456692003198561,0.9750867540121387
C0031046,0.9547405704635017,0.9439508322188196,0.9678450282984528
C0043246,0.9720918838449508,0.9684155446968997,1.0
C0151908,0.9581924001181575,0.9420772913295621,0.9356825599000778
C0231807,0.9655968576253169,0.946385244812234,0.8706687364113465
C0026946,0.9636811249154693,0.9501268642118614,0.9755867540121388
C0162297,0.9541898027826593,0.9415614923194947,0.9685593140127385
C0235946,0.9472173106213126,0.9220661744923825,0.8740018761261791
C0030554,0.949821451806445,0.9333040991534494,1.0
C0040034,0.9441011587267336,0.9292544774843544,1.0
C0032285,0.9567943629697756,0.9417169685017772,0.8943915330732771
C0151723,0.9670801999446496,0.9562719103070946,0.9356825599000778
C0036983,0.9575265080305455,0.9480530336984958,1.0
C0025286,0.9824233016800585,0.9816214015845609,1.0
C0027121,0.9666470114360222,0.9584820765011113,0.9795999999999999
C0027022,0.9685650887573964,0.9598847135763813,0.8879016175244105
C0013384,0.9469499517083063,0.9242819078521849,0.920015893233411
C0016436,0.9617964832992021,0.9559777480709272,0.9717918577482021
C0004610,0.9669399987960199,0.9582996587209811,1.0
C0003873,0.9724854656799138,0.9660329533235611,0.9576304730979908
C0575090,0.9547603507246348,0.9450466370153923,1.0
C0442874,0.958257382825786,0.947796234505907,1.0
C0678222,0.9732103117377914,0.9628622665655381,0.976550749366378
C0700594,0.9640276230786367,0.951586766536283,0.9557514513492991
C0011849,0.962211616431312,0.9505363887567445,1.0
C0024141,0.9668253326936189,0.961081358531626,1.0
C0042029,0.9598865701581015,0.9449125721321848,0.9599180547973373
C0027497,0.9512549404202535,0.9384863840654449,1.0
C0262385,0.9513535426332148,0.939000497155806,0.9287455680437929
C0002622,0.9605759267642472,0.9507416126048694,0.9750867540121387
C0917801,0.9574076517841247,0.9497283643071116,1.0
C0020615,0.9522427057628103,0.9346998025264255,0.9536185683360862
C0011168,0.964567413958713,0.9547172067535978,0.9755867540121388
C0008033,0.9560385009312262,0.9425015524572996,0.9750867540121387
C0011615,0.9381033323113421,0.9110006754660099,0.90979391322895
C0042487,0.9554799293941073,0.9377376936437871,0.9276796813225846
C0017152,0.9637904147785833,0.9548968540073919,0.9504134401309579
C0009806,0.9594105593862639,0.9455763507825584,0.9663350567884812
C0036689,0.98678700769579,0.9868177564387557,1.0
C0026650,0.957745517984104,0.9446117379087144,0.955594917277445
C0042909,0.9762534643487024,0.9746439743548099,0.9750867540121387
C0038362,0.9621616136166402,0.9516532374123023,1.0
C0029408,0.9610424337740939,0.94571389148487,0.93465741294056
C0037315,0.9682095195018477,0.9551904701957203,0.98
C0033687,0.9567428540649239,0.9338706329139285,0.9274450581189211
C0012569,0.9611529649954712,0.943358686521118,0.8981702171783446
C0035309,0.958295409461131,0.9447889296496794,0.9443730360905538
C0016977,0.9596341660362604,0.9469911183332765,0.920015893233411
C0013473,0.9685123552295969,0.9647851821051618,1.0
C0004144,0.9625287178012272,0.9512615938549027,1.0
C0018681,0.9517972480105678,0.9361990961568262,1.0
C0008350,0.9588183220738955,0.944104174359946,0.9539070771693041
C0027051,0.9555907394735234,0.9434225010073041,0.9550471397646575
C0030794,0.9741003460207611,0.970240628505565,1.0
C0004238,0.9591429221163369,0.9457139237939943,0.9655350567884813
C0005697,0.967273156899811,0.9621177512730217,0.9717918577482021
C0011606,0.9477277970011534,0.922754776175819,0.8648126928620152
C0020517,0.9424728569113595,0.9210248091266664,1.0
C0011175,0.9581351936624544,0.9421757954980771,1.0
C0030193,0.9587871360795505,0.9485636985528112,1.0
C0152031,0.9584067935886218,0.9454277568457128,0.9443730360905538
C0004604,0.9617539964889658,0.9516512503620789,1.0
C0030196,0.9572242533877308,0.9395700689937065,0.9153716454436419
C0039239,0.9657177530397442,0.954891485091955,0.9505762785100316
C0018808,0.9605579230969551,0.9457445644948261,0.9787751700680271
C0018524,0.9570616725698945,0.9436776153421608,0.967104287557712
C0039070,0.9487080194511888,0.9319145210693034,0.9599180547973373
C0019079,0.9576083656603136,0.9352581117925644,0.8500514762753633
C0031039,0.9593713191608594,0.9462475657871761,1.0
C0035854,0.9854660431501753,0.9853187924899528,1.0
C0011882,0.9709191175095121,0.9648090513534313,0.9729515216137484
C0000731,0.9637000880294923,0.9572848499934069,1.0
C0009676,0.9545758507066556,0.9344442626721379,0.9199869584579017
C0005758,0.9539673021083197,0.9345513686849045,0.9285700899498353
C0043117,0.9578796260635132,0.9297070504186077,0.8738913415144589
C0344232,0.9598121761838111,0.9466213071958482,1.0
C0018944,0.9633802288413237,0.9537201844869727,1.0
C0019360,0.9670885515122873,0.9583729868621191,1.0
C0221245,0.9694173602853745,0.9614212495408883,0.9491066516942641
C0025345,0.9696969696969696,0.9678525214790057,0.9787751700680271
C0003850,0.9636637722414483,0.9467127835998745,0.9030709695060062
C0011848,0.9637096774193549,0.9558380366547198,0.9550471397646575
C0004096,0.963648575278007,0.9481643511007792,0.8961026472455506
C0000833,0.9663825993783633,0.9616391451694606,1.0
C0030446,0.9602255617695573,0.946500826404595,0.9504134401309579
C0036974,0.9569098510119033,0.9426452522341942,0.9705607971421415
C0026764,0.972081386401969,0.9664861738793452,1.0
C0003123,0.9478612602734421,0.9254762931515418,0.9740476177098445
C0034212,0.9641430017582183,0.9537191358098438,1.0
C0037199,0.9721055288827924,0.961615343325102,0.9215059213790385
C0575081,0.9589484055095506,0.9470643661124045,0.9692489691851524
C0162283,0.9551195915076593,0.9439355721488285,0.9288831735850713
C0152025,0.9648477210670027,0.9487619443068729,0.9443730360905538
C0020456,0.9544076300779952,0.9351650662014386,0.9795999999999999
C0033860,0.969207227039652,0.9629894497804289,1.0
