side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6934668544307099,0.6714092423718341,0.5711990412516598
C0000737,tail,0.7077496711231651,0.6991861598382678,0.7209999945535073
C0000737,both,0.5480864873635958,0.5379182167224134,0.3879657838861026
C0000768,head,0.8544756050710719,0.8210959663980458,0.7665641876776327
C0000768,tail,0.8528108592649507,0.8244725364389317,0.8214175984623499
C0000768,both,0.5719426302983737,0.5549816247475241,0.3605240196249548
C0000786,head,0.8310736882165453,0.7973723808372872,0.7316733689763427
C0000786,tail,0.8744113029827315,0.8640790542865496,0.8553408805297633
C0000786,both,0.6495885067313638,0.6563747093844107,0.5800088996106623
C0000833,head,0.8331553486673967,0.7982271964879685,0.6936046598157698
C0000833,tail,0.8726839174881342,0.8329427363506287,0.7674752843904201
C0000833,both,0.586676250456371,0.5553655940400221,0.2917837575491319
C0001122,head,0.8191329226301299,0.789790529637137,0.8694375851424225
C0001122,tail,0.8571457325445149,0.8271201553963615,0.7993708810084299
C0001122,both,0.6010940903307431,0.5698904641946666,0.4272941454375536
C0001126,head,0.8228327228327228,0.8049387285037378,0.7213766171150613
C0001126,tail,0.8709401709401711,0.8425945049229597,0.7832775764478823
C0001126,both,0.5995115995115996,0.5942030179573491,0.3998032960938896
C0001339,head,0.8558177643923568,0.8257931923941265,0.8311004921641486
C0001339,tail,0.8568859880929411,0.8167487614573512,0.7652312420993066
C0001339,both,0.644935864632008,0.6001504566404079,0.3042673010560262
C0001418,head,0.8383834953196612,0.7985115934807425,0.7555180165424115
C0001418,tail,0.8587841496802727,0.8127089667408075,0.8208389364952007
C0001418,both,0.5820696135536423,0.5466608708924604,0.2955809186840364
C0001430,head,0.903346110017611,0.8843469127819098,0.867302444865347
C0001430,tail,0.9051331192375428,0.8886994460728723,0.9337172271101302
C0001430,both,0.6884129286232259,0.6525782486592278,0.5217723616922327
C0001546,head,0.851236004877508,0.8343696442191444,0.7734581372295155
C0001546,tail,0.927502494180246,0.9156091567639232,0.8737094430772878
C0001546,both,0.6107970291541958,0.5723516785963325,0.3335061115124278
