drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.4297690350748854
CID000004829,drug similarity,mean components,0.4308690302879161
CID000004140,drug similarity,mean components,0.5161540755809245
CID000002909,drug similarity,mean components,0.399459577680923
CID000003676,drug similarity,mean components,0.4381636879925721
CID000003339,drug similarity,mean components,0.4927251885152448
CID000005656,drug similarity,mean components,0.442891922748477
CID000000853,drug similarity,mean components,0.4881367873766187
CID000119607,drug similarity,mean components,0.30411509357660493
CID000004889,drug similarity,mean components,0.591247616426108
CID000003154,drug similarity,mean components,0.5658523154059553
CID000005029,drug similarity,mean components,0.5651563383558714
CID000003823,drug similarity,mean components,0.5204079344887966
CID000003937,drug similarity,mean components,0.33472737686958753
CID000003883,drug similarity,mean components,0.5207587330968226
CID000004885,drug similarity,mean components,0.4105749741447312
CID000003961,drug similarity,mean components,0.5336487286183865
CID000060835,drug similarity,mean components,0.4200448601207636
CID000002622,drug similarity,mean components,0.6326066495788764
CID000004609,drug similarity,mean components,0.5028664544568511
CID003468412,drug similarity,mean components,0.4578657629127725
CID000060147,drug similarity,mean components,0.46717995094174425
CID000002244,drug similarity,mean components,0.3436730747943625
CID000002806,drug similarity,mean components,0.4902179667605695
CID000003446,drug similarity,mean components,0.4484983411253558
CID000005352,drug similarity,mean components,0.42403133690774186
CID000004112,drug similarity,mean components,0.47831951921467875
CID000004635,drug similarity,mean components,0.4403627208868497
CID000002088,drug similarity,mean components,0.34825936267016133
CID000002311,drug similarity,mean components,0.43646997057153913
CID000000772,drug similarity,mean components,0.3109803850444729
CID000003672,drug similarity,mean components,0.4028206857660386
CID000004583,drug similarity,mean components,0.5040482249917203
CID000003639,drug similarity,mean components,0.41732299958582053
CID000004585,drug similarity,mean components,0.510561680724275
CID000003899,drug similarity,mean components,0.5238159270332822
CID000004616,drug similarity,mean components,0.5064024906397745
CID000005064,drug similarity,mean components,0.4918252620861072
CID000003929,drug similarity,mean components,0.4538870376477666
CID000051263,drug similarity,mean components,0.6049039427034654
CID000065999,drug similarity,mean components,0.4747440557837863
CID000083786,drug similarity,mean components,0.4167133036083863
CID000002524,drug similarity,mean components,0.5152013143242059
CID000003405,drug similarity,mean components,0.41858272851908995
CID000667490,drug similarity,mean components,0.6017435618907649
CID000003062,drug similarity,mean components,0.4859943504288886
CID000071616,drug similarity,mean components,0.5887585974150846
CID000004091,drug similarity,mean components,0.4758620915140672
CID000005090,drug similarity,mean components,0.3446458551626852
CID000004170,drug similarity,mean components,0.48024228666021607
CID000005095,drug similarity,mean components,0.5191488596730335
CID000005291,drug similarity,mean components,0.43691064148342384
CID000019090,drug similarity,mean components,0.6266221857540973
CID000002802,drug similarity,mean components,0.44046307209467006
CID000004900,drug similarity,mean components,0.6339766298014152
CID000002803,drug similarity,mean components,0.3497872620775816
CID000003365,drug similarity,mean components,0.45174702038622594
CID000000942,drug similarity,mean components,0.40643543172085783
CID000062924,drug similarity,mean components,0.5055488042298186
CID000001065,drug similarity,mean components,0.5144700024426252
CID000005512,drug similarity,mean components,0.48426359530439633
CID000041781,drug similarity,mean components,0.3991086072253536
CID000005039,drug similarity,mean components,0.2738481140915817
CID000004679,drug similarity,mean components,0.564828778832432
CID000005523,drug similarity,mean components,0.5779267478933378
CID000002520,drug similarity,mean components,0.42928208645768917
CID000005038,drug similarity,mean components,0.46884877782027945
CID000005035,drug similarity,mean components,0.4760865709487334
CID000005426,drug similarity,mean components,0.4915649466197779
CID000002662,drug similarity,mean components,0.5238292367299453
CID000004873,drug similarity,mean components,0.40287335076168984
CID000005556,drug similarity,mean components,0.45276708394389575
CID000006691,drug similarity,mean components,0.41796713980706324
CID000002666,drug similarity,mean components,0.562036749550839
CID000002749,drug similarity,mean components,0.4526719317893797
CID000004411,drug similarity,mean components,0.4597260684153255
CID000004748,drug similarity,mean components,0.5985756233038622
CID000005533,drug similarity,mean components,0.4332246351248057
CID004475485,drug similarity,mean components,0.4262736790175917
CID000003016,drug similarity,mean components,0.5592279419125852
CID000003379,drug similarity,mean components,0.5331920217676097
CID000005719,drug similarity,mean components,0.402170984118435
CID000003440,drug similarity,mean components,0.5025473814133312
CID000003325,drug similarity,mean components,0.3666775764142862
CID000003403,drug similarity,mean components,0.3605633912685482
CID000002118,drug similarity,mean components,0.3771261070955503
CID000003382,drug similarity,mean components,0.568428322190384
CID000003463,drug similarity,mean components,0.3419047679308487
CID000004510,drug similarity,mean components,0.4135767643700863
CID000004058,drug similarity,mean components,0.6303028560084888
CID000004171,drug similarity,mean components,0.4308641691143247
CID000005647,drug similarity,mean components,0.43080763572848113
CID000003308,drug similarity,mean components,0.4114259641846778
CID000004173,drug similarity,mean components,0.38571890625939
CID000000450,drug similarity,mean components,0.4943832113874941
CID000060854,drug similarity,mean components,0.40898266901077873
CID000002895,drug similarity,mean components,0.5243113231243826
CID000005650,drug similarity,mean components,0.33439716633448957
