side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6810970288078722,0.6624340213984818,0.7215623652639693
C0000737,tail,0.7093671076803607,0.6971737940837195,0.6239887983683453
C0000737,both,0.5601159037303616,0.5470340735473463,0.3791388120969969
C0000768,head,0.8171212703291074,0.7879143304820275,0.7494772324651077
C0000768,tail,0.8569855295172237,0.825277554433976,0.7872274405768984
C0000768,both,0.5600973236009732,0.5819656096760661,0.4518380445726668
C0000786,head,0.8092859521430951,0.7783697628818895,0.7190587872649885
C0000786,tail,0.8783121640264496,0.8735912858288573,0.8766384715772925
C0000786,both,0.6407402121687835,0.5944714475062849,0.354561893322317
C0000833,head,0.8249965772179627,0.7872492818514335,0.7734984544025678
C0000833,tail,0.8814736217597664,0.8492145159797035,0.8518621788538677
C0000833,both,0.6251380522088352,0.6046404119228035,0.5653420597401574
C0001122,head,0.8112097533624228,0.7881040808919935,0.8827991777850112
C0001122,tail,0.857673368748697,0.8248212765577236,0.9277108561577428
C0001122,both,0.5998015972856208,0.5757750342891972,0.4776792515177059
C0001126,head,0.8241758241758241,0.7996174562131693,0.7097215422472408
C0001126,tail,0.8614163614163615,0.8178007359316607,0.7401103912001207
C0001126,both,0.6090354090354091,0.585693583984876,0.3539884957420045
C0001339,head,0.8268387010176088,0.7951857399756406,0.8521582259031607
C0001339,tail,0.8719599667788022,0.8455395437265081,0.8805767835799074
C0001339,both,0.6382482809148693,0.6342582772859441,0.7202696501471207
C0001418,head,0.8202904621468989,0.7808510714934058,0.7507505496008615
C0001418,tail,0.8608955381587711,0.8107528716317505,0.7068542411769411
C0001418,both,0.6046816596004023,0.5859856855408452,0.5093959987440904
C0001430,head,0.8936341033875479,0.8863295299138261,0.926126010222971
C0001430,tail,0.9145861390241375,0.8959050878742842,0.9171810273519704
C0001430,both,0.6979177457785144,0.677983143035369,0.6341395853745712
C0001546,head,0.8290655138011307,0.7964681258047903,0.6942835428289547
C0001546,tail,0.9351513136015964,0.9203914172625228,0.8771829848670927
C0001546,both,0.7023611572996342,0.6916351414884581,0.5511024660594129
C0001623,head,0.8447111111111112,0.8161984440846053,0.8463422834431552
C0001623,tail,0.8773666666666666,0.867625503796588,0.9619706863762846
C0001623,both,0.6098,0.613568849423853,0.6204706182436298
C0001818,head,0.8392479435957697,0.8172641717178215,0.7706233727944101
C0001818,tail,0.9229925577751664,0.9155559369529728,0.9136635279827184
C0001818,both,0.6621229925577752,0.626198442707051,0.4647936604503572
C0001824,head,0.799432265451683,0.7580127859981326,0.7128697452318556
C0001824,tail,0.853486319505737,0.8238944364214342,0.901098159160004
C0001824,both,0.582238019131223,0.5625698232592706,0.4250392602378067
C0001948,head,0.8431839315603497,0.8221837473166725,0.8685041063847126
C0001948,tail,0.8708573554026409,0.8338487979603748,0.7610731598653896
C0001948,both,0.6597855061682476,0.6304941504900139,0.455936850089742
C0001969,head,0.8805361305361306,0.868814664008131,0.9043662449423998
C0001969,tail,0.8584887334887334,0.83182938885499,0.8078704803939449
C0001969,both,0.6317501942501943,0.6226712312776275,0.4935708328682221
C0002064,head,0.8365079365079365,0.7991697477028756,0.6964752131902823
C0002064,tail,0.91005291005291,0.9031576644203868,0.8993350190624412
C0002064,both,0.621957671957672,0.6004756494270527,0.4322480564727493
C0002103,head,0.8806944444444444,0.8498886903287075,0.7980414433529436
C0002103,tail,0.9185536398467432,0.9031821046652088,0.9385226418536255
C0002103,both,0.6617001915708811,0.6605988924211218,0.6285083572538303
C0002170,head,0.8063503601400912,0.7661280032070652,0.855998950281483
C0002170,tail,0.8790684716723837,0.8510857926547468,0.9272842705672778
C0002170,both,0.636525083652223,0.6226488568030921,0.7310636271616993
C0002390,head,0.8251422250316055,0.768047197345705,0.6527208063184119
C0002390,tail,0.8829013906447536,0.871338611601032,0.8600860761237589
C0002390,both,0.6559734513274336,0.6395654135244215,0.4958086689415586
C0002453,head,0.8892062844317487,0.8744584198356737,0.901296633397144
C0002453,tail,0.9130449568115352,0.8923421054942048,0.8930935879267576
C0002453,both,0.698054818744474,0.6879812436669002,0.6376299344904843
C0002622,head,0.8198685469551101,0.7761343926764293,0.7096855843839126
