side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6875117207647328,0.6776830830706291,0.6337687629257568
C0000737,tail,0.7074888877298516,0.702916019890238,0.7397096806069818
C0000737,both,0.5647624842805565,0.5473161532017381,0.354030328489285
C0000768,head,0.8377385068510693,0.8073520513295995,0.7654675553204262
C0000768,tail,0.8554104238698939,0.8376335461933382,0.8307560170904353
C0000768,both,0.6184018440261237,0.6039026423968255,0.4462131322959652
C0000786,head,0.8181818181818181,0.7827753599071108,0.6822975207659028
C0000786,tail,0.8753627325055897,0.8777339512354645,0.9083718019416072
C0000786,both,0.6472575044003617,0.6488507828056533,0.5554638331072963
C0000833,head,0.8227021723256663,0.7982336460367638,0.7727535248640288
C0000833,tail,0.860631161007667,0.8287223469583429,0.8419498738110134
C0000833,both,0.5613841730558597,0.5354727865027952,0.214447494325441
C0001122,head,0.7971921702812861,0.7679468642883115,0.8198359606895849
C0001122,tail,0.8447139334775826,0.8064974131318423,0.8156328345630475
C0001122,both,0.5648050837101307,0.5460738042344496,0.4367539379521444
C0001126,head,0.7915750915750915,0.7422377929386463,0.5991483718168628
C0001126,tail,0.8595848595848596,0.840772274714462,0.7919439270429157
C0001126,both,0.5937728937728939,0.5691794163272816,0.3504977832498339
C0001339,head,0.8478676073746584,0.8290947513865246,0.9576304730979908
C0001339,tail,0.8422636275422746,0.8062100789584585,0.8566089577974527
C0001339,both,0.637242976149529,0.6231970645934052,0.5265492617322071
C0001418,head,0.8211546408092334,0.7954988148374074,0.8341426673194643
C0001418,tail,0.8503744459727953,0.7939181801511472,0.6685469053927078
C0001418,both,0.5854734963196933,0.5724158158788869,0.4197659502663918
C0001430,head,0.8800113954211125,0.8677874165623953,0.9097465544174976
C0001430,tail,0.8885579612555683,0.8678329466563566,0.8905568131214666
C0001430,both,0.6176577229876722,0.5843075641029738,0.3576716647170322
C0001546,head,0.8233011861212726,0.8181051100945357,0.7909641614383999
C0001546,tail,0.9227358385988248,0.9166410291642664,0.8906906891339156
C0001546,both,0.6284225695599157,0.6413143287124435,0.5113546813840371
C0001623,head,0.8205666666666668,0.7894568532359116,0.7965945137142628
C0001623,tail,0.8676333333333333,0.8569321929733125,0.9420822641979164
C0001623,both,0.5378333333333334,0.5295536659597424,0.2283845458130356
C0001818,head,0.8219349784567176,0.7968401037531798,0.77874191048465
C0001818,tail,0.9231492361927144,0.920379570549162,0.9383233589457984
C0001818,both,0.7018409714061887,0.6994131899678271,0.6726517091173495
C0001824,head,0.8010006917773909,0.7678616838393646,0.8288403063773205
C0001824,tail,0.8260358770067507,0.7892554832958357,0.8236726963302385
C0001824,both,0.5649435843610601,0.5607931384735073,0.4062506490313
C0001948,head,0.8525695865104457,0.8302485580449835,0.8466457414962402
C0001948,tail,0.85837207860641,0.839151596220729,0.8484949205341469
C0001948,both,0.6342694191308659,0.6150402528709946,0.5231547483005226
C0001969,head,0.8664044289044289,0.8478758625918101,0.8302218106272866
C0001969,tail,0.8373640248640248,0.791204426061587,0.6700301997852673
C0001969,both,0.5291375291375291,0.5188109173966358,0.2575495982876619
C0002064,head,0.8540564373897708,0.7953210481694323,0.6744833979286247
C0002064,tail,0.899647266313933,0.8787572120960347,0.8408034345861429
C0002064,both,0.6148148148148148,0.5668115738162494,0.3478619092470231
C0002103,head,0.8754980842911877,0.8482193357331392,0.8947884732368248
C0002103,tail,0.8853687739463602,0.8703202031904795,0.9705607971421416
C0002103,both,0.6108141762452106,0.5827945841325312,0.3076846976376121
C0002170,head,0.80476141845335,0.7699962989684177,0.7333915927623016
C0002170,tail,0.8634246048671477,0.837841758570327,0.9060591833316688
C0002170,both,0.5841132864360248,0.5606414086472419,0.3560176806136679
C0002390,head,0.8550884955752213,0.823100302859149,0.7544637220974397
C0002390,tail,0.8999683944374209,0.9009363305281252,0.9306858575794849
C0002390,both,0.6395385587863465,0.6075583923386384,0.4213806905468866
C0002453,head,0.8789362715092158,0.8806487122926007,0.9750867540121388
C0002453,tail,0.8837652179827247,0.8419323966333734,0.755581223479473
C0002453,both,0.6472828674420187,0.6410029864600482,0.4882981528731648
