drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.4975739637904082
CID000004829,drug similarity,mean components,0.5575240287432262
CID000004140,drug similarity,mean components,0.5369194647045097
CID000002909,drug similarity,mean components,0.4314108820765974
CID000003676,drug similarity,mean components,0.5253803968581954
CID000003339,drug similarity,mean components,0.601723332359986
CID000005656,drug similarity,mean components,0.6046767259280852
CID000000853,drug similarity,mean components,0.5323340571305761
CID000119607,drug similarity,mean components,0.5079500023705368
CID000004889,drug similarity,mean components,0.5502828682794793
CID000003154,drug similarity,mean components,0.6452723724371193
CID000005029,drug similarity,mean components,0.5823143463886316
CID000003823,drug similarity,mean components,0.6023063676390968
CID000003937,drug similarity,mean components,0.5693779221041005
CID000003883,drug similarity,mean components,0.49029914577883726
CID000004885,drug similarity,mean components,0.5142807309142065
CID000003961,drug similarity,mean components,0.5479392709612192
CID000060835,drug similarity,mean components,0.49783266243230506
CID000002622,drug similarity,mean components,0.6297837582400827
CID000004609,drug similarity,mean components,0.5115409783679201
CID003468412,drug similarity,mean components,0.600559054706277
CID000060147,drug similarity,mean components,0.5150070152980154
CID000002244,drug similarity,mean components,0.5019061642701694
CID000002806,drug similarity,mean components,0.5960602129006495
CID000003446,drug similarity,mean components,0.45446475337099257
CID000005352,drug similarity,mean components,0.6147798805874618
CID000004112,drug similarity,mean components,0.5195392169336801
CID000004635,drug similarity,mean components,0.46144888996154476
CID000002088,drug similarity,mean components,0.3739809819584232
CID000002311,drug similarity,mean components,0.4786418983220002
CID000000772,drug similarity,mean components,0.40773588722210374
CID000003672,drug similarity,mean components,0.4800862550517899
CID000004583,drug similarity,mean components,0.5886708400149295
CID000003639,drug similarity,mean components,0.60176538865254
CID000004585,drug similarity,mean components,0.6536724760047988
CID000003899,drug similarity,mean components,0.5466562725068255
CID000004616,drug similarity,mean components,0.5804285112602607
CID000005064,drug similarity,mean components,0.49175554528231036
CID000003929,drug similarity,mean components,0.5984706386861166
CID000051263,drug similarity,mean components,0.5759259355659263
CID000065999,drug similarity,mean components,0.6687255789008892
CID000083786,drug similarity,mean components,0.46672111423221607
CID000002524,drug similarity,mean components,0.4880001975311099
CID000003405,drug similarity,mean components,0.5467837430550917
CID000667490,drug similarity,mean components,0.5636199724487818
CID000003062,drug similarity,mean components,0.4236955001787921
CID000071616,drug similarity,mean components,0.6004156327720647
CID000004091,drug similarity,mean components,0.48067585554329195
CID000005090,drug similarity,mean components,0.5323317801693346
CID000004170,drug similarity,mean components,0.6522933521871981
CID000005095,drug similarity,mean components,0.5798902114514806
CID000005291,drug similarity,mean components,0.6347026351455706
CID000019090,drug similarity,mean components,0.5368452952574584
CID000002802,drug similarity,mean components,0.5504861343017686
CID000004900,drug similarity,mean components,0.48411643608712396
CID000002803,drug similarity,mean components,0.6143436285678727
CID000003365,drug similarity,mean components,0.524247169937412
CID000000942,drug similarity,mean components,0.5788537168405553
CID000062924,drug similarity,mean components,0.5634584615232925
CID000001065,drug similarity,mean components,0.5415569920628256
CID000005512,drug similarity,mean components,0.580519147244196
CID000041781,drug similarity,mean components,0.6173903909680417
CID000005039,drug similarity,mean components,0.35202348726702704
CID000004679,drug similarity,mean components,0.5240417789387618
CID000005523,drug similarity,mean components,0.5630702265519834
CID000002520,drug similarity,mean components,0.5702329431334799
CID000005038,drug similarity,mean components,0.5881621250776179
CID000005035,drug similarity,mean components,0.6405351962383602
CID000005426,drug similarity,mean components,0.5509191577272584
CID000002662,drug similarity,mean components,0.42846501450104846
CID000004873,drug similarity,mean components,0.5185531744345606
CID000005556,drug similarity,mean components,0.5315305318135852
CID000006691,drug similarity,mean components,0.46109342664398556
CID000002666,drug similarity,mean components,0.5233302738303096
CID000002749,drug similarity,mean components,0.5698206851837218
CID000004411,drug similarity,mean components,0.588541762573253
CID000004748,drug similarity,mean components,0.6249908420166781
CID000005533,drug similarity,mean components,0.596420863657894
CID004475485,drug similarity,mean components,0.5422682336707748
CID000003016,drug similarity,mean components,0.5410902229187642
CID000003379,drug similarity,mean components,0.5516688204765381
CID000005719,drug similarity,mean components,0.6080284822388543
CID000003440,drug similarity,mean components,0.6277027647146408
CID000003325,drug similarity,mean components,0.5209860948931299
CID000003403,drug similarity,mean components,0.57934060276004
CID000002118,drug similarity,mean components,0.5827940041906273
CID000003382,drug similarity,mean components,0.5430434149250465
CID000003463,drug similarity,mean components,0.5353993261474532
CID000004510,drug similarity,mean components,0.42972219040342163
CID000004058,drug similarity,mean components,0.5783050893585442
CID000004171,drug similarity,mean components,0.5150329495450338
CID000005647,drug similarity,mean components,0.5113364313684963
CID000003308,drug similarity,mean components,0.6368263804525132
CID000004173,drug similarity,mean components,0.5198332523192942
CID000000450,drug similarity,mean components,0.544779366212906
CID000060854,drug similarity,mean components,0.6730591089893935
CID000002895,drug similarity,mean components,0.6454108390831793
CID000005650,drug similarity,mean components,0.5447308614062443
CID000028112,drug similarity,mean components,0.4946468936179802
CID000004927,drug similarity,mean components,0.5301298561645748
CID000003784,drug similarity,mean components,0.5810703376534005
CID000005402,drug similarity,mean components,0.6330832531396929
CID000005732,drug similarity,mean components,0.5272191042862416
CID000003958,drug similarity,mean components,0.5538341845076361
CID000005487,drug similarity,mean components,0.5909178089858622
CID000002022,drug similarity,mean components,0.5042425813977837
CID000003345,drug similarity,mean components,0.5321075531070768
CID000003878,drug similarity,mean components,0.6170803704902516
CID000005358,drug similarity,mean components,0.6912344404102335
CID000002656,drug similarity,mean components,0.5893472954691308
CID000005391,drug similarity,mean components,0.5239441593394911
CID000004946,drug similarity,mean components,0.48178392468583253
CID000060865,drug similarity,mean components,0.5946191476146665
CID000001302,drug similarity,mean components,0.5776100846651169
CID000002678,drug similarity,mean components,0.5677436436574563
CID000004634,drug similarity,mean components,0.5543770999137597
CID000125889,drug similarity,mean components,0.4230647017595024
CID000002771,drug similarity,mean components,0.5840924216968965
CID000003640,drug similarity,mean components,0.4879037649565394
CID000000444,drug similarity,mean components,0.4963860426121207
CID000024011,drug similarity,mean components,0.5572529001695873
CID000002171,drug similarity,mean components,0.548283510085523
CID000054808,drug similarity,mean components,0.5047214837903979
CID000005040,drug similarity,mean components,0.5517853785286136
CID000005077,drug similarity,mean components,0.4999127161030792
CID000002083,drug similarity,mean components,0.5155428123091935
CID000002375,drug similarity,mean components,0.5624622063396407
CID006398525,drug similarity,mean components,0.5545732335291397
CID000002801,drug similarity,mean components,0.6343354837694704
CID005311297,drug similarity,mean components,0.5857967887204976
CID000005645,drug similarity,mean components,0.5783598822647344
CID000060831,drug similarity,mean components,0.4953929301672162
CID000002609,drug similarity,mean components,0.6060774216755553
CID000124087,drug similarity,mean components,0.5234207960765679
CID000003043,drug similarity,mean components,0.6136009739479819
CID000148192,drug similarity,mean components,0.627317613906853
CID000001690,drug similarity,mean components,0.5562456707878892
CID000004053,drug similarity,mean components,0.5563705763998823
CID000003367,drug similarity,mean components,0.49046060640365563
CID000002550,drug similarity,mean components,0.5279387241813388
CID000004259,drug similarity,mean components,0.6393350702154278
CID000003821,drug similarity,mean components,0.44526713162068576
CID000003488,drug similarity,mean components,0.5820727093095656
CID000005372,drug similarity,mean components,0.5122208228321248
CID000003780,drug similarity,mean components,0.5652573478533846
CID000027661,drug similarity,mean components,0.548460177615506
CID000003032,drug similarity,mean components,0.5936916775282426
CID000004943,drug similarity,mean components,0.49665319318877854
CID000163742,drug similarity,mean components,0.6339635607782025
CID000123620,drug similarity,mean components,0.5328245835466048
CID000005002,drug similarity,mean components,0.6604458717487428
CID000004856,drug similarity,mean components,0.6386665008524942
CID000002249,drug similarity,mean components,0.48204638966838087
CID000003419,drug similarity,mean components,0.582300155701285
CID000002141,drug similarity,mean components,0.5877306889991382
CID005311039,drug similarity,mean components,0.5602906173090878
CID000002812,drug similarity,mean components,0.4750380129411451
CID000005152,drug similarity,mean components,0.5960923836528376
CID000004740,drug similarity,mean components,0.5356869694316394
CID000002786,drug similarity,mean components,0.5108992528673816
CID000002092,drug similarity,mean components,0.5505703118073629
CID000003890,drug similarity,mean components,0.47253550706213243
CID000003003,drug similarity,mean components,0.42326894293699624
CID000003385,drug similarity,mean components,0.6006548043837914
CID000034312,drug similarity,mean components,0.5998755578349009
CID000005203,drug similarity,mean components,0.476894725421927
CID000002477,drug similarity,mean components,0.5352226678023803
CID000032797,drug similarity,mean components,0.563335265383508
CID000000143,drug similarity,mean components,0.5405608865461308
CID000004595,drug similarity,mean components,0.3947079974767782
CID000003957,drug similarity,mean components,0.6399100336270666
CID000004054,drug similarity,mean components,0.4955816896265035
CID000004543,drug similarity,mean components,0.6007389193608754
CID000004599,drug similarity,mean components,0.512342446608601
CID000003042,drug similarity,mean components,0.5451531164676117
CID000003516,drug similarity,mean components,0.5361081941890344
CID000003962,drug similarity,mean components,0.5975044200541122
CID000060852,drug similarity,mean components,0.5339688995304551
CID000002250,drug similarity,mean components,0.5060798281226149
CID000002891,drug similarity,mean components,0.4504681642346856
CID000010631,drug similarity,mean components,0.6004252243646278
CID000003075,drug similarity,mean components,0.5785309550327035
CID000005073,drug similarity,mean components,0.5468514374125473
CID000004594,drug similarity,mean components,0.5485230597444349
CID000060184,drug similarity,mean components,0.4965013662335148
CID000197712,drug similarity,mean components,0.4567632905074249
CID000005267,drug similarity,mean components,0.5668997004296313
CID000003222,drug similarity,mean components,0.5586705851443374
CID000002576,drug similarity,mean components,0.5490913826587699
CID000002462,drug similarity,mean components,0.4579619271861657
CID000176168,drug similarity,mean components,0.5349824533053168
CID000002658,drug similarity,mean components,0.6286172161936481
CID000068740,drug similarity,mean components,0.49574951934047606
CID000002955,drug similarity,mean components,0.5759927314339552
CID000003324,drug similarity,mean components,0.6258514275166744
CID000004513,drug similarity,mean components,0.567328156634244
CID000003702,drug similarity,mean components,0.6409635018768821
CID000005672,drug similarity,mean components,0.5587885412964599
CID000001983,drug similarity,mean components,0.5402651697769262
CID000002269,drug similarity,mean components,0.5143114645235417
CID000002308,drug similarity,mean components,0.4573042013051902
CID000004603,drug similarity,mean components,0.5491992083491798
CID000000598,drug similarity,mean components,0.6326722929331923
CID000060877,drug similarity,mean components,0.5967865839971931
CID000000581,drug similarity,mean components,0.5713866021495051
CID000087177,drug similarity,mean components,0.44863835132477115
CID000003158,drug similarity,mean components,0.5702485325390838
CID000004666,drug similarity,mean components,0.49287169984281876
CID000002713,drug similarity,mean components,0.607733498263335
CID000004601,drug similarity,mean components,0.6436738398570765
CID000002267,drug similarity,mean components,0.5325308093926844
CID000003386,drug similarity,mean components,0.5017446795293432
CID000002435,drug similarity,mean components,0.49610473482113027
CID000004253,drug similarity,mean components,0.5050783177095524
CID000003476,drug similarity,mean components,0.5363545005122367
CID000130881,drug similarity,mean components,0.6055132588914878
CID000003348,drug similarity,mean components,0.5624030409975137
CID000001775,drug similarity,mean components,0.4832687703406692
CID000003410,drug similarity,mean components,0.5893244109738826
CID000004159,drug similarity,mean components,0.48891838040448343
CID000004819,drug similarity,mean components,0.48245261317082866
CID000000271,drug similarity,mean components,0.5643420818513859
CID005353980,drug similarity,mean components,0.5838972983366023
CID000003255,drug similarity,mean components,0.5869137741633176
CID000002554,drug similarity,mean components,0.6048089673123332
CID000002617,drug similarity,mean components,0.5751091140563214
CID000054688,drug similarity,mean components,0.5501444582301616
CID000004614,drug similarity,mean components,0.5641977913608012
CID000005544,drug similarity,mean components,0.5021485381269047
CID000002907,drug similarity,mean components,0.50912145703858
CID000003652,drug similarity,mean components,0.5766602848477742
CID000002153,drug similarity,mean components,0.6316359722045668
CID000008953,drug similarity,mean components,0.5447315567954079
CID000000937,drug similarity,mean components,0.5545097764180403
CID000054454,drug similarity,mean components,0.4941864172139683
CID000104741,drug similarity,mean components,0.4844745994469011
CID000005514,drug similarity,mean components,0.42471607915033627
CID005282226,drug similarity,mean components,0.6234543733428063
CID000003161,drug similarity,mean components,0.4888937980978829
CID000004409,drug similarity,mean components,0.6901921821995283
CID000077999,drug similarity,mean components,0.5689888710847695
CID000110634,drug similarity,mean components,0.5953245921104241
CID000054841,drug similarity,mean components,0.6049398154861619
CID005329102,drug similarity,mean components,0.5501626507733679
CID000059708,drug similarity,mean components,0.5841006121416884
CID000004200,drug similarity,mean components,0.5742001129589539
CID000002187,drug similarity,mean components,0.6396625274742659
CID000003749,drug similarity,mean components,0.6199867224756195
CID000001071,drug similarity,mean components,0.5383676849433126
CID000002265,drug similarity,mean components,0.5616052873110995
CID000003911,drug similarity,mean components,0.5479415914454976
CID000005212,drug similarity,mean components,0.5653248388012861
CID000000159,drug similarity,mean components,0.5359381826119907
CID000152945,drug similarity,mean components,0.6198108265286717
CID000004168,drug similarity,mean components,0.435714189400888
CID000002978,drug similarity,mean components,0.5215564445557244
CID000005379,drug similarity,mean components,0.62618885500382
CID000104865,drug similarity,mean components,0.5899595823247862
CID000002949,drug similarity,mean components,0.4479903373349867
CID000005472,drug similarity,mean components,0.5571052294409155
CID000091270,drug similarity,mean components,0.45445749276125724
CID000004691,drug similarity,mean components,0.43529744284774496
CID000003121,drug similarity,mean components,0.46277953169730923
CID000001134,drug similarity,mean components,0.5490676825377715
CID000003877,drug similarity,mean components,0.5252600019742621
CID000000838,drug similarity,mean components,0.6169931741184519
CID000005596,drug similarity,mean components,0.5470191466473241
CID000002471,drug similarity,mean components,0.5080242109387277
CID000003658,drug similarity,mean components,0.6357793596883478
CID000002585,drug similarity,mean components,0.5316133886197172
CID000003715,drug similarity,mean components,0.611458673352851
CID000005401,drug similarity,mean components,0.584265693215079
CID000002764,drug similarity,mean components,0.508551431435697
CID000005538,drug similarity,mean components,0.5568293368603762
CID000004158,drug similarity,mean components,0.6118235428654135
CID000004212,drug similarity,mean components,0.6073102568070421
CID000123631,drug similarity,mean components,0.5685760886255906
CID000216326,drug similarity,mean components,0.6451598137160419
CID000004485,drug similarity,mean components,0.4915816366275363
CID000016231,drug similarity,mean components,0.5451613467365126
CID000001046,drug similarity,mean components,0.5151827579687186
CID000003869,drug similarity,mean components,0.6064311129370573
CID000003696,drug similarity,mean components,0.6664938597523595
CID000002162,drug similarity,mean components,0.4506237146038651
CID000003746,drug similarity,mean components,0.5357353723472865
CID000056959,drug similarity,mean components,0.46688663023587773
CID000003157,drug similarity,mean components,0.5739173832982557
CID000001972,drug similarity,mean components,0.5676330185922465
CID000004911,drug similarity,mean components,0.5590622321462287
CID000004509,drug similarity,mean components,0.5667259892489995
CID000002284,drug similarity,mean components,0.5320569252288307
CID000003449,drug similarity,mean components,0.45588126777668103
CID000093860,drug similarity,mean components,0.4919521571353179
CID000003826,drug similarity,mean components,0.7037951059539462
CID000004178,drug similarity,mean components,0.5266196770523653
CID000004107,drug similarity,mean components,0.602356646725381
CID000004506,drug similarity,mean components,0.6007359011671661
CID000119182,drug similarity,mean components,0.541402227129772
CID000005978,drug similarity,mean components,0.5856627888159005
CID000003461,drug similarity,mean components,0.500001664816154
CID000002156,drug similarity,mean components,0.5000329334173855
CID000005651,drug similarity,mean components,0.5165507240487812
CID003002190,drug similarity,mean components,0.573940669714676
CID005311048,drug similarity,mean components,0.5000684745230299
CID000003741,drug similarity,mean components,0.6545745026993653
CID000005408,drug similarity,mean components,0.5455537113881002
CID000003168,drug similarity,mean components,0.6103912330108977
CID005493381,drug similarity,mean components,0.5278232024737625
CID000002646,drug similarity,mean components,0.6143626713348046
CID000003310,drug similarity,mean components,0.583593187398973
CID000071158,drug similarity,mean components,0.4751326613338822
CID000004449,drug similarity,mean components,0.6694683238304089
CID000001117,drug similarity,mean components,0.5548566711473841
CID000004894,drug similarity,mean components,0.49995656408343336
CID000071329,drug similarity,mean components,0.6027181306580057
CID000002631,drug similarity,mean components,0.6315585536170761
CID000003902,drug similarity,mean components,0.5616632034350628
CID000005496,drug similarity,mean components,0.563118271703783
CID000005005,drug similarity,mean components,0.5831713622021737
CID000003763,drug similarity,mean components,0.6054968718451812
CID000002973,drug similarity,mean components,0.6196557323533407
CID000005376,drug similarity,mean components,0.5378591774729241
CID000003198,drug similarity,mean components,0.554580030119316
CID005487301,drug similarity,mean components,0.6646705208175682
CID000005478,drug similarity,mean components,0.5218946380091013
CID000002650,drug similarity,mean components,0.634704293206424
CID000004607,drug similarity,mean components,0.3705248572185571
CID000004812,drug similarity,mean components,0.5251499533585743
CID000004828,drug similarity,mean components,0.5484619805778884
CID000003793,drug similarity,mean components,0.5146829941614258
CID000060953,drug similarity,mean components,0.5942865319878915
CID000003397,drug similarity,mean components,0.5583301789793298
CID000154059,drug similarity,mean components,0.5761941446145474
CID000004463,drug similarity,mean components,0.5709347958028916
CID000004205,drug similarity,mean components,0.5222034897261593
CID000072938,drug similarity,mean components,0.5224019750228899
CID000060198,drug similarity,mean components,0.5385130773509774
CID000002756,drug similarity,mean components,0.6601897463368248
CID000002160,drug similarity,mean components,0.5248100759058997
CID000004052,drug similarity,mean components,0.5648465149297179
CID000004674,drug similarity,mean components,0.49512233620038604
CID000003675,drug similarity,mean components,0.5761551042743102
CID003085017,drug similarity,mean components,0.5416940539720393
CID000001978,drug similarity,mean components,0.5264868240594796
CID005481350,drug similarity,mean components,0.564437733073133
CID005281104,drug similarity,mean components,0.5377197543048097
CID005311181,drug similarity,mean components,0.652620712752011
CID000005184,drug similarity,mean components,0.5240001369065286
CID000150311,drug similarity,mean components,0.529793672248338
CID000003559,drug similarity,mean components,0.6710098479969359
CID005311027,drug similarity,mean components,0.6060828499285559
CID000443871,drug similarity,mean components,0.5359879271511819
CID000000191,drug similarity,mean components,0.4938312904593709
CID000005726,drug similarity,mean components,0.6135148971406716
CID000060754,drug similarity,mean components,0.6278524075942755
CID000064147,drug similarity,mean components,0.6264276252825492
CID000216239,drug similarity,mean components,0.5452632539294932
CID000005412,drug similarity,mean components,0.5779260356458106
CID000074989,drug similarity,mean components,0.526662902430136
CID000004917,drug similarity,mean components,0.503946445884474
CID000024486,drug similarity,mean components,0.5850538959165174
CID000002541,drug similarity,mean components,0.5878349605927499
CID000148211,drug similarity,mean components,0.5475679694310267
CID000003648,drug similarity,mean components,0.4928300197317985
CID000003825,drug similarity,mean components,0.6471560433279521
CID000002487,drug similarity,mean components,0.5813754062293106
CID000003393,drug similarity,mean components,0.5884671113739977
CID000003143,drug similarity,mean components,0.557739272203667
CID000003750,drug similarity,mean components,0.5393312285537115
CID000005466,drug similarity,mean components,0.5839264809885143
CID000004909,drug similarity,mean components,0.5818327589486664
CID000005245,drug similarity,mean components,0.5578857307126814
CID000003454,drug similarity,mean components,0.6581026537965416
CID000001986,drug similarity,mean components,0.6421208037883701
CID000005234,drug similarity,mean components,0.5631903373456499
CID000151165,drug similarity,mean components,0.6224497463852123
CID000002405,drug similarity,mean components,0.5243558278310145
CID000003350,drug similarity,mean components,0.5036730470873857
CID000056339,drug similarity,mean components,0.5819571594058814
CID000003657,drug similarity,mean components,0.49644526066659367
CID000000861,drug similarity,mean components,0.58642524374867
CID000150310,drug similarity,mean components,0.48569232587536026
CID000004236,drug similarity,mean components,0.608167787911056
CID000002522,drug similarity,mean components,0.5610768342489707
CID000001971,drug similarity,mean components,0.5953631676337763
CID000002099,drug similarity,mean components,0.5377399026648086
CID000036339,drug similarity,mean components,0.3891992848352388
CID000004138,drug similarity,mean components,0.5819569044068258
CID006447131,drug similarity,mean components,0.6114205450859506
CID000170361,drug similarity,mean components,0.5668195306743091
CID000004075,drug similarity,mean components,0.6462935618434658
CID000005394,drug similarity,mean components,0.564361569284474
CID000005735,drug similarity,mean components,0.5473577464167944
CID000000453,drug similarity,mean components,0.6227937442090596
CID000003767,drug similarity,mean components,0.6029137432146835
CID000003333,drug similarity,mean components,0.5966201403010768
CID000005076,drug similarity,mean components,0.5450233408995077
CID000002800,drug similarity,mean components,0.5185697022102247
CID000003261,drug similarity,mean components,0.621481689090921
CID000005155,drug similarity,mean components,0.5903025084164317
CID005493444,drug similarity,mean components,0.5935065222754761
CID000003414,drug similarity,mean components,0.5540815993492374
CID000004192,drug similarity,mean components,0.5524497585757736
CID000004771,drug similarity,mean components,0.5997550062375299
CID000005572,drug similarity,mean components,0.5907334525428939
CID000003249,drug similarity,mean components,0.5782672703808959
CID000004189,drug similarity,mean components,0.5538892284752457
CID000002818,drug similarity,mean components,0.6088229403471116
CID000047320,drug similarity,mean components,0.47111479236018694
CID000005515,drug similarity,mean components,0.5410765195754436
CID000003510,drug similarity,mean components,0.5674064936947869
CID001349907,drug similarity,mean components,0.5461225838594065
CID000038904,drug similarity,mean components,0.46297297895150646
CID000072054,drug similarity,mean components,0.5121336460159875
CID000005215,drug similarity,mean components,0.5557269885071618
CID000077993,drug similarity,mean components,0.6755905849217915
CID000000596,drug similarity,mean components,0.5666949042933608
CID000003279,drug similarity,mean components,0.5169913055102695
CID000002726,drug similarity,mean components,0.6462812907279489
CID000160051,drug similarity,mean components,0.5658684839848007
CID000003478,drug similarity,mean components,0.589148714206909
CID000002173,drug similarity,mean components,0.5507508961155418
CID000003661,drug similarity,mean components,0.5854398279421896
CID000005578,drug similarity,mean components,0.5730830336141762
CID000508230,drug similarity,mean components,0.5542578588381553
CID000005454,drug similarity,mean components,0.6560898230246922
CID000005717,drug similarity,mean components,0.542969499748802
CID000000085,drug similarity,mean components,0.5313736569210857
CID000000206,drug similarity,mean components,0.5616325631980629
CID000000119,drug similarity,mean components,0.5978305030323735
CID000003928,drug similarity,mean components,0.5046022021460774
CID000003467,drug similarity,mean components,0.5929982921224892
CID000004547,drug similarity,mean components,0.6133718525960614
CID005362420,drug similarity,mean components,0.6173740880290249
CID000004499,drug similarity,mean components,0.5623055904575522
CID003062316,drug similarity,mean components,0.4624618128919741
CID000004920,drug similarity,mean components,0.6274847418244689
CID000005253,drug similarity,mean components,0.5733035956258116
CID000060795,drug similarity,mean components,0.6581050886682458
CID000004473,drug similarity,mean components,0.5380387025401097
CID005381226,drug similarity,mean components,0.5669406974695944
CID000054374,drug similarity,mean components,0.6310002904680265
CID000002130,drug similarity,mean components,0.521073630242035
CID000060612,drug similarity,mean components,0.5285400457754548
CID000002720,drug similarity,mean components,0.5998531976848477
