side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.689873929973313,0.67765327018932,0.7215997973412371
C0000737,tail,0.7048088726561619,0.7016996395354047,0.872131018650372
C0000737,both,0.5708693135794756,0.5511025434120896,0.3619195038157231
C0000768,head,0.863844407483398,0.828211143452831,0.7936455593512528
C0000768,tail,0.8603722274156538,0.8264250465962328,0.8281471385803294
C0000768,both,0.646966698636623,0.611553483441804,0.4259713717349656
C0000786,head,0.813521913427323,0.7928469026916491,0.7734533745154144
C0000786,tail,0.8889689653619206,0.8891153192136316,0.9475396798641342
C0000786,both,0.6535741633259764,0.6454650386435601,0.5515605691410879
C0000833,head,0.8412310401894842,0.8135122679977106,0.8264501435628694
C0000833,tail,0.8728898297548374,0.8425924628563746,0.925157622081013
C0000833,both,0.5809049520541557,0.5517965343321494,0.3144187262113878
C0001122,head,0.8190633605856311,0.7876936024804888,0.8303067929474868
C0001122,tail,0.8478306696438761,0.8102501917668108,0.8610482984440132
C0001122,both,0.5738947244044798,0.5495819699995037,0.4046705750981486
C0001126,head,0.823332177130304,0.7921308782476184,0.6735375358998732
C0001126,tail,0.8619493583073188,0.8400193310967499,0.8027034503483644
C0001126,both,0.5998381315759047,0.5702858196528604,0.3051869787633497
C0001339,head,0.8560392155819133,0.8327346752320858,0.9074933570422202
C0001339,tail,0.8580883468301004,0.8276434637890355,0.948595258312776
C0001339,both,0.658066524912912,0.6392937598635802,0.6051687596832005
C0001418,head,0.8411432268580743,0.8138665196684727,0.9341290257611304
C0001418,tail,0.8597597157482341,0.8041099296420287,0.6840861460275725
C0001418,both,0.6141743401298293,0.5904668538199291,0.4303754736031724
C0001430,head,0.8879766689540242,0.8742009132055887,0.91581830408613
C0001430,tail,0.9029506911087148,0.8881744583165434,0.9295610887221428
C0001430,both,0.6430251936084698,0.6073047587718109,0.3772110079978106
C0001546,head,0.874323198667222,0.8700865954742925,0.8609207358058296
C0001546,tail,0.9311745106205748,0.919208556800394,0.9155805997205572
C0001546,both,0.6877342773844232,0.6705879384202865,0.5293053024087228
C0001623,head,0.8382315736211841,0.7984580793996797,0.7640680945732459
C0001623,tail,0.8569214876033059,0.8337343077725341,0.8597908745310353
C0001623,both,0.5562700286726261,0.5458085468585947,0.2751270487521198
C0001818,head,0.8658590963139119,0.8388535328199516,0.8071134666452151
C0001818,tail,0.9142390011890608,0.9087988531470932,0.9458544904730624
C0001818,both,0.6967895362663495,0.7232719516073824,0.7287891078741546
C0001824,head,0.8203664075465106,0.7936509793466798,0.8506245007786333
C0001824,tail,0.8452539523102455,0.8049307043760972,0.7720869815459741
