Relation,AUROC,AUPRC,AP@50
C0005779,0.9670951108434642,0.9576302154175209,0.9711857971421415
C0011991,0.9586380637193501,0.943407532671583,0.9655350567884813
C0011860,0.9705162226486972,0.957300477133385,0.9629230673286656
C0038395,0.9630057956265158,0.9527202741091123,1.0
C1145670,0.9525832915426505,0.9277604233681183,0.8983487472837841
C0012833,0.9553657403791609,0.9389403918857789,1.0
C0520474,0.9611302578775267,0.9476007604489357,0.9638321582377566
C0021400,0.9684343434343434,0.9540667192595893,0.8851161425222038
C0024902,0.9796735097073238,0.9763168891563532,1.0
C0043144,0.9666258184237246,0.9510062789606267,0.9349208258276756
C0085682,0.9653885052878672,0.9584914860567244,0.9787751700680271
C0020676,0.9719593570869423,0.9633277974114882,1.0
C0151825,0.9709651360544218,0.965808592576396,1.0
C0013604,0.9494509815017195,0.9223796524768495,0.8954916044266412
C0042571,0.963918385144147,0.9541428057953443,1.0
C0009782,0.9716784673052895,0.953381318672835,0.939015893233411
C0008325,0.9677963987768036,0.9495255506940328,0.9025982025931372
C0013144,0.960800653425833,0.9482464149050042,1.0
C0013362,0.9649475604335592,0.9559934419873861,1.0
C0031046,0.9603818727716269,0.9499423931446602,0.9609706863762847
C0043246,0.9759360808035126,0.9714511983978745,1.0
C0151908,0.9586421445089937,0.9387090317322622,0.8912670843155861
C0231807,0.9670245292159356,0.9474228420420229,0.9050418598889604
C0026946,0.9662016777604524,0.9568813677148769,1.0
C0162297,0.9516788638345035,0.9273851063069849,0.8482587419566172
C0235946,0.9550909472873373,0.9289422935368562,0.8572916044266412
C0030554,0.9542534950628172,0.9351226031633124,0.9168312203904324
C0040034,0.9494134212193637,0.9308551512643558,0.9459350567884813
C0032285,0.9614783163370026,0.949970383391805,1.0
C0151723,0.9709205585603439,0.96735549926496,1.0
C0036983,0.963702774188432,0.95479373822708,0.967104287557712
C0025286,0.9781318480642804,0.9764973577611911,1.0
C0027121,0.9701517328438904,0.958993103346692,0.9711857971421415
C0027022,0.9689349112426036,0.963083882240855,0.8752065205318013
C0013384,0.95131292427351,0.9285668262684964,0.9282127756164772
C0016436,0.9658216227667538,0.9555549944421711,0.946595258312776
C0004610,0.9660735631788513,0.9558215427294812,1.0
C0003873,0.971951521442783,0.967356497138228,1.0
C0575090,0.9606580312621872,0.9456850575098481,0.939015893233411
C0442874,0.9595461643473899,0.9457044785364451,0.9663350567884812
C0678222,0.9685013085509799,0.9553508791248604,0.9638321582377566
C0700594,0.9690175985742928,0.9599307179695717,1.0
C0011849,0.9659508375855385,0.9541343306887533,1.0
C0024141,0.9648619984343829,0.9580589018789493,1.0
C0042029,0.9643941366365306,0.9510466548556757,1.0
C0027497,0.9534253449094543,0.9374284136465956,0.9619706863762846
C0262385,0.9529300481960272,0.9307862713639619,0.9082449236683147
C0002622,0.9622036114883558,0.9508319150744098,0.9750867540121387
