drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.44194235382816593
CID000004829,drug similarity,mean components,0.47113847043545976
CID000004140,drug similarity,mean components,0.6340226420165271
CID000002909,drug similarity,mean components,0.41696457759697525
CID000003676,drug similarity,mean components,0.40146682833654057
CID000003339,drug similarity,mean components,0.45432769661619754
CID000005656,drug similarity,mean components,0.4436316529907951
CID000000853,drug similarity,mean components,0.4689792589372388
CID000119607,drug similarity,mean components,0.47657730039234614
CID000004889,drug similarity,mean components,0.3672712421153199
CID000003154,drug similarity,mean components,0.6048350650513283
CID000005029,drug similarity,mean components,0.48335556366635757
CID000003823,drug similarity,mean components,0.5905295296548033
CID000003937,drug similarity,mean components,0.3909769423506002
CID000003883,drug similarity,mean components,0.3830704793255548
CID000004885,drug similarity,mean components,0.4574095078806254
CID000003961,drug similarity,mean components,0.47738128477784403
CID000060835,drug similarity,mean components,0.42186873241757894
CID000002622,drug similarity,mean components,0.5734705272288352
CID000004609,drug similarity,mean components,0.5040594917822492
CID003468412,drug similarity,mean components,0.4967233896716008
CID000060147,drug similarity,mean components,0.5338849098157057
CID000002244,drug similarity,mean components,0.4559120131150558
CID000002806,drug similarity,mean components,0.38959188273845147
CID000003446,drug similarity,mean components,0.3876320681598
CID000005352,drug similarity,mean components,0.5466539852078796
CID000004112,drug similarity,mean components,0.45614356689383473
CID000004635,drug similarity,mean components,0.3392444840227138
CID000002088,drug similarity,mean components,0.37833517849686527
CID000002311,drug similarity,mean components,0.5437600487665447
CID000000772,drug similarity,mean components,0.4151808750357673
CID000003672,drug similarity,mean components,0.377894099188707
CID000004583,drug similarity,mean components,0.512222008475675
CID000003639,drug similarity,mean components,0.5001541402355956
CID000004585,drug similarity,mean components,0.5406711250272696
CID000003899,drug similarity,mean components,0.4278958245823127
CID000004616,drug similarity,mean components,0.6038502029182953
CID000005064,drug similarity,mean components,0.3920576805722351
CID000003929,drug similarity,mean components,0.4973827851758329
CID000051263,drug similarity,mean components,0.6451254436772619
CID000065999,drug similarity,mean components,0.5743960086143826
CID000083786,drug similarity,mean components,0.3896142624701615
CID000002524,drug similarity,mean components,0.43240239248338863
CID000003405,drug similarity,mean components,0.41448691311536934
CID000667490,drug similarity,mean components,0.5237981623475435
CID000003062,drug similarity,mean components,0.297959098739068
CID000071616,drug similarity,mean components,0.504035450430373
CID000004091,drug similarity,mean components,0.32037797054773254
CID000005090,drug similarity,mean components,0.39403937373356135
CID000004170,drug similarity,mean components,0.5820529845005002
CID000005095,drug similarity,mean components,0.4962493052923853
CID000005291,drug similarity,mean components,0.5911893077107678
CID000019090,drug similarity,mean components,0.4891684836485415
CID000002802,drug similarity,mean components,0.37007851438869444
CID000004900,drug similarity,mean components,0.3888787288491873
CID000002803,drug similarity,mean components,0.438095502848307
CID000003365,drug similarity,mean components,0.44702791239643047
CID000000942,drug similarity,mean components,0.501675541619589
CID000062924,drug similarity,mean components,0.5240367921309155
CID000001065,drug similarity,mean components,0.5031290820601437
CID000005512,drug similarity,mean components,0.4273586876466682
CID000041781,drug similarity,mean components,0.5630696939863451
CID000005039,drug similarity,mean components,0.1898386760703814
CID000004679,drug similarity,mean components,0.33354353397036896
CID000005523,drug similarity,mean components,0.49650928756659674
CID000002520,drug similarity,mean components,0.4356802724636606
CID000005038,drug similarity,mean components,0.5175792004100359
CID000005035,drug similarity,mean components,0.548785999883976
CID000005426,drug similarity,mean components,0.4780433922632321
CID000002662,drug similarity,mean components,0.3383438401675254
CID000004873,drug similarity,mean components,0.3759838185653883
CID000005556,drug similarity,mean components,0.5623801808363499
CID000006691,drug similarity,mean components,0.40898605522787324
CID000002666,drug similarity,mean components,0.4816411353329111
CID000002749,drug similarity,mean components,0.5188778112916513
CID000004411,drug similarity,mean components,0.5197389758328453
CID000004748,drug similarity,mean components,0.7013173075459853
CID000005533,drug similarity,mean components,0.5179298566197706
CID004475485,drug similarity,mean components,0.5062634552965194
CID000003016,drug similarity,mean components,0.4341053097709633
CID000003379,drug similarity,mean components,0.5128318468026623
CID000005719,drug similarity,mean components,0.573218518144589
CID000003440,drug similarity,mean components,0.5074045310775138
CID000003325,drug similarity,mean components,0.4161696342332257
CID000003403,drug similarity,mean components,0.5449510914469862
CID000002118,drug similarity,mean components,0.47343034467807554
CID000003382,drug similarity,mean components,0.5745672505335051
CID000003463,drug similarity,mean components,0.47811609361167406
