side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.6801810518204989,0.6695593301368227,0.6889937517637843
C0000737,tail,0.7015011951662794,0.6986915124596541,0.8046386316525665
C0000737,both,0.5573855429493043,0.5426510444986271,0.3475087093164502
C0000768,head,0.8435333681360706,0.8057609944470266,0.7728258669881412
C0000768,tail,0.8518253226335151,0.8250509925788344,0.8365222683947173
C0000768,both,0.6147822603163812,0.5826835456105012,0.4053638432244941
C0000786,head,0.809603171028332,0.7849039998176578,0.7343804796835048
C0000786,tail,0.8711319309940994,0.870925171030034,0.8969093987133501
C0000786,both,0.6284852033692176,0.6206276950492646,0.46940300383209377
C0000833,head,0.8186560414366618,0.7955727191846327,0.7696568965327164
C0000833,tail,0.861298669749545,0.8296794258384391,0.8329687576354562
C0000833,both,0.5624011747328328,0.5377687566276499,0.2535084376826987
C0001122,head,0.7994841353493499,0.7713283889809297,0.7659051302330249
C0001122,tail,0.8442067271865504,0.8068061875420242,0.8205609165933312
C0001122,both,0.5582200655505264,0.5383838045879208,0.3699364641531275
C0001126,head,0.7887617065556711,0.7418511030062551,0.5880647843136985
C0001126,tail,0.8700427795120823,0.8600802951311043,0.806283701624933
C0001126,both,0.5866574170424327,0.5721228024818645,0.3479445762295512
C0001339,head,0.8396967285752683,0.8182495753107746,0.9016655672391737
C0001339,tail,0.8472439184711884,0.8116311864373532,0.8708092894030824
C0001339,both,0.6418091966074901,0.6247070030685075,0.5261557927986563
C0001418,head,0.8244856158311649,0.799350843030748,0.865541376837173
C0001418,tail,0.8516239383453916,0.7970222229122834,0.7168454530730664
C0001418,both,0.5937920014870315,0.5777327889659211,0.4788204453945559
C0001430,head,0.8707479658856975,0.8604884965842585,0.9269758038991948
C0001430,tail,0.8867267914910302,0.8658930230755963,0.8676273128598525
C0001430,both,0.6210175472992843,0.6001169656727982,0.4175572691112805
C0001546,head,0.8337151187005414,0.8239919355301473,0.7855284903926745
C0001546,tail,0.9192003331945022,0.9078187008370605,0.8841663695195616
C0001546,both,0.6465014577259475,0.635450722625204,0.45959892530939006
C0001623,head,0.8158837915331422,0.7676475048522862,0.635868550268125
C0001623,tail,0.8570585258896948,0.8372297393184615,0.8867445246474908
C0001623,both,0.5438100860178782,0.5320446919731532,0.2120789530593812
C0001818,head,0.8185196195005945,0.7939884217280728,0.753849165454323
C0001818,tail,0.9083680142687277,0.9010376753486349,0.9096254104283765
C0001818,both,0.6764268727705113,0.6891442811269115,0.6576416476770046
C0001824,head,0.8049065420560748,0.7740259404697503,0.7219186521165359
C0001824,tail,0.8339320027950039,0.798386608668715,0.8289559196248788
C0001824,both,0.5773429993885929,0.5779037189268328,0.5003711002715477
C0001948,head,0.8567179400016998,0.8305144324952676,0.8500602122187665
C0001948,tail,0.851109033738421,0.8359133182770992,0.8866991334640847
C0001948,both,0.6377035049593901,0.6222338866195496,0.5663458164532412
C0001969,head,0.8617179406333049,0.842431601318748,0.8307784017784953
C0001969,tail,0.8433854330885995,0.7987698720650778,0.7173286738227043
C0001969,both,0.556686635737129,0.5350129938060134,0.28047063202211286
C0002064,head,0.8434710743801653,0.7991809321935404,0.6799588945614705
C0002064,tail,0.8868595041322315,0.8565997060813308,0.7571139282405588
C0002064,both,0.6191735537190083,0.6007298497667328,0.39192685777270175
C0002103,head,0.8736894522408329,0.8462858141697426,0.8972324227586066
C0002103,tail,0.8813671344499774,0.8639040667705592,1.0
C0002103,both,0.6065821638750566,0.5626995853209854,0.2355335542920452
C0002170,head,0.8015964376361717,0.76952251373149,0.6942475645455253
C0002170,tail,0.8611413714876125,0.8355751370410243,0.8448059774022485
C0002170,both,0.5799580535028414,0.5582608947140418,0.3304450839641552
C0002390,head,0.849678638941399,0.8184752613129956,0.7633877741432173
C0002390,tail,0.9018525519848771,0.8989619837561114,0.9296352980150434
C0002390,both,0.6621550094517958,0.6325415889928734,0.4715338239545865
C0002453,head,0.8773243801652892,0.8731694025856117,0.9245776998258539
C0002453,tail,0.8908186983471074,0.84938995069341,0.7750742712530179
C0002453,both,0.6622869318181819,0.6485006029459494,0.542756347356972
C0002622,head,0.813064735174287,0.7829444182081409,0.838827126100433
C0002622,tail,0.8497012222725215,0.811878233894193,0.7837543660048689
C0002622,both,0.5930330466274332,0.5776699966642538,0.40998306954176095
C0002726,head,0.842687074829932,0.8198608554766439,0.7055750338809901
C0002726,tail,0.9284297052154196,0.9178243176954808,0.8899426838591964
C0002726,both,0.6166383219954649,0.5855288367844016,0.33658767303451875
C0002736,head,0.9075,0.8718553194432828,0.7907085758433755
C0002736,tail,0.89625,0.8305167086031146,0.7292860259594689
C0002736,both,0.6803125,0.6695653699836956,0.5134651770328165
C0002792,head,0.8028784831944844,0.7868922977296338,0.8050017139189055
C0002792,tail,0.8401896006894571,0.7963823448412011,0.7648384741452802
C0002792,both,0.5701034185578857,0.5529873703907379,0.4529691085066998
C0002871,head,0.7883759919434176,0.7543770520556868,0.8750127895108182
C0002871,tail,0.8356415226524219,0.7920460006390477,0.7736782998223326
C0002871,both,0.5726446017155191,0.5534035957531778,0.38090318457089706
