drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.363531283318979
CID000004829,drug similarity,mean components,0.4157446617849566
CID000004140,drug similarity,mean components,0.5512206221218988
CID000002909,drug similarity,mean components,0.407610760704052
CID000003676,drug similarity,mean components,0.42419011121694894
CID000003339,drug similarity,mean components,0.39262557195227066
CID000005656,drug similarity,mean components,0.3622976231306454
CID000000853,drug similarity,mean components,0.43660792218474564
CID000119607,drug similarity,mean components,0.27221945178084783
CID000004889,drug similarity,mean components,0.43164267299485615
CID000003154,drug similarity,mean components,0.5181199760166694
CID000005029,drug similarity,mean components,0.47218606591958245
CID000003823,drug similarity,mean components,0.5048950354803683
CID000003937,drug similarity,mean components,0.24528877860209997
CID000003883,drug similarity,mean components,0.43492724289501794
CID000004885,drug similarity,mean components,0.3656025080253691
CID000003961,drug similarity,mean components,0.4395499915841875
CID000060835,drug similarity,mean components,0.46884144071264156
CID000002622,drug similarity,mean components,0.5029358343454732
CID000004609,drug similarity,mean components,0.4086361931992897
CID003468412,drug similarity,mean components,0.4205893879581807
CID000060147,drug similarity,mean components,0.4465677975122717
CID000002244,drug similarity,mean components,0.3218052130948883
CID000002806,drug similarity,mean components,0.42922201702934637
CID000003446,drug similarity,mean components,0.3286535747982503
CID000005352,drug similarity,mean components,0.4405309670686879
CID000004112,drug similarity,mean components,0.34426642189257173
CID000004635,drug similarity,mean components,0.42339541978168327
CID000002088,drug similarity,mean components,0.34321769182362605
CID000002311,drug similarity,mean components,0.42314970337210256
CID000000772,drug similarity,mean components,0.30292259204038785
CID000003672,drug similarity,mean components,0.32462830456451064
CID000004583,drug similarity,mean components,0.4178836469658127
CID000003639,drug similarity,mean components,0.3205754594578536
CID000004585,drug similarity,mean components,0.4017027254032356
CID000003899,drug similarity,mean components,0.48278277127618296
CID000004616,drug similarity,mean components,0.4972359381973317
CID000005064,drug similarity,mean components,0.42554348141631126
CID000003929,drug similarity,mean components,0.48337588730109315
CID000051263,drug similarity,mean components,0.6250284322247568
CID000065999,drug similarity,mean components,0.4895169592173375
CID000083786,drug similarity,mean components,0.32436890823930886
CID000002524,drug similarity,mean components,0.48664014943617895
CID000003405,drug similarity,mean components,0.3155515022040696
CID000667490,drug similarity,mean components,0.539611920598777
CID000003062,drug similarity,mean components,0.32164920137768616
CID000071616,drug similarity,mean components,0.6162926225007644
CID000004091,drug similarity,mean components,0.3236440097441048
CID000005090,drug similarity,mean components,0.29263265832027563
CID000004170,drug similarity,mean components,0.4706989941130618
CID000005095,drug similarity,mean components,0.4735545442369469
CID000005291,drug similarity,mean components,0.4083008722755179
CID000019090,drug similarity,mean components,0.5227967586249647
CID000002802,drug similarity,mean components,0.36413297771894526
CID000004900,drug similarity,mean components,0.5313398363988767
CID000002803,drug similarity,mean components,0.4282512041191493
CID000003365,drug similarity,mean components,0.41139529276137
CID000000942,drug similarity,mean components,0.4595742771555209
CID000062924,drug similarity,mean components,0.45637401889774387
CID000001065,drug similarity,mean components,0.4860902147624937
CID000005512,drug similarity,mean components,0.395878210497572
CID000041781,drug similarity,mean components,0.41573200042286174
CID000005039,drug similarity,mean components,0.16382103899889822
CID000004679,drug similarity,mean components,0.40971682604365256
CID000005523,drug similarity,mean components,0.48893830302671515
CID000002520,drug similarity,mean components,0.3741936801917223
CID000005038,drug similarity,mean components,0.440493955134759
CID000005035,drug similarity,mean components,0.4042254227742297
CID000005426,drug similarity,mean components,0.45820520758288974
CID000002662,drug similarity,mean components,0.4238559814109242
CID000004873,drug similarity,mean components,0.33440067181306166
CID000005556,drug similarity,mean components,0.4121016762640587
CID000006691,drug similarity,mean components,0.28607620145899626
CID000002666,drug similarity,mean components,0.43208493207451215
CID000002749,drug similarity,mean components,0.4412785478358783
CID000004411,drug similarity,mean components,0.45755461842125533
CID000004748,drug similarity,mean components,0.6036169435073754
CID000005533,drug similarity,mean components,0.46051091069839345
CID004475485,drug similarity,mean components,0.4543035245730158
CID000003016,drug similarity,mean components,0.41869715978796285
CID000003379,drug similarity,mean components,0.5229628830825208
CID000005719,drug similarity,mean components,0.4052440935618664
CID000003440,drug similarity,mean components,0.4011362326210166
CID000003325,drug similarity,mean components,0.3936470804431651
CID000003403,drug similarity,mean components,0.3179486273327615
CID000002118,drug similarity,mean components,0.35413971660698174
CID000003382,drug similarity,mean components,0.5303208599441196
CID000003463,drug similarity,mean components,0.3804185956370504
CID000004510,drug similarity,mean components,0.3307885954102867
CID000004058,drug similarity,mean components,0.5607473597532778
CID000004171,drug similarity,mean components,0.39733108180237386
CID000005647,drug similarity,mean components,0.4394912888345437
CID000003308,drug similarity,mean components,0.30993180630593375
CID000004173,drug similarity,mean components,0.3250918859169043
CID000000450,drug similarity,mean components,0.3862964739727661
