side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6709927679187134,0.6616137937683956,0.7736842428125218
C0000737,tail,0.6930771108586806,0.6923709820169435,0.7245382353222771
C0000737,both,0.5420254147086279,0.5322008213143408,0.2897658280777949
C0000768,head,0.8017093809564277,0.7639079844381731,0.7314507385137087
C0000768,tail,0.8304459201884205,0.7950755556275558,0.7600596369502962
C0000768,both,0.5490536488241935,0.5436813371769725,0.3384508948618261
C0000786,head,0.8029818476645196,0.8079641514509832,0.850516596644438
C0000786,tail,0.8761767487950993,0.8830834968398893,0.9520801067976246
C0000786,both,0.6178100085581731,0.5820588068612229,0.3687978024757555
C0000833,head,0.7977902182235419,0.767767751174436,0.7859927896781232
C0000833,tail,0.8588021455792434,0.8354860542918487,0.8800318947836233
C0000833,both,0.5970835565600456,0.5731954013125723,0.3421318598858118
C0001122,head,0.7829152394903655,0.7611510850443047,0.7828741606392475
C0001122,tail,0.8406969140767137,0.8152959213681523,0.8816308040756572
C0001122,both,0.5462875065960049,0.5403720757346866,0.4491824291625268
C0001126,head,0.8014799398774425,0.7988296539645388,0.7483125546545327
C0001126,tail,0.8498092265001733,0.8144760269025899,0.724464799770055
C0001126,both,0.5285004046710602,0.5088382964565769,0.2161370131812557
C0001339,head,0.814936836194577,0.7871026494300434,0.7840161061956795
C0001339,tail,0.8454715530019773,0.8083626120429035,0.7848614380974281
C0001339,both,0.6191223863597051,0.6169776141625031,0.5944948867972832
C0001418,head,0.8061443707283593,0.7810824547507025,0.8799537306016044
C0001418,tail,0.8412039949669707,0.7856756760453512,0.6392390804670087
C0001418,both,0.577334567760016,0.5625422758490521,0.2924027575604891
C0001430,head,0.8501127340456818,0.8350677800023966,0.8440460122496052
C0001430,tail,0.8743260464660326,0.8661676029728814,0.9096563049506364
C0001430,both,0.5681060680325458,0.5668148776826587,0.4071647627533354
C0001546,head,0.7884214910453978,0.7521485380513225,0.6331583636811189
C0001546,tail,0.9041024573094544,0.8960355093530487,0.8838926438492026
C0001546,both,0.5779883381924198,0.5874574476385093,0.3802650256987801
C0001623,head,0.8096854444257041,0.7811079976379164,0.7825328761330226
C0001623,tail,0.8642793894417272,0.8593135211372005,0.9560827221554936
C0001623,both,0.6192865575982458,0.6030056012282938,0.4791598342102828
C0001818,head,0.7649375743162901,0.7376926133652993,0.6566679298602095
C0001818,tail,0.9136444708680144,0.9215548168129152,0.9787751700680272
C0001818,both,0.6314655172413793,0.59872918625443,0.385296428831283
C0001824,head,0.7803683727836491,0.7581050681232784,0.7794484525484665
C0001824,tail,0.8349309983404665,0.8074189391276156,0.9025184019609256
C0001824,both,0.5551358197222465,0.5541581605775084,0.4268175926364417
C0001948,head,0.8159501754300768,0.7847151176482706,0.7077768386156329
C0001948,tail,0.8468113003678568,0.8225994367662364,0.8185729153438791
C0001948,both,0.5906712476781313,0.5586732911129633,0.3143711982609891
C0001969,head,0.8440610783298049,0.8377957684579456,0.857945421029312
C0001969,tail,0.8334759695509211,0.7868966227641905,0.697562309236753
C0001969,both,0.6041619746858249,0.6158539295245185,0.5147165014851695
C0002064,head,0.8333884297520662,0.7608125915196389,0.6008939678648395
C0002064,tail,0.887107438016529,0.8788294239342412,0.8526361536721023
C0002064,both,0.5403305785123966,0.5050277995367676,0.2225230576578517
C0002103,head,0.8503259393390675,0.8301375275300726,0.8861028789225167
C0002103,tail,0.8843730194658217,0.863746924747489,0.8897480539870736
C0002103,both,0.6083657763693979,0.6082877695408223,0.6174914127031216
C0002170,head,0.7817813503739808,0.7522380238511647,0.8117743687285963
C0002170,tail,0.8491779160396217,0.824765677034839,0.8939074787097887
C0002170,both,0.5956837784416343,0.5802137031944281,0.4191886607381172
C0002390,head,0.823289224952741,0.7742664232395089,0.6817720842196568
C0002390,tail,0.8939886578449906,0.8921261686604238,0.9402429466527163
C0002390,both,0.652703213610586,0.6582676868766097,0.5846989951823658
C0002453,head,0.8682528409090908,0.8764490061598977,0.9599180547973372
C0002453,tail,0.8742252066115702,0.827852094816229,0.7500473789886464
C0002453,both,0.6427233987603306,0.6535976131875163,0.6156794544494225
C0002622,head,0.7889356672199587,0.7708127329138602,0.9619706863762846
C0002622,tail,0.8390101101554247,0.8033554067841011,0.7172140780560885
C0002622,both,0.5825209999497007,0.5620908547912619,0.1645876717477243
C0002726,head,0.8480725623582767,0.828606967380569,0.7155556070553908
C0002726,tail,0.9078798185941044,0.8799321343978352,0.8091457144253468
C0002726,both,0.5717120181405896,0.5686651043425963,0.3392484679335644
C0002736,head,0.893125,0.8798080326287463,0.8173308051133605
C0002736,tail,0.88078125,0.8517217131003081,0.7560169838131149
C0002736,both,0.73375,0.7034297699989757,0.5703366717003054
C0002792,head,0.7982217753519104,0.7813372470863265,0.8304021043668264
C0002792,tail,0.8424274633725941,0.8016900928780164,0.771799215069288
C0002792,both,0.5710112036771042,0.5735750410774784,0.4741073578855425
C0002871,head,0.7724913270703009,0.7480176398159183,0.8527149584366548
C0002871,tail,0.8275301110932765,0.7912417806208136,0.7207537653451439
C0002871,both,0.5631990619843926,0.5536492092405763,0.3842966093262615
C0002874,head,0.8130804259743984,0.7786461099242757,0.7377238350112301
C0002874,tail,0.8381799275700097,0.8008198777931554,0.7207614182400769
C0002874,both,0.6028541718957295,0.5962762606833492,0.4510578623980991
C0002878,head,0.8312066443934576,0.8003060533423896,0.7780294123599751
C0002878,tail,0.8225657126756027,0.7917350397542164,0.737696123821952
C0002878,both,0.5947349353942761,0.5890376857086681,0.4075419805094025
C0002884,head,0.8073817762399078,0.8274558053865083,0.6656220764756818
C0002884,tail,0.8589004229142637,0.826907311356733,0.6522770390932087
C0002884,both,0.6562860438292963,0.6524269700202108,0.4401809301959092
C0002940,head,0.8514176296694437,0.8138112222357673,0.7596015441053742
C0002940,tail,0.8902176834184359,0.861048277767855,0.8601549289822167
C0002940,both,0.6245128997581295,0.616981999373079,0.5165639619371565
C0002962,head,0.8085124437569585,0.7748988918727934,0.8057709271873503
C0002962,tail,0.8404573667266114,0.8145010414421968,0.8096905240964797
C0002962,both,0.6038639391240962,0.5884560599795194,0.4461464812906554
C0002994,head,0.7891805717929642,0.7660588090619129,0.8462378934098951
C0002994,tail,0.8387416303539164,0.7946540973439336,0.7483756241660287
C0002994,both,0.6136124986714847,0.5976058436306304,0.4424181137107467
C0003044,head,0.914501379010016,0.9036868666042848,0.8502466804213471
C0003044,tail,0.9057918420670634,0.9035989573659512,0.865449155403683
C0003044,both,0.639280011612716,0.5851138321932391,0.3178560794945249
C0003079,head,0.803,0.794084289468071,0.7375393184916764
C0003079,tail,0.8698,0.8482223514986231,0.8446833023028327
C0003079,both,0.6014,0.5800423681075106,0.3547506789875798
C0003123,head,0.78104406975351,0.7445136654565232,0.7430745654642034
C0003123,tail,0.829203079823934,0.7997854803062688,0.8512165948271734
C0003123,both,0.576894694419937,0.5504882123805771,0.2819628404505568
C0003126,head,0.8488091920864135,0.8343271321252549,0.8626974427094916
C0003126,tail,0.8702158697897031,0.8534925061829193,0.880689836906633
C0003126,both,0.6537723942369158,0.6270972353187353,0.4702024273988674
C0003467,head,0.7783688337010508,0.7542714771332643,0.7957698979309447
C0003467,tail,0.8292842779432845,0.805133957644925,0.9282949382909536
C0003467,both,0.5830659193138804,0.5637557657858167,0.3283537209060463
C0003486,head,0.8614881980128409,0.8458946194340348,0.9025383102303018
C0003486,tail,0.8693458504357896,0.847324885825198,0.8492356204068758
C0003486,both,0.620061827317749,0.6010896623825374,0.5105147185681064
C0003504,head,0.8236670918367347,0.7980499546229545,0.8071534978747862
C0003504,tail,0.8518080357142856,0.8192441558321644,0.9442600133430206
C0003504,both,0.5853858418367348,0.584003465612968,0.6044230606384283
C0003507,head,0.8377617730034722,0.81947061506281,0.9791918367346938
C0003507,tail,0.8634847005208334,0.8485242047994948,0.8738517260495382
C0003507,both,0.59832763671875,0.572218204241402,0.3808565372172597
C0003537,head,0.8007110971885035,0.7467631293865116,0.5195269472428545
C0003537,tail,0.8616148484611167,0.8217707093359995,0.7867881188007416
C0003537,both,0.5966074085676247,0.5735577278523318,0.4061819094911891
C0003564,head,0.8509754610577656,0.8522009426243269,0.9112435434476166
C0003564,tail,0.8428974241731444,0.8177833971497704,0.8051513710391717
C0003564,both,0.6223898795915257,0.5936476552657569,0.3715294348484314
C0003578,head,0.7944448891379172,0.7786451165084738,0.8183242382995088
C0003578,tail,0.8587824566372552,0.8397108235216788,0.9520801067976246
C0003578,both,0.581433294952866,0.5625456689218333,0.370576644693482
C0003611,head,0.858837652708142,0.8369838391565378,0.7840142903366872
C0003611,tail,0.8520584704470023,0.8467173895406814,0.8828086232535736
C0003611,both,0.6061718805169125,0.5928726581618029,0.4438250431442807
C0003615,head,0.8472574097249778,0.8344812912193389,0.8675934267012693
C0003615,tail,0.8760111107719546,0.8535879375120143,0.84016779346436
C0003615,both,0.6374347547388663,0.5937430573541437,0.3937391643710677
C0003635,head,0.8223062381852553,0.780250062971007,0.6968168695152451
C0003635,tail,0.9128071833648392,0.901901896729444,0.8657719856283262
C0003635,both,0.682774102079395,0.6665428449506723,0.5222352647360359
C0003708,head,0.8579714455681142,0.8467110186894012,0.7654136765406409
C0003708,tail,0.924301011302796,0.9219697794640742,0.8984580375129498
C0003708,both,0.6033610945865556,0.6082947642401455,0.4108910874196496
C0003811,head,0.7819903628445517,0.7545108245362697,0.8073938974662463
C0003811,tail,0.8272292171645518,0.7885147839009576,0.6832544051735918
C0003811,both,0.5761771621103047,0.5673320100006326,0.3818550914840816
C0003850,head,0.7807181158879649,0.751293806770595,0.7785193559089048
C0003850,tail,0.8549822183196265,0.8245802710681911,0.7816793582387532
C0003850,both,0.5856533691453889,0.565572768913513,0.3640546026266395
C0003862,head,0.7853961520239345,0.7562682348532763,0.8816452543996307
C0003862,tail,0.8408452157859937,0.8132708429200789,0.8323241529154266
C0003862,both,0.5804375102786954,0.5727133846979117,0.5651427761893887
C0003864,head,0.8271864149305557,0.7990634778414674,0.8439424567801082
C0003864,tail,0.8606673177083333,0.8296129559508963,0.8324543291257355
C0003864,both,0.5992035590277778,0.5834287454386788,0.4705853567571344
C0003868,head,0.9014773089595068,0.8745327539009773,0.85273611720831
C0003868,tail,0.9089169943670954,0.8943692737661395,0.8598570267451262
C0003868,both,0.596662769688596,0.6108661811284495,0.482286271524231
C0003869,head,0.8576962809917356,0.8615769612585824,0.976550749366378
C0003869,tail,0.8792290805785125,0.8695206862653773,0.9132731997074496
C0003869,both,0.6328770661157026,0.631875860751132,0.5525320039257399
C0003872,head,0.8763552295918368,0.847986744822316,0.7934955853362224
C0003872,tail,0.8765146683673469,0.8574372126061564,0.7933333229310872
C0003872,both,0.6661352040816326,0.6306350743494735,0.4639442378769041
C0003873,head,0.8252421392371458,0.794498963987217,0.7505087706902658
C0003873,tail,0.8717131854397284,0.8370370044270321,0.8860075102896628
C0003873,both,0.62639712922942,0.6088554172114871,0.5333107488177141
C0003874,head,0.8201212457772223,0.7968132602878546,0.7925647191963496
C0003874,tail,0.8660743208848165,0.8600525295851373,0.9045089330779452
C0003874,both,0.624276921653015,0.6017240981196682,0.4285614927207604
C0003962,head,0.8126162568638053,0.783938815085252,0.8063070762155372
C0003962,tail,0.8379100302081834,0.8014403061711552,0.8593555959906328
C0003962,both,0.5823247404526763,0.5654012171221298,0.3932881169449957
C0004030,head,0.8136380025238867,0.793461288181186,0.761268048963697
C0004030,tail,0.8620575686557299,0.8486965596200939,0.9220069244209635
C0004030,both,0.50159245237666,0.5105106846858111,0.3008600427726668
C0004093,head,0.7819077301413763,0.7518871286690735,0.7436677803343735
C0004093,tail,0.8282191809546948,0.7942777648488726,0.6679771925822544
C0004093,both,0.5777921128060067,0.5598721323981792,0.1810019993180271
C0004095,head,0.8968589886388951,0.90174241713737,0.8484382123452405
C0004095,tail,0.8389396302071731,0.786923308340338,0.6833056043391943
C0004095,both,0.6852305635999109,0.6960260746969202,0.5218923600855725
C0004096,head,0.8097029902069216,0.7843285511497546,0.9180074010132871
C0004096,tail,0.8641685937782781,0.8305430332965515,0.863338935287734
C0004096,both,0.5872887047799071,0.5730796818809801,0.3840045391990183
C0004134,head,0.8076928757088848,0.7749246388073674,0.7408558264802155
C0004134,tail,0.8720167769376181,0.8453523468084121,0.8906561419606305
C0004134,both,0.5717302693761814,0.5483012126520156,0.317784306570978
C0004144,head,0.8114286381086852,0.7870944603549084,0.8808520910038097
C0004144,tail,0.8541104809077674,0.8151079985883528,0.7047745026492958
C0004144,both,0.5933415199516217,0.5754165673397691,0.3016138523989788
C0004153,head,0.785716172547086,0.7541247710903924,0.7150260485699209
C0004153,tail,0.8698060210092542,0.8362730461478098,0.7563442354457968
C0004153,both,0.5793922637339416,0.5734140337696856,0.4523877246501956
C0004238,head,0.7899140796353575,0.7625677335419265,0.8819210273274567
C0004238,tail,0.8578021260923373,0.8340641197229175,0.9678450282984528
C0004238,both,0.5810772508779071,0.5649501652537463,0.3816846722074888
C0004239,head,0.8038161784466542,0.776486632678304,0.7449551799877863
C0004239,tail,0.8651119679261114,0.8538605621266399,0.9300581241171476
C0004239,both,0.5844764135162261,0.5704751977434634,0.4064369294804733
C0004245,head,0.8354379163687004,0.810338607298474,0.8167088529217685
C0004245,tail,0.8752681696714216,0.8660880686055084,0.9485510961387084
C0004245,both,0.6073431442658737,0.6070442931671954,0.5113767425114588
C0004601,head,0.8295257964644477,0.7966883862761284,0.7742038297356675
C0004601,tail,0.8824774109244259,0.8720112638171001,0.973507077169304
C0004601,both,0.6386935829948994,0.6093563027698699,0.3848136156182415
C0004604,head,0.7992459307526166,0.7662133849281161,0.8606111515461883
C0004604,tail,0.8371309115270229,0.8135969125791978,0.8275911600250013
C0004604,both,0.5818961447857265,0.5585482630183441,0.2566401114290861
C0004610,head,0.8120286203249028,0.7732368967891726,0.6895877539927384
C0004610,tail,0.8646898461485539,0.8416424218281819,0.9147128399319872
C0004610,both,0.5814943971930066,0.5592688689093802,0.332017445558877
C0004623,head,0.8195470807537535,0.7918177744848781,0.8559275650261894
C0004623,tail,0.8568435097416888,0.8191882662349771,0.7871496867948642
C0004623,both,0.5896652952101012,0.576164114273893,0.4491622695554373
C0004626,head,0.8443849254660065,0.8218165665253542,0.870588328792729
C0004626,tail,0.8402456510564619,0.8170450552546682,0.8341354546774247
C0004626,both,0.5671256842428013,0.5472620085746612,0.3508015058452715
C0004690,head,0.8857248520710059,0.8732642019423835,0.7457231093179172
C0004690,tail,0.8727810650887574,0.8260682092638285,0.6889374621142117
C0004690,both,0.6538461538461537,0.6502510564232695,0.436210655212069
C0005001,head,0.805367207648539,0.788123493241332,0.9033112352981166
C0005001,tail,0.8570726191061508,0.8296402838209644,0.8525984321240508
C0005001,both,0.5810109552181434,0.554854180530357,0.3458579587097968
C0005424,head,0.8402771231972853,0.8328797435960786,0.8878352722941653
C0005424,tail,0.8936987463474408,0.8674667611652612,0.8377492524426231
C0005424,both,0.6683947591667452,0.6660457546268383,0.5988551522526727
C0005586,head,0.8480917159763314,0.8341809466315798,0.9226624093161112
C0005586,tail,0.8740865384615385,0.8576413761200367,0.8949078917572134
C0005586,both,0.6193528106508874,0.6068746983262333,0.5066091473190762
C0005687,head,0.8363177226813591,0.8276099726187098,0.7166296115554727
C0005687,tail,0.8960055096418733,0.8861035834601416,0.8181605869150249
C0005687,both,0.6441689623507805,0.6331611288822507,0.4186194199341115
C0005697,head,0.8354206049149338,0.7989326602491268,0.7551002437641872
C0005697,tail,0.863421550094518,0.8192045956843024,0.7543653738362172
C0005697,both,0.5548499527410208,0.5339714388012027,0.3054823942256927
C0005741,head,0.8422148807813846,0.8341926270192275,0.8603836288987048
C0005741,tail,0.8907641482332663,0.8703071458536822,0.8718404245994528
C0005741,both,0.5874748635449584,0.5911661145241586,0.4281641513955063
C0005745,head,0.8413731942402389,0.8115224670731731,0.7919369037204111
C0005745,tail,0.8463908142547083,0.800013440146017,0.713338547226472
C0005745,both,0.5972368083269154,0.6101578031904586,0.550694146144511
C0005747,head,0.8201901012242425,0.7898121912165368,0.8929949697674552
C0005747,tail,0.8652459551072231,0.8406871696603578,0.9296802226016144
C0005747,both,0.5980122074805765,0.5787293452565558,0.4045950508650394
C0005758,head,0.8149302487059714,0.7887678583994617,0.9085129482120408
C0005758,tail,0.8499439780330766,0.8267931659226815,0.8916659741745404
C0005758,both,0.6050905030930438,0.5895077830599382,0.4759894066447186
C0005779,head,0.82515102186759,0.7890532136436623,0.7628470152072141
C0005779,tail,0.8504742368926193,0.8244917972740429,0.8299723376698565
C0005779,both,0.5896886408972863,0.5684729521356844,0.3325009233666799
C0005818,head,0.8662982251036242,0.8477891788825818,0.8354048437496501
C0005818,tail,0.8856414071633543,0.8686395678406316,0.8671645154801123
C0005818,both,0.5517058135827398,0.527864912736473,0.2721024214563681
C0005826,head,0.8297169886192283,0.7974643596621187,0.7346733459088927
C0005826,tail,0.8384946270694116,0.8161790613215587,0.8068089758737124
C0005826,both,0.6056887985904984,0.5721360177095114,0.358202536242756
C0005961,head,0.8554740020718993,0.8536443154790494,0.9470141543386088
C0005961,tail,0.8723798188190173,0.83686357635414,0.7886008327954948
C0005961,both,0.5955828869933214,0.5681143600503984,0.3367417144272221
C0006012,head,0.8995198902606311,0.8983221940840823,0.7902628503627117
C0006012,tail,0.8947187928669409,0.887712381415205,0.7293169918679642
C0006012,both,0.6474622770919067,0.6425106102535107,0.4264853645940214
C0006105,head,0.809551458847438,0.7707609628077193,0.6690281828289001
C0006105,tail,0.8843083176077805,0.8836278314106605,0.8434232609797304
C0006105,both,0.5524749600812889,0.5768058789883124,0.4130808571403595
C0006107,head,0.872690096832684,0.8504065687354818,0.8434708917780658
C0006107,tail,0.8739631958643571,0.8685217384288005,0.903599743093774
C0006107,both,0.6092743335519463,0.5749433835070968,0.3647713168467804
C0006112,head,0.8383338842975206,0.8045375934693674,0.7799142136415114
C0006112,tail,0.8824066115702479,0.8614917512806853,0.8731434061524344
C0006112,both,0.6388099173553718,0.6033435414371745,0.3847425012460012
C0006118,head,0.8488592715997965,0.8283548287098215,0.8433318501259102
C0006118,tail,0.8710722384191772,0.8188229455190483,0.6952963806993553
C0006118,both,0.624230644638808,0.6034289997430915,0.4690137310931285
C0006144,head,0.8469819300269127,0.8257748770058504,0.7782290813791211
C0006144,tail,0.8479430988081507,0.8070518056240948,0.7388333425193058
C0006144,both,0.5830449826989619,0.5864543330399856,0.4058010598288322
C0006145,head,0.8348571967197662,0.8056089725225093,0.6948263402836072
