side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000737,head,0.6814712249292684,0.667215785314585,0.7256854901258302
C0000737,tail,0.7047508432265148,0.6985910836060164,0.652426353554933
C0000737,both,0.5589060885306577,0.545370696923267,0.3048343920393225
C0000768,head,0.8354235209848365,0.7970470007065207,0.7275553292830301
C0000768,tail,0.8633466474037563,0.8154994617596509,0.712079021158864
C0000768,both,0.5766368415301872,0.5703620737564974,0.4030365550249037
C0000786,head,0.8298725282644925,0.8185791371005607,0.7870456834657438
C0000786,tail,0.8905004279086528,0.8946657549587098,0.9489424568105568
C0000786,both,0.688392414756092,0.6643083989988143,0.5503163801459227
C0000833,head,0.8271260039779542,0.7935449779065897,0.8181087493634516
C0000833,tail,0.8894740381007329,0.8637269903818954,0.8797713493330973
C0000833,both,0.6150168856999703,0.5972327907849301,0.5632752854148193
C0001122,head,0.8036572413728285,0.7736239775341187,0.8660799593969517
C0001122,tail,0.8491183172231925,0.8298144789818529,0.9779148555444378
C0001122,both,0.5664803449123151,0.5570614586986521,0.5661602655069943
C0001126,head,0.7983581916984622,0.7739303216694865,0.6895585729779705
C0001126,tail,0.8753613134466413,0.8417154524472594,0.7645620856985252
C0001126,both,0.5690831309978032,0.5522845533071887,0.3015871963698039
C0001339,head,0.8443352165825281,0.8128136023167671,0.8039244630893714
C0001339,tail,0.8620801609499452,0.8331792589426785,0.8221056826343878
C0001339,both,0.6483451269263829,0.6424873641623607,0.7452164765464389
C0001418,head,0.8322621464725901,0.7960966361490556,0.7341940297304888
C0001418,tail,0.8640939117504075,0.8080704347017814,0.6658989152459521
C0001418,both,0.6176685063913753,0.5891558909369292,0.3470806207018817
C0001430,head,0.8931477306146457,0.8669633460751274,0.8399276328487061
C0001430,tail,0.909200078423684,0.8899842758055955,0.8827500829574236
C0001430,both,0.641922360552887,0.632226333759597,0.5146132945374082
C0001546,head,0.8247605164514785,0.8074400290604946,0.7621769586217877
C0001546,tail,0.9259683465222824,0.9163504034453752,0.8909387053367712
C0001546,both,0.6635776759683465,0.6524528066711636,0.5047179314456688
C0001623,head,0.8532530780907404,0.8241117353936223,0.8654867471640347
C0001623,tail,0.8781413391803002,0.8672601000734914,0.9251837604319144
C0001623,both,0.631198347107438,0.6230566070080479,0.5673716681862935
C0001818,head,0.8447532699167657,0.8149887968429872,0.765401507939396
C0001818,tail,0.9282104637336506,0.920096413653568,0.926110504465092
C0001818,both,0.6755350772889417,0.640362099908879,0.4899553001104638
C0001824,head,0.7977552624683378,0.762553723868042,0.7235871902414595
C0001824,tail,0.8491243776749062,0.8152138659530866,0.8082360257084491
C0001824,both,0.5787022884094681,0.5697395119967303,0.4595610629658469
C0001948,head,0.8570335927351309,0.8295160973116702,0.8256605454368198
C0001948,tail,0.8690526775850138,0.8219922238409454,0.7270833135106275
C0001948,both,0.6618630795566293,0.6283297449767156,0.4696314635573961
C0001969,head,0.874870501328769,0.8746976226180913,0.9579581415544942
C0001969,tail,0.8736993829106797,0.847474113547608,0.8019493592033978
C0001969,both,0.6188459979280213,0.6081671901178777,0.4445164411394038
C0002064,head,0.8358677685950413,0.760978927943688,0.5854659620866108
C0002064,tail,0.894710743801653,0.8899469266467221,0.8976710817835614
C0002064,both,0.5387603305785125,0.5097334499644772,0.2363642325404254
C0002103,head,0.8782299683114531,0.852955480169261,0.860455209313415
C0002103,tail,0.9206518786781348,0.9004885976462782,0.8883751932222939
C0002103,both,0.6462743322770484,0.6515561823180878,0.6836660624427917
C0002170,head,0.813825217313178,0.7862052847239562,0.8862967913635655
C0002170,tail,0.8788633453875698,0.8538467331678025,0.9791918367346938
C0002170,both,0.6405755149255408,0.6325350302164944,0.7180943986221595
C0002390,head,0.829413988657845,0.7799100717307788,0.6819321656475686
C0002390,tail,0.8899810964083176,0.8815921099111802,0.8842484208408088
C0002390,both,0.654593572778828,0.6496904590468899,0.5007732006912502
C0002453,head,0.8954997417355371,0.8872285526472485,0.9148599205746584
C0002453,tail,0.9166774276859504,0.8812979001641351,0.8233418751422507
C0002453,both,0.6932141012396694,0.70093362804813,0.7016440010933397
C0002622,head,0.825685327699814,0.7829173496941857,0.6532099893935299
C0002622,tail,0.8697640963734219,0.831047748264481,0.7984767066156219
C0002622,both,0.6281157889442182,0.5984965055129419,0.3216171852083143
