Relation,AUROC,AUPRC,AP@50
C0005779,0.9780100869434303,0.9685582691802564,1.0
C0011991,0.9720835585793459,0.959102991183536,1.0
C0011860,0.9803774542809717,0.973007850737405,1.0
C0038395,0.9727070267841211,0.9648723363753303,1.0
C1145670,0.967355039917127,0.953579640958269,1.0
C0012833,0.9713539747544402,0.9608989854809911,1.0
C0520474,0.9749391535374554,0.9657889949057776,0.9287727401198406
C0021400,0.9784090909090909,0.9719557600519289,1.0
C0024902,0.9848026240802421,0.9818207128238254,1.0
C0043144,0.9749266482266028,0.9625580235588702,1.0
C0085682,0.9812458639763262,0.978505701230446,1.0
C0020676,0.9784901265119567,0.970439894392622,1.0
C0151825,0.98015589569161,0.9768796718839781,1.0
C0013604,0.9666097253021252,0.9502520125253864,1.0
C0042571,0.9775400978078724,0.9706667742869204,1.0
C0009782,0.9775093710953769,0.9704231601934923,0.9663350567884812
C0008325,0.9765222974658401,0.9674407227963311,1.0
C0013144,0.9732442799392065,0.9647669590970863,1.0
C0013362,0.9738289762864554,0.9649431765716924,1.0
C0031046,0.9740922311878402,0.9633459268907032,0.9588069436862261
C0043246,0.9846106494305941,0.9813530459154621,1.0
C0151908,0.9701838097341717,0.9558709199082503,0.9455862538553077
C0231807,0.9752675948492603,0.9585678630698239,0.9291978608927873
C0026946,0.9779297933817325,0.9731449881277608,1.0
C0162297,0.9730644731016009,0.9638339182468214,0.973507077169304
C0235946,0.9680809159503511,0.9452972189169714,0.868163077181267
C0030554,0.9706053289768537,0.9598393240277703,1.0
C0040034,0.9682298459749673,0.9565512299591055,1.0
C0032285,0.9739888533471039,0.965183390721254,1.0
C0151723,0.9814986281993022,0.9767230788086196,1.0
C0036983,0.9753987283609103,0.9700045367419246,1.0
C0025286,0.985482103725347,0.9847611140953884,1.0
C0027121,0.9779833733358801,0.9688690518882053,0.969915635851819
C0027022,0.9907544378698225,0.9903988627964672,0.9544338588790703
C0013384,0.9665636575007523,0.9501154334693376,0.9740476177098445
C0016436,0.9783207400607301,0.9726444605307487,0.9551952574134995
C0004610,0.9800461812333915,0.9755660338435808,1.0
C0003873,0.9812105321246507,0.9761185754090457,1.0
C0575090,0.9722833452637818,0.961793299900414,0.9550471397646575
C0442874,0.9736142714939547,0.9656433505213382,1.0
C0678222,0.9769134219943385,0.9686802479724039,1.0
C0700594,0.9783559812875918,0.9725724614400746,1.0
C0011849,0.974046096871168,0.9659241463111342,1.0
C0024141,0.9742115098103583,0.9701539365794036,1.0
C0042029,0.974011753404242,0.9642687041199806,1.0
C0027497,0.9723445206663577,0.9634934538164043,1.0
C0262385,0.9764425025899734,0.9731712763487167,1.0
C0002622,0.9742688999547305,0.9672686904885114,1.0
C0917801,0.9703488652192583,0.9605924506495181,1.0
