side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.6811834774942893,0.6677790191047306,0.6885151535480871
C0000737,tail,0.7062380109780337,0.6986396886104382,0.6942164235199876
C0000737,both,0.5578294899016794,0.5456041325782143,0.3610297625278326
C0000768,head,0.8313078949604826,0.8099229160332847,0.81698508986738
C0000768,tail,0.8651555803761124,0.8219155076715652,0.7472638652118876
C0000768,both,0.563173038400369,0.5687205474776531,0.4731879756905202
C0000786,head,0.8434755191207604,0.8195170224414181,0.7450361460615745
C0000786,tail,0.9056348813116527,0.8983342855929961,0.905945331353372
C0000786,both,0.6942029638304581,0.6522269907372442,0.48059861597986825
C0000833,head,0.8378408861684752,0.7978738223945976,0.8085046774369328
C0000833,tail,0.8942350029606911,0.8692663754608561,0.8906063138785076
C0000833,both,0.6197149494296603,0.5994885737066145,0.5001455203545189
C0001122,head,0.8117859363104534,0.7800752325479784,0.8124067965416107
C0001122,tail,0.8569475904609349,0.8259994094663844,0.9663350567884812
C0001122,both,0.5752535349887012,0.5657727812576051,0.6340576193085905
C0001126,head,0.8240258989478553,0.7868476148462752,0.6665561230157163
C0001126,tail,0.8646086252745983,0.8297830138709832,0.7605184335976151
C0001126,both,0.5604116082784137,0.5467406235017601,0.28803595236771945
C0001339,head,0.8411843446372638,0.8072566921605278,0.8567033100176293
C0001339,tail,0.8715088259010191,0.8449795676546408,0.9132802452383052
C0001339,both,0.6505645755770169,0.6409367884996086,0.6806903854754371
C0001418,head,0.8290736080528469,0.792104484073052,0.7703071412550652
C0001418,tail,0.8650197317624182,0.8090373019511923,0.6341205262816065
C0001418,both,0.6079938659955961,0.5854679975930379,0.38786548377444263
C0001430,head,0.9007205175963141,0.882610917620423,0.8767473418829935
C0001430,tail,0.9125820997941378,0.8902551023990778,0.8784672765525053
C0001430,both,0.6528036467013038,0.6379062154156194,0.5449975273976474
C0001546,head,0.8582882132444813,0.8415539089320739,0.8133786425363071
C0001546,tail,0.9260724698042482,0.9143747432644603,0.9045216115635836
C0001546,both,0.6750312369845898,0.669207391663018,0.5498796449128425
C0001623,head,0.8534955304435824,0.8264613194872696,0.8533457272964197
C0001623,tail,0.8826741440377803,0.8729677282388186,0.9534460540010216
C0001623,both,0.6252740765727778,0.6157525970435253,0.5342505753708775
C0001818,head,0.8484690844233056,0.8213941428628861,0.7466662334609937
C0001818,tail,0.9317033293697978,0.9249070713709904,0.9663350567884812
C0001818,both,0.6730826397146253,0.6238200681334668,0.4138749245501684
C0001824,head,0.805479736221504,0.7709949343012097,0.7405078273140246
C0001824,tail,0.8593709057559613,0.829538783888934,0.884066408480399
C0001824,both,0.5763167088828719,0.5654856199689355,0.44354821664833494
C0001948,head,0.8579077079969407,0.8278402819778303,0.7774709243473794
C0001948,tail,0.8817394893710011,0.8431370804142465,0.804119108271663
C0001948,both,0.6523934975536914,0.6210822392794184,0.5079355471945559
C0001969,head,0.8812666096121796,0.867410712712117,0.9182354771960433
C0001969,tail,0.8777082113418314,0.829032816904597,0.7670549548831986
C0001969,both,0.6282149452727355,0.6195147479605807,0.48207140561828593
C0002064,head,0.8470247933884297,0.79996301735626,0.6571956634503074
C0002064,tail,0.906198347107438,0.8949587291831417,0.8985472231698667
C0002064,both,0.5558677685950414,0.5284907970573389,0.27986795047199103
C0002103,head,0.886568583069262,0.8606725801598156,0.924658234906389
C0002103,tail,0.9223992756903576,0.9000738615971321,0.8641036960262986
C0002103,both,0.6466998641919421,0.6466067130019981,0.6659804366291974
C0002170,head,0.8184775162282967,0.7840209279624425,0.8945630329980697
C0002170,tail,0.8822564070887895,0.8565023077726794,0.9321524368587256
C0002170,both,0.6393008355607466,0.6267907063222462,0.687120112140186
C0002390,head,0.8304725897920605,0.782338717449405,0.6784793176379317
C0002390,tail,0.9047258979206049,0.8988630918260627,0.9173802784909614
C0002390,both,0.6533081285444235,0.6457442781048988,0.5039093275526573
C0002453,head,0.9126743285123966,0.9046151300952442,0.9655350567884813
C0002453,tail,0.9034736570247934,0.8495411523706398,0.714235811920924
C0002453,both,0.6837551652892562,0.7051458514195219,0.779720369243048
C0002622,head,0.8296629948191742,0.7935979397579327,0.8378731606879426
C0002622,tail,0.870696645037976,0.8313824782691877,0.7672620255902693
C0002622,both,0.6201071374679342,0.5919455649732179,0.3107444384275732
C0002726,head,0.840702947845805,0.8210228738107257,0.7163266298876755
C0002726,tail,0.9209183673469388,0.9032228996863647,0.9106185762680092
C0002726,both,0.5956632653061225,0.6300186258897207,0.4670964109102378
C0002736,head,0.9253125,0.9068965017217309,0.8684566283998543
C0002736,tail,0.93359375,0.9355470739891536,0.9546952574134996
C0002736,both,0.765,0.7328479598183236,0.6179452486470115
C0002792,head,0.8097673082447572,0.7824120506960509,0.8292927004565002
C0002792,tail,0.8639672507900028,0.8245959299674294,0.7579702067758377
C0002792,both,0.5969491525423729,0.5879221560098151,0.459475424526098
C0002871,head,0.8021439808449184,0.7603763096434228,0.7622371447742151
C0002871,tail,0.8460239539951265,0.8050548378242977,0.7043304815815151
C0002871,both,0.5863258236250481,0.5645767428214234,0.37557216876977934
