side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5088682180852906,0.5097865799814565,0.3488365232190845
C0000731,tail,0.5094715783377738,0.5086548136834655,0.33258359454505715
C0000731,both,0.505065870868437,0.5013950272653064,0.2701509597974194
C0000737,head,0.688043950694553,0.6710265281409658,0.6521190925238508
C0000737,tail,0.7053404961838696,0.7000567202402443,0.7683562553697145
C0000737,both,0.5431737918484907,0.5334738966061644,0.44317640199411984
C0000768,head,0.836611601997695,0.8059439885087603,0.7840693749078943
C0000768,tail,0.8450505826610322,0.808479239060415,0.773060065778198
C0000768,both,0.5702778844922526,0.5576548454500598,0.33680873407457185
C0000786,head,0.8156605299462443,0.7855446712474505,0.727415175363908
C0000786,tail,0.867703724846582,0.8604611822669375,0.8692765476840804
C0000786,both,0.6423576423576424,0.6462091781907682,0.5349388217952864
C0000833,head,0.8274210478276743,0.8021108757180233,0.8093717647159466
C0000833,tail,0.8745253742241694,0.8446524047142294,0.8811115023558994
C0000833,both,0.5685514786418401,0.5462291488906804,0.32029361006289997
C0001122,head,0.8137803624443789,0.7806335020885655,0.7677721633708756
C0001122,tail,0.8479257571291989,0.8162260420960803,0.7958365699660455
C0001122,both,0.5796234661529281,0.5557576478615612,0.38934546884817967
C0001126,head,0.8053724053724054,0.7777659755210449,0.6641723158161902
C0001126,tail,0.8527472527472528,0.8246945914482828,0.7655639966081321
C0001126,both,0.5201465201465201,0.5410589831741832,0.3171182524150915
C0001339,head,0.8457535311504657,0.8155202236951214,0.8095296965875263
C0001339,tail,0.8504738494923141,0.8167772593935408,0.8334367330034993
C0001339,both,0.6396730452485018,0.6029793800083846,0.3846313013928605
C0001418,head,0.8148770809629743,0.778191730458363,0.7798505930550302
C0001418,tail,0.8542858921889946,0.8031915993962964,0.6895640136542036
C0001418,both,0.573061777453239,0.5409384874327956,0.24860341580169654
C0001430,head,0.90163679685072,0.8860177609663534,0.8842689414870809
C0001430,tail,0.8885579612555682,0.8603102762195065,0.8342243812723518
C0001430,both,0.6909768983735626,0.6512888911502518,0.4950085704664112
C0001546,head,0.8497949229575434,0.8335181298743595,0.803868938500534
C0001546,tail,0.9132025274359827,0.8944437351362103,0.8513743025511521
C0001546,both,0.6096885046003769,0.5703543393825014,0.3375017528874039
C0001623,head,0.8253333333333334,0.7933104466378,0.8335710591820744
C0001623,tail,0.8655111111111111,0.8415465983341375,0.832968259208348
C0001623,both,0.561,0.5423887342905358,0.30306581714630026
C0001818,head,0.8436349392871132,0.8190148710635209,0.8085080743110704
C0001818,tail,0.9171171171171171,0.9041801235580427,0.9164966772745561
C0001818,both,0.6716020368194281,0.619427421623043,0.44864593846127576
C0001824,head,0.7943095346007967,0.7581930755558582,0.728967942154031
C0001824,tail,0.8428949691085613,0.7919929372185377,0.7253747141958037
C0001824,both,0.5535888933947186,0.5363636680096697,0.3310612343461915
C0001948,head,0.868514041286963,0.8511462544786308,0.8348025511813705
C0001948,tail,0.8653524270039055,0.833797626167615,0.8571640580443061
C0001948,both,0.64949476163908,0.6497030530544889,0.5954178993233858
C0001969,head,0.851544289044289,0.8104795850718868,0.7316733794695538
C0001969,tail,0.853923853923854,0.8218346710647506,0.7866989504388927
C0001969,both,0.5354992229992229,0.539067274733605,0.2811853124922789
C0002064,head,0.8455026455026455,0.8133286088464868,0.7793100647841995
C0002064,tail,0.8994708994708995,0.8836384870439683,0.8713408550176518
C0002064,both,0.5385361552028218,0.5398668447904076,0.33376297387352305
C0002103,head,0.8732998084291188,0.8406916355928973,0.8415210417689027
C0002103,tail,0.8906513409961686,0.8787693690084157,1.0
C0002103,both,0.630028735632184,0.5925784728736335,0.2678598742989688
C0002170,head,0.8100448748370509,0.7738247991294186,0.7739285286695352
C0002170,tail,0.8618266521689504,0.8326152190934761,0.8521590427014761
C0002170,both,0.5867550146278753,0.5389348125585987,0.10371740392977274
C0002390,head,0.8339127686472819,0.8045844408115035,0.7101412260061828
C0002390,tail,0.8960967130214917,0.8865146250741154,0.8787343595006308
C0002390,both,0.6075379266750949,0.5585650668435307,0.28162840777449477
C0002453,head,0.897911990750187,0.8918720600038794,0.9096925119769201
C0002453,tail,0.8800924981296334,0.8273475629597191,0.713837586914659
C0002453,both,0.6428279942868802,0.6099584488637633,0.38617538140830343
C0002622,head,0.8263293276440168,0.7846413241302408,0.7329593205758949
C0002622,tail,0.8547981260588788,0.8210116568019925,0.8102711287414731
C0002622,both,0.5947266446308794,0.5712621085681675,0.4034942464158192
C0002726,head,0.849260783417162,0.8042241024919725,0.6791782433829769
C0002726,tail,0.9172382258802012,0.8886736881804826,0.8271879174164307
C0002726,both,0.6058527663465935,0.5412561485578541,0.2828553286609515
C0002736,head,0.8887987012987013,0.862259078713276,0.7858783883816145
C0002736,tail,0.9144480519480519,0.9210740851762184,0.9451216777809754
C0002736,both,0.6538961038961039,0.6814279521465131,0.5248559888985627
C0002792,head,0.8136154360256443,0.7956139636801665,0.9005743348468203
C0002792,tail,0.8424589717567266,0.7857008444797724,0.6596471494556355
C0002792,both,0.5770408921012897,0.5450920845044839,0.2594754540549441
C0002871,head,0.7947894395682711,0.7523794611233396,0.6729935523011242
C0002871,tail,0.8381566130756463,0.7978399315925844,0.7967790400266013
C0002871,both,0.5759399527386277,0.5439617022147227,0.3301756140867269
C0002874,head,0.8123153828675301,0.7660906109377074,0.6433702747953065
C0002874,tail,0.8180337802014693,0.7625947368054484,0.6227105524109693
