side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.6802857665807642,0.6604184231036422,0.5302017205131844
C0000737,tail,0.6990768303103855,0.6900067914232557,0.8242520642932957
C0000737,both,0.5693880360332216,0.5469162110785837,0.2798394383366241
C0000768,head,0.841712294673967,0.8035075348051195,0.6670052922221827
C0000768,tail,0.854411246949702,0.8132780884754682,0.8037714133032432
C0000768,both,0.6180601925481674,0.5817655320591233,0.38524860027690755
C0000786,head,0.8133867843790819,0.7893982495218712,0.7447235411544866
C0000786,tail,0.8697355974956085,0.8644613183815959,0.9170961057331044
C0000786,both,0.6181253096707355,0.5791198562814533,0.3743712880745729
C0000833,head,0.8251695619261629,0.7865461435689207,0.8180356433313962
C0000833,tail,0.8715342019473323,0.836734689759773,0.8729143926069185
C0000833,both,0.6242264787730376,0.5704166864407405,0.1558873206311019
C0001122,head,0.8096456753704842,0.7638263395670899,0.7103879289057582
C0001122,tail,0.8555995214623595,0.8218158007731361,0.8433746394833025
C0001122,both,0.6279812935285974,0.5990637152184419,0.4519049456588581
C0001126,head,0.8350098277257487,0.7994396251389938,0.7028463071793023
C0001126,tail,0.8629899410336456,0.8529354964810207,0.7991203133794288
C0001126,both,0.6339461209388368,0.6010144379337512,0.36480560514880167
C0001339,head,0.8297650950450942,0.7810060927275595,0.6638662432768634
C0001339,tail,0.8648558023679441,0.8299832985877467,0.7927877286953808
C0001339,both,0.6466579201583952,0.6174299480843247,0.4670155841328659
C0001418,head,0.8154186565243502,0.7686614313496041,0.6740760050223851
C0001418,tail,0.8594165546627013,0.8100755569147287,0.7224992746236777
C0001418,both,0.6029054305241786,0.5788363972901244,0.3820298050161518
C0001430,head,0.8973875110283306,0.8906387855699996,0.9328616916862325
C0001430,tail,0.9087589452014508,0.8992233352892522,0.9779148555444378
C0001430,both,0.7373541809626507,0.6877393250318737,0.5062071871483408
C0001546,head,0.8000832986255727,0.754501109678865,0.6252701418327877
C0001546,tail,0.9130570595585172,0.8966668094529419,0.8340914394523221
C0001546,both,0.6308829654310704,0.6313003681341403,0.4552325636720015
C0001623,head,0.818561308821049,0.7757465230478006,0.7383827701908505
C0001623,tail,0.8618864901332434,0.8321670215563773,0.7875525976245414
C0001623,both,0.5625421656265812,0.5427625951023556,0.30716768193758814
C0001818,head,0.8415576694411415,0.8186111302896668,0.7377995418674179
C0001818,tail,0.8830261593341261,0.8564067683846818,0.8111258510893916
C0001818,both,0.6226218787158145,0.5876104093355474,0.3582427654814945
C0001824,head,0.7972421172154773,0.7516874567379508,0.6474254025601246
C0001824,tail,0.8440802690191281,0.8021837013163239,0.7843074473920274
C0001824,both,0.6014662852650886,0.578640830976048,0.4270883597102514
C0001948,head,0.8423436001408297,0.8130796225047853,0.7684779406971656
C0001948,tail,0.8612342021877162,0.8277519315762814,0.771097765054606
C0001948,both,0.6369265136155593,0.6142390760654126,0.553605968681592
C0001969,head,0.8705013287689743,0.8579258528886884,0.9198361095946759
C0001969,tail,0.8539254988514031,0.8237772013598902,0.7731529605610784
C0001969,both,0.6384847529390569,0.6266041719786803,0.5315637798738982
C0002064,head,0.8223966942148759,0.7506158935394939,0.5739386479820179
C0002064,tail,0.8851239669421487,0.8487875779949815,0.7887332793865308
C0002064,both,0.598512396694215,0.5743116636005154,0.3175244118484106
C0002103,head,0.8779266636487099,0.861812951791183,0.9316825599000776
C0002103,tail,0.8960027161611589,0.8718007012977167,0.9151810273519705
C0002103,both,0.6631552738795835,0.6283218502504839,0.44649796847698875
C0002170,head,0.8055285707868198,0.767569587318969,0.8127223432077932
C0002170,tail,0.8695054019451495,0.8461989564675827,0.9282127756164772
C0002170,both,0.6330987062285214,0.6015915943901826,0.3419918379957002
C0002390,head,0.8340264650283554,0.7759358494655928,0.6339210011194747
C0002390,tail,0.9026086956521738,0.8982466221753783,0.9056408819131362
C0002390,both,0.6415122873345935,0.6121830495948659,0.40640207611345525
C0002453,head,0.8820054235537189,0.8561110550281437,0.8755871819059513
C0002453,tail,0.8965327995867769,0.8561669303370348,0.813679163234657
C0002453,both,0.6453706095041322,0.598966019861128,0.31470303060294613
C0002622,head,0.8166998641919421,0.7717773086303176,0.8043402092927621
C0002622,tail,0.8588707811478296,0.8253688386309432,0.9211268643938378
C0002622,both,0.6137417634927821,0.5819796820128716,0.4235131195534524
C0002726,head,0.8697562358276644,0.8221654617886699,0.6948440840692875
C0002726,tail,0.9046201814058956,0.8878763183431313,0.8448341594685886
C0002726,both,0.6604308390022675,0.6020712638656799,0.3595272417101571
C0002736,head,0.9175,0.9053513780918112,0.8519487891187195
C0002736,tail,0.9182812499999999,0.900832038260591,0.8674241049876383
C0002736,both,0.81953125,0.8226572818886428,0.7546104135277417
C0002792,head,0.7981442114334962,0.7657410203351616,0.757118891649053
C0002792,tail,0.8505745475438092,0.8009254994638101,0.6805196821415476
C0002792,both,0.6142056880206836,0.5674960551407091,0.2622383742793155
C0002871,head,0.7964492973038768,0.7551817390085401,0.8271564238058532
C0002871,tail,0.8439031658437967,0.8009171400022043,0.7385596321013794
