Relation,AUROC,AUPRC,AP@50
C0005779,0.9626820730927019,0.953026088942464,1.0
C0011991,0.9582661550835277,0.9405558902306699,0.967104287557712
C0011860,0.9688536306975505,0.9555121122906656,0.9520801067976246
C0038395,0.9652262409050957,0.9542680301924027,1.0
C1145670,0.9547166748548959,0.9367273852103176,0.9588069436862261
C0012833,0.9551223778235505,0.9408486822718802,1.0
C0520474,0.9591213956599287,0.9395720326579509,0.8843404864199479
C0021400,0.9653145087235997,0.9544130534546781,1.0
C0024902,0.9798381479464546,0.9757123606429361,1.0
C0043144,0.9657238892195651,0.9535370301317236,0.9770158656454478
C0085682,0.9614304086703542,0.9528569812840418,0.98
C0020676,0.970278528319992,0.9574192069140185,0.9265001941430973
C0151825,0.9664441609977324,0.9579695610348278,1.0
C0013604,0.9510613728881298,0.929159636093811,0.9031834265914673
C0042571,0.9646557915255976,0.9504494795979906,0.9149449596089019
C0009782,0.9630362349021241,0.9548410707759267,0.9599180547973373
C0008325,0.9660964883916445,0.9545225842111217,1.0
C0013144,0.9567237725002844,0.9401556557057278,0.9334085751154249
C0013362,0.9636089836568398,0.9496372083788814,0.9638321582377566
C0031046,0.9650028147870146,0.9531608882025555,0.9619706863762846
C0043246,0.9744536780547861,0.9693383864565592,1.0
C0151908,0.9580806293228021,0.9431381183390433,0.9246820123249155
C0231807,0.9662032170199842,0.9534056531634255,0.9755867540121388
C0026946,0.9679928910349915,0.9599878679539023,1.0
C0162297,0.9550093644546753,0.9401687074373803,0.9246820123249155
C0235946,0.9570298139038182,0.9440515391292033,0.9576304730979908
C0030554,0.9547542974453875,0.9388431185931392,0.9685593140127385
C0040034,0.9470007242901063,0.9286754864441213,0.9774704110999933
C0032285,0.9620701147019837,0.9474345656306129,0.946595258312776
C0151723,0.9706369733600747,0.9647857093723416,1.0
C0036983,0.9617820207212798,0.9490622427467845,0.939015893233411
C0025286,0.9731099342585829,0.9660428271942326,0.9705607971421415
C0027121,0.9646205848400037,0.9463889058672474,0.9416924458080979
C0027022,0.9700443786982248,0.9532654437058979,0.8990869584579017
C0013384,0.9550365974321802,0.9350391418382916,0.9275725712562999
C0016436,0.9665277875856224,0.9648763440078623,0.976550749366378
C0004610,0.9666153541851205,0.957429282698875,1.0
