drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.603036284062326
CID000004829,drug similarity,mean components,0.5835101201072059
CID000004140,drug similarity,mean components,0.5177571296545799
CID000002909,drug similarity,mean components,0.5005307106601441
CID000003676,drug similarity,mean components,0.4259374929887578
CID000003339,drug similarity,mean components,0.6206410961200363
CID000005656,drug similarity,mean components,0.6176555593170319
CID000000853,drug similarity,mean components,0.4833714125396623
CID000119607,drug similarity,mean components,0.5497579325769895
CID000004889,drug similarity,mean components,0.5098875464901581
CID000003154,drug similarity,mean components,0.5899115412288999
CID000005029,drug similarity,mean components,0.7058166536804921
CID000003823,drug similarity,mean components,0.622782676311069
CID000003937,drug similarity,mean components,0.593437132224391
CID000003883,drug similarity,mean components,0.6480052115814046
CID000004885,drug similarity,mean components,0.531123839206215
CID000003961,drug similarity,mean components,0.6406461798291249
CID000060835,drug similarity,mean components,0.5916748695108747
CID000002622,drug similarity,mean components,0.6277170789699863
CID000004609,drug similarity,mean components,0.4923216447920086
CID003468412,drug similarity,mean components,0.5718956288144471
CID000060147,drug similarity,mean components,0.44999451359654075
CID000002244,drug similarity,mean components,0.537792865101635
CID000002806,drug similarity,mean components,0.45669483037483705
CID000003446,drug similarity,mean components,0.43704184373096266
CID000005352,drug similarity,mean components,0.5875526636217823
CID000004112,drug similarity,mean components,0.5634367906886555
CID000004635,drug similarity,mean components,0.46284908949942327
CID000002088,drug similarity,mean components,0.4561369064551868
CID000002311,drug similarity,mean components,0.4349753940670982
CID000000772,drug similarity,mean components,0.3801095678604649
CID000003672,drug similarity,mean components,0.5631385590481848
CID000004583,drug similarity,mean components,0.6599844500845367
CID000003639,drug similarity,mean components,0.5542635129389248
CID000004585,drug similarity,mean components,0.582039966169458
CID000003899,drug similarity,mean components,0.5698500079037685
CID000004616,drug similarity,mean components,0.4928228648152242
CID000005064,drug similarity,mean components,0.4424953492396364
CID000003929,drug similarity,mean components,0.5990829201503263
CID000051263,drug similarity,mean components,0.6033294708338449
CID000065999,drug similarity,mean components,0.6350864137560769
CID000083786,drug similarity,mean components,0.5303828925160723
CID000002524,drug similarity,mean components,0.537771406985765
CID000003405,drug similarity,mean components,0.5254493427040311
CID000667490,drug similarity,mean components,0.5568731117872354
CID000003062,drug similarity,mean components,0.47184336571241947
CID000071616,drug similarity,mean components,0.5668738552486389
CID000004091,drug similarity,mean components,0.4552266285389097
CID000005090,drug similarity,mean components,0.6256619119607647
CID000004170,drug similarity,mean components,0.6030238597415963
CID000005095,drug similarity,mean components,0.5320532588972736
CID000005291,drug similarity,mean components,0.494949850252128
CID000019090,drug similarity,mean components,0.5975186290624419
CID000002802,drug similarity,mean components,0.59335144079326
CID000004900,drug similarity,mean components,0.7441318461946879
CID000002803,drug similarity,mean components,0.671789111232836
CID000003365,drug similarity,mean components,0.4906122723672254
CID000000942,drug similarity,mean components,0.6065133150267871
