Relation,AUROC,AUPRC,AP@50
C0005779,0.9678384583537205,0.9571296715094398,0.98
C0011991,0.9575008020955571,0.9394759590015718,0.8873705191549274
C0011860,0.9705099215422229,0.956982030640989,0.967104287557712
C0038395,0.9640168912444406,0.9543261329828581,0.9774704110999933
C1145670,0.9528416814714816,0.9313281054589064,0.8925539234926694
C0012833,0.9544476220858621,0.9383812669034811,0.9750867540121387
C0520474,0.9566387670927468,0.9413807970438421,0.9638321582377566
C0021400,0.9626469237832874,0.9513711490928334,1.0
C0024902,0.983067590329403,0.9808848109968809,1.0
C0043144,0.9628178285074052,0.9512966432173124,0.9711857971421415
C0085682,0.9663624218057411,0.9623403777492026,1.0
C0020676,0.9702911542637812,0.9573705782895403,0.9692489691851524
C0151825,0.9674759070294784,0.958772826044405,1.0
C0013604,0.9502564719224843,0.9298452729056029,0.9619706863762846
C0042571,0.9611718135494683,0.9475618389026925,0.9787751700680271
C0009782,0.9629321116201582,0.9477688374675729,0.9443730360905538
C0008325,0.9700367698007225,0.9585251253215287,0.9576304730979908
C0013144,0.9587324365959822,0.9442102614424861,0.9550471397646575
C0013362,0.9567498041920858,0.9447544027099819,1.0
C0031046,0.9671139050478514,0.9534986846771408,0.9228921680631111
C0043246,0.969290393904561,0.9592636098340623,0.9729515216137484
C0151908,0.9565025321407568,0.9377348170532209,0.8904964747132706
C0231807,0.9666117342841163,0.9497141057568951,0.9619706863762846
C0026946,0.9656469884702871,0.9554030630772271,1.0
C0162297,0.959954236556301,0.9532680098549012,0.9783496381531335
C0235946,0.9540930655975911,0.9364326424257261,0.9337814835184269
C0030554,0.9540198643901169,0.9397790902487994,1.0
C0040034,0.9461609875633754,0.9288720447975574,0.9705607971421415
C0032285,0.9595722296439041,0.9449902550514042,1.0
C0151723,0.9701005531619749,0.9637210777063959,1.0
C0036983,0.9596058665198794,0.9499133136923978,1.0
C0025286,0.9747991234477721,0.973438092434563,1.0
C0027121,0.9670788728417311,0.9543892893126638,0.9588069436862261
C0027022,0.9604289940828402,0.9486369154590027,0.8622864056630416
C0013384,0.9551103627483186,0.9372404450555261,0.9477481609103785
C0016436,0.9745074500388391,0.961941729518446,0.93465741294056
C0004610,0.9673097926574419,0.9558193747371609,1.0
C0003873,0.9744482327638923,0.9660082464097367,0.9443730360905538
C0575090,0.9588771190971009,0.9419750638995081,0.9269545583016588
C0442874,0.9566340917316902,0.9420375609373375,1.0
C0678222,0.971705923196069,0.9564655209355442,0.9275419750488249
C0700594,0.9698373802628648,0.9591093141565555,0.9770158656454478
C0011849,0.9640126231161742,0.9496293409392584,1.0
C0024141,0.9623557485922072,0.948580265015751,0.9705607971421415
C0042029,0.9615648034023824,0.9502526560258738,1.0
C0027497,0.9522708006683938,0.9342601751848448,0.8594172188056802
C0262385,0.9533804783568307,0.946707247542343,0.9576304730979908
C0002622,0.9589170564860922,0.9434559047638903,0.9795999999999999
C0917801,0.9567520239628827,0.9416901996844684,0.976550749366378
C0020615,0.9525601199980646,0.9324636661412172,0.8874968751579293
C0011168,0.9672495715260531,0.953116423350946,0.936033319101145
C0008033,0.9598135315175248,0.9452058909020683,0.9481678174140993
C0011615,0.9415611025745179,0.9106463326894264,0.7495846693962477
C0042487,0.9535040348613807,0.9314309512768342,0.8714127388477757
C0017152,0.9652935373075501,0.9555748171404455,1.0
C0009806,0.9603479902921108,0.9446771811470392,0.9619706863762846
C0036689,0.9887392485287461,0.9879415201824232,1.0
C0026650,0.9645824500874718,0.9544608057026313,0.9795999999999999
C0042909,0.9787729906777526,0.9737138609265208,0.9705607971421415
C0038362,0.959038450771255,0.9429815191550142,0.969915635851819
C0029408,0.9640714211177532,0.9545846123422,1.0
