,side_effect,fake_triple_component,AUROC,AUPRC,AP50
0,C0000731,head,0.5,0.4999999999999999,0.2759122624945266
1,C0000731,tail,0.5,0.4999999999999999,0.2759122624945266
2,C0000731,both,0.5,0.4999999999999999,0.2759122624945266
3,C0000737,head,0.6755044469958972,0.6663573478374114,0.6147958699809839
4,C0000737,tail,0.701266241422934,0.695702488676764,0.6083135719262383
5,C0000737,both,0.543903735720888,0.5276015522613476,0.1631504388339968
6,C0000768,head,0.8220932632422392,0.7828546036051801,0.750132595590281
7,C0000768,tail,0.8491908363583387,0.8097650841436632,0.7314734535390595
8,C0000768,both,0.573286066359917,0.562469796721677,0.3663376349565716
9,C0000786,head,0.8014954281338679,0.7813976836007175,0.6879604826308844
10,C0000786,tail,0.8803657492905725,0.8762965984863098,0.9127094997426468
11,C0000786,both,0.6138462231431017,0.5767117881875421,0.350556678838504
12,C0000833,head,0.8141531881112525,0.7879418531534617,0.854570321386295
13,C0000833,tail,0.8714257517227318,0.8397140621710543,0.745365915166433
14,C0000833,both,0.5486301652130722,0.5466484073380504,0.4346469684256721
15,C0001122,head,0.7857953271417043,0.7638552977087484,0.8336475471887103
16,C0001122,tail,0.8471015845181525,0.8181323968040726,0.912104383334436
17,C0001122,both,0.5366482761769086,0.5238517531567054,0.302541835991673
18,C0001126,head,0.7877211238293444,0.7675072418924365,0.6615141386265271
19,C0001126,tail,0.8440282113539137,0.8316457127371459,0.7345009030864981
20,C0001126,both,0.5540524916175281,0.5684654539629415,0.3499535157135003
21,C0001339,head,0.8240727681101953,0.795380085878137,0.7551144815139998
22,C0001339,tail,0.8473689953136102,0.8133987457248424,0.7919773332646514
23,C0001339,both,0.6033972999369294,0.5882473425692916,0.4162856489540235
24,C0001418,head,0.8100764248334239,0.7808649795068201,0.7752815720362607
25,C0001418,tail,0.8545247218965368,0.8074731380315353,0.7733662784514526
26,C0001418,both,0.569588421173039,0.5661995021143913,0.4158768982485472
27,C0001430,head,0.8765562199784335,0.8729297001242753,0.9740476177098444
28,C0001430,tail,0.8917263013430056,0.8641641287484294,0.8824138115876748
29,C0001430,both,0.6156259190275463,0.6200366605151962,0.5271143274382224
30,C0001546,head,0.8000832986255726,0.7632147902943736,0.6780159239196867
31,C0001546,tail,0.920033319450229,0.9044361887243788,0.833587181997985
32,C0001546,both,0.6132861307788422,0.6323616081093806,0.487559873822976
33,C0001623,head,0.836629279811098,0.8069030604871723,0.7700412444966013
34,C0001623,tail,0.8657762691853601,0.8478870289070349,0.904088837726072
35,C0001623,both,0.5841415078428065,0.5830247280280294,0.4886323731219157
36,C0001818,head,0.8090071343638525,0.7839653735688521,0.7461354414544197
37,C0001818,tail,0.9226367419738408,0.9218515860973708,0.9796
38,C0001818,both,0.6599286563614744,0.6374433542574517,0.4942296628556814
39,C0001824,head,0.7784577255655516,0.7443475066007827,0.7134149694430018
40,C0001824,tail,0.8338828718665385,0.8092543436177757,0.9011037202846002
41,C0001824,both,0.5102356100969517,0.5118259899458241,0.3608715623430473
42,C0001948,head,0.8281028056671806,0.8013465919062852,0.766371971699399
43,C0001948,tail,0.8496643154584855,0.8321676382571772,0.9017040011733316
44,C0001948,both,0.5768553703456398,0.5797014089545713,0.4747245338129211
45,C0001969,head,0.8476645196162336,0.8194108234973405,0.8083954989871647
46,C0001969,tail,0.8462681861177425,0.8073606311788173,0.7003439577319753
47,C0001969,both,0.5576775820908968,0.5429932416218,0.29287398582894
48,C0002064,head,0.8441322314049587,0.7949123697762442,0.7115385028514011
49,C0002064,tail,0.8909090909090909,0.886202330455087,0.8689400291648043
50,C0002064,both,0.5263636363636364,0.5132292719845905,0.2618811248685033
51,C0002103,head,0.8616296966953372,0.8302533272227435,0.8456235054259639
52,C0002103,tail,0.8916794929832503,0.8645405537735842,0.9112821344250378
53,C0002103,both,0.5884382073336352,0.5937877666486955,0.6044831300739396
54,C0002170,head,0.8017943779340087,0.7736470718603939,0.8462416730936078
55,C0002170,tail,0.8666612385166551,0.8337228396641234,0.7799074788870688
56,C0002170,both,0.6021750971451675,0.5822010515878807,0.4068605707844254
57,C0002390,head,0.8226843100189036,0.7723527939906856,0.6851743948722079
58,C0002390,tail,0.8976937618147448,0.8818714548530773,0.8583414358050209
59,C0002390,both,0.6147448015122874,0.6536893384437817,0.5854767721208718
60,C0002453,head,0.8755165289256198,0.8672836428425903,0.9168611848217506
61,C0002453,tail,0.8907218491735537,0.848981949964799,0.7824685052094454
62,C0002453,both,0.6478241219008265,0.6443316150854688,0.5651240313284578
63,C0002622,head,0.8152120114682361,0.7816087880409357,0.7673839228973199
64,C0002622,tail,0.8565685830692621,0.8221868563035566,0.7761841238289543
65,C0002622,both,0.5950173532518486,0.5765869723945536,0.3159224664425244
66,C0002726,head,0.8333333333333334,0.8004301612616176,0.6944306506785956
67,C0002726,tail,0.9083049886621316,0.892817802254186,0.8606115608986135
68,C0002726,both,0.5748299319727891,0.5426140323569838,0.2923961721523733
69,C0002736,head,0.8999999999999999,0.8742826443196408,0.8049609831055281
70,C0002736,tail,0.906875,0.8972847891196105,0.8627140493089998
71,C0002736,both,0.65875,0.6277889527770849,0.4041247709893567
72,C0002792,head,0.793909796035622,0.7787176559968509,0.9006085075196982
73,C0002792,tail,0.8497730537201953,0.8104841255047036,0.7775005358178544
