drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.41042876888946367
CID000004829,drug similarity,mean components,0.42943006572279474
CID000004140,drug similarity,mean components,0.5599428057839041
CID000002909,drug similarity,mean components,0.38971536165457454
CID000003676,drug similarity,mean components,0.4786586070412492
CID000003339,drug similarity,mean components,0.43589687317369075
CID000005656,drug similarity,mean components,0.5593171048537857
CID000000853,drug similarity,mean components,0.4927693417811633
CID000119607,drug similarity,mean components,0.46058654799022714
CID000004889,drug similarity,mean components,0.46286811979239983
CID000003154,drug similarity,mean components,0.5178706616409214
CID000005029,drug similarity,mean components,0.6245743095537248
CID000003823,drug similarity,mean components,0.6537252325440843
CID000003937,drug similarity,mean components,0.45667637740091704
CID000003883,drug similarity,mean components,0.5471888061468572
CID000004885,drug similarity,mean components,0.4775796570471059
CID000003961,drug similarity,mean components,0.4925580519157793
CID000060835,drug similarity,mean components,0.5162672757012027
CID000002622,drug similarity,mean components,0.40889545901287905
CID000004609,drug similarity,mean components,0.38594531829154666
CID003468412,drug similarity,mean components,0.41107801715966863
CID000060147,drug similarity,mean components,0.3658948666452625
CID000002244,drug similarity,mean components,0.23523089470730618
CID000002806,drug similarity,mean components,0.4256380016965684
CID000003446,drug similarity,mean components,0.425700327069124
CID000005352,drug similarity,mean components,0.46158217983412364
CID000004112,drug similarity,mean components,0.4444283830593947
CID000004635,drug similarity,mean components,0.44444106754155976
CID000002088,drug similarity,mean components,0.3401213563094543
CID000002311,drug similarity,mean components,0.3687189885008064
CID000000772,drug similarity,mean components,0.19010219509631054
CID000003672,drug similarity,mean components,0.43969700537942336
CID000004583,drug similarity,mean components,0.6233360069022396
CID000003639,drug similarity,mean components,0.3168904785665402
CID000004585,drug similarity,mean components,0.5212831153956256
CID000003899,drug similarity,mean components,0.45899169847652055
CID000004616,drug similarity,mean components,0.44284838651525804
CID000005064,drug similarity,mean components,0.5062500992201702
CID000003929,drug similarity,mean components,0.5147281160438211
CID000051263,drug similarity,mean components,0.5575989797867024
CID000065999,drug similarity,mean components,0.45863073151491984
CID000083786,drug similarity,mean components,0.38806570109545446
CID000002524,drug similarity,mean components,0.4911705638931332
CID000003405,drug similarity,mean components,0.35423853351586243
CID000667490,drug similarity,mean components,0.5194255492436157
CID000003062,drug similarity,mean components,0.48999994879609776
CID000071616,drug similarity,mean components,0.6474018937946655
CID000004091,drug similarity,mean components,0.31832334822153896
CID000005090,drug similarity,mean components,0.438761408641849
CID000004170,drug similarity,mean components,0.36520868196333556
CID000005095,drug similarity,mean components,0.5064989811921428
CID000005291,drug similarity,mean components,0.4205766379246132
CID000019090,drug similarity,mean components,0.504491477186232
CID000002802,drug similarity,mean components,0.5446730829878983
CID000004900,drug similarity,mean components,0.5985837126792252
CID000002803,drug similarity,mean components,0.5576681391889783
CID000003365,drug similarity,mean components,0.4780091476924151
CID000000942,drug similarity,mean components,0.34327001481946584
CID000062924,drug similarity,mean components,0.5178212471020766
CID000001065,drug similarity,mean components,0.5083854011161677
CID000005512,drug similarity,mean components,0.45494931533074445
CID000041781,drug similarity,mean components,0.3945253473500454
CID000005039,drug similarity,mean components,0.2739882930723849
CID000004679,drug similarity,mean components,0.6350305602977323
CID000005523,drug similarity,mean components,0.5427619541600324
CID000002520,drug similarity,mean components,0.3871467200374985
CID000005038,drug similarity,mean components,0.5619279607329918
CID000005035,drug similarity,mean components,0.4040429233087376
CID000005426,drug similarity,mean components,0.589810609433639
CID000002662,drug similarity,mean components,0.43362768032661525
CID000004873,drug similarity,mean components,0.38913965330983524
CID000005556,drug similarity,mean components,0.45593042137172657
CID000006691,drug similarity,mean components,0.4261736892899508
CID000002666,drug similarity,mean components,0.5130551367444423
CID000002749,drug similarity,mean components,0.4846808038386038
CID000004411,drug similarity,mean components,0.492588902436774
CID000004748,drug similarity,mean components,0.5810591036608348
CID000005533,drug similarity,mean components,0.5380819659171523
CID004475485,drug similarity,mean components,0.43071932621608733
CID000003016,drug similarity,mean components,0.47748468979981373
CID000003379,drug similarity,mean components,0.5366044938383586
CID000005719,drug similarity,mean components,0.47286008055419704
CID000003440,drug similarity,mean components,0.46851445492425936
CID000003325,drug similarity,mean components,0.30609281555401346
CID000003403,drug similarity,mean components,0.47075411468786466
CID000002118,drug similarity,mean components,0.3172384572074296
CID000003382,drug similarity,mean components,0.5987787222776814
CID000003463,drug similarity,mean components,0.43147270876449284
CID000004510,drug similarity,mean components,0.41819795816247285
CID000004058,drug similarity,mean components,0.6164729193851013
CID000004171,drug similarity,mean components,0.36545947501343146
CID000005647,drug similarity,mean components,0.3857612262181894
CID000003308,drug similarity,mean components,0.472930327049645
CID000004173,drug similarity,mean components,0.41406540699539396
CID000000450,drug similarity,mean components,0.4430667666495445
CID000060854,drug similarity,mean components,0.4848590185993178
CID000002895,drug similarity,mean components,0.5828345391898963
CID000005650,drug similarity,mean components,0.49102067357649326
CID000028112,drug similarity,mean components,0.47687265292876213
CID000004927,drug similarity,mean components,0.4471987448845398
CID000003784,drug similarity,mean components,0.5563426828014965
CID000005402,drug similarity,mean components,0.5060822818368625
CID000005732,drug similarity,mean components,0.3701112015029394
CID000003958,drug similarity,mean components,0.6032533722240625
CID000005487,drug similarity,mean components,0.44998567425241276
CID000002022,drug similarity,mean components,0.36950454351959827
CID000003345,drug similarity,mean components,0.22090553393739099
CID000003878,drug similarity,mean components,0.34898420008372355
CID000005358,drug similarity,mean components,0.6232741824543853
CID000002656,drug similarity,mean components,0.5732525717246506
CID000005391,drug similarity,mean components,0.46997526506805665
CID000004946,drug similarity,mean components,0.44390611278975123
CID000060865,drug similarity,mean components,0.4398814560025788
CID000001302,drug similarity,mean components,0.4808403215404343
CID000002678,drug similarity,mean components,0.38464259323643346
CID000004634,drug similarity,mean components,0.43907516339681685
CID000125889,drug similarity,mean components,0.3155543575680726
CID000002771,drug similarity,mean components,0.36204504621163913
CID000003640,drug similarity,mean components,0.5423922029033925
CID000000444,drug similarity,mean components,0.3696305585612134
CID000024011,drug similarity,mean components,0.39713028211883683
CID000002171,drug similarity,mean components,0.4470289890616663
CID000054808,drug similarity,mean components,0.5207202225354111
CID000005040,drug similarity,mean components,0.49248164260861715
CID000005077,drug similarity,mean components,0.472266161632487
CID000002083,drug similarity,mean components,0.46390712358655106
CID000002375,drug similarity,mean components,0.42174728999258715
CID006398525,drug similarity,mean components,0.4254770062749934
CID000002801,drug similarity,mean components,0.6061030916077411
CID005311297,drug similarity,mean components,0.36448104469039
CID000005645,drug similarity,mean components,0.4753680428000351
CID000060831,drug similarity,mean components,0.3538390060004286
CID000002609,drug similarity,mean components,0.673887557078494
CID000124087,drug similarity,mean components,0.3514857566995949
CID000003043,drug similarity,mean components,0.5709969798267944
CID000148192,drug similarity,mean components,0.601215364263639
CID000001690,drug similarity,mean components,0.4460044207214129
CID000004053,drug similarity,mean components,0.49551061274979313
CID000003367,drug similarity,mean components,0.5637517122564673
CID000002550,drug similarity,mean components,0.522327918908881
CID000004259,drug similarity,mean components,0.6382547824710892
CID000003821,drug similarity,mean components,0.36715839485222235
CID000003488,drug similarity,mean components,0.6845077084055124
CID000005372,drug similarity,mean components,0.46338035793650356
CID000003780,drug similarity,mean components,0.45508299283204345
CID000027661,drug similarity,mean components,0.39480276744895626
CID000003032,drug similarity,mean components,0.3277928744481545
CID000004943,drug similarity,mean components,0.41723437949468933
CID000163742,drug similarity,mean components,0.5330502752730194
CID000123620,drug similarity,mean components,0.4024466471493119
CID000005002,drug similarity,mean components,0.4429097452848958
CID000004856,drug similarity,mean components,0.5502511335504702
CID000002249,drug similarity,mean components,0.4505815597484806
CID000003419,drug similarity,mean components,0.493730106922152
CID000002141,drug similarity,mean components,0.5352774788136043
CID005311039,drug similarity,mean components,0.4759743276244598
CID000002812,drug similarity,mean components,0.4747607051156857
CID000005152,drug similarity,mean components,0.39860981846886157
CID000004740,drug similarity,mean components,0.45185402891579596
CID000002786,drug similarity,mean components,0.423019111526187
CID000002092,drug similarity,mean components,0.43987155021235347
CID000003890,drug similarity,mean components,0.5092499760989518
CID000003003,drug similarity,mean components,0.3635667706576393
CID000003385,drug similarity,mean components,0.4310956686791285
CID000034312,drug similarity,mean components,0.5642098955688912
CID000005203,drug similarity,mean components,0.39556667071606055
CID000002477,drug similarity,mean components,0.4398498931588206
CID000032797,drug similarity,mean components,0.5109655281057176
CID000000143,drug similarity,mean components,0.3743702230881457
CID000004595,drug similarity,mean components,0.37536393155050185
CID000003957,drug similarity,mean components,0.4527485540817999
CID000004054,drug similarity,mean components,0.47014239960728565
CID000004543,drug similarity,mean components,0.5755353838199221
CID000004599,drug similarity,mean components,0.4273378676369337
CID000003042,drug similarity,mean components,0.4116132683187458
CID000003516,drug similarity,mean components,0.4171373521132101
CID000003962,drug similarity,mean components,0.38466628066111963
CID000060852,drug similarity,mean components,0.4686028843483756
CID000002250,drug similarity,mean components,0.22556838860343298
CID000002891,drug similarity,mean components,0.3313487239654046
CID000010631,drug similarity,mean components,0.4868614046114147
CID000003075,drug similarity,mean components,0.3068994794213633
CID000005073,drug similarity,mean components,0.411744090871613
CID000004594,drug similarity,mean components,0.6476773317907087
CID000060184,drug similarity,mean components,0.5013094590157803
CID000197712,drug similarity,mean components,0.3677420891187373
CID000005267,drug similarity,mean components,0.500458187439504
CID000003222,drug similarity,mean components,0.48796188977403865
CID000002576,drug similarity,mean components,0.4326429935572831
CID000002462,drug similarity,mean components,0.3984898987249754
CID000176168,drug similarity,mean components,0.47339455783509554
CID000002658,drug similarity,mean components,0.48747710875112804
CID000068740,drug similarity,mean components,0.5381495760512837
CID000002955,drug similarity,mean components,0.43800896529832456
CID000003324,drug similarity,mean components,0.5324530036539523
CID000004513,drug similarity,mean components,0.4592675972750717
CID000003702,drug similarity,mean components,0.5101193462595218
CID000005672,drug similarity,mean components,0.4076290897917334
CID000001983,drug similarity,mean components,0.4316260711688986
CID000002269,drug similarity,mean components,0.5053343072849268
CID000002308,drug similarity,mean components,0.3712462446329643
CID000004603,drug similarity,mean components,0.45028464524578315
CID000000598,drug similarity,mean components,0.6423748841171462
CID000060877,drug similarity,mean components,0.5735544714586773
CID000000581,drug similarity,mean components,0.5233149113900449
CID000087177,drug similarity,mean components,0.3659363369971045
CID000003158,drug similarity,mean components,0.5790391743456774
CID000004666,drug similarity,mean components,0.44518638931997456
CID000002713,drug similarity,mean components,0.5992206059303816
CID000004601,drug similarity,mean components,0.431592084906838
CID000002267,drug similarity,mean components,0.4554028604246141
CID000003386,drug similarity,mean components,0.5044969625929691
CID000002435,drug similarity,mean components,0.4378484687012685
CID000004253,drug similarity,mean components,0.5367908493604244
CID000003476,drug similarity,mean components,0.5752600548769524
CID000130881,drug similarity,mean components,0.43936243767266525
CID000003348,drug similarity,mean components,0.49129049289138305
CID000001775,drug similarity,mean components,0.3732878840252285
CID000003410,drug similarity,mean components,0.3798888625466177
CID000004159,drug similarity,mean components,0.5791507386323693
CID000004819,drug similarity,mean components,0.4009841720649565
CID000000271,drug similarity,mean components,0.34369107588803005
CID005353980,drug similarity,mean components,0.5517924432587431
CID000003255,drug similarity,mean components,0.5309195480630117
CID000002554,drug similarity,mean components,0.3935490254657603
CID000002617,drug similarity,mean components,0.6607822944584545
CID000054688,drug similarity,mean components,0.45162464710831896
CID000004614,drug similarity,mean components,0.5154151042486906
CID000005544,drug similarity,mean components,0.47369217213006976
CID000002907,drug similarity,mean components,0.4571051568076565
CID000003652,drug similarity,mean components,0.4549696682832707
CID000002153,drug similarity,mean components,0.5744016325517778
CID000008953,drug similarity,mean components,0.49717357497075065
CID000000937,drug similarity,mean components,0.36858783652866345
CID000054454,drug similarity,mean components,0.4364997372108472
CID000104741,drug similarity,mean components,0.4969614759548766
CID000005514,drug similarity,mean components,0.4818373658709203
CID005282226,drug similarity,mean components,0.6356379338663246
CID000003161,drug similarity,mean components,0.4644378828718424
CID000004409,drug similarity,mean components,0.41853326271590596
CID000077999,drug similarity,mean components,0.41439479395336276
CID000110634,drug similarity,mean components,0.45508336610553823
CID000054841,drug similarity,mean components,0.44183827932629627
CID005329102,drug similarity,mean components,0.4506155011874522
CID000059708,drug similarity,mean components,0.39502576293024005
CID000004200,drug similarity,mean components,0.5569214117263982
CID000002187,drug similarity,mean components,0.5455326291192147
CID000003749,drug similarity,mean components,0.4466015648203625
CID000001071,drug similarity,mean components,0.5328089273275453
CID000002265,drug similarity,mean components,0.36731389555489
CID000003911,drug similarity,mean components,0.43323144662499713
CID000005212,drug similarity,mean components,0.37093285070265314
CID000000159,drug similarity,mean components,0.22432315793679947
CID000152945,drug similarity,mean components,0.4161112390789481
CID000004168,drug similarity,mean components,0.4434266903465043
CID000002978,drug similarity,mean components,0.6074354753350507
CID000005379,drug similarity,mean components,0.5418591142008664
CID000104865,drug similarity,mean components,0.4629740977017198
CID000002949,drug similarity,mean components,0.29533115252485187
CID000005472,drug similarity,mean components,0.4031988106848876
CID000091270,drug similarity,mean components,0.6409587448214759
CID000004691,drug similarity,mean components,0.4354755953686693
CID000003121,drug similarity,mean components,0.31168497150461205
CID000001134,drug similarity,mean components,0.4812079794744123
CID000003877,drug similarity,mean components,0.49838431930034943
CID000000838,drug similarity,mean components,0.5374549157323476
CID000005596,drug similarity,mean components,0.44613776874585764
CID000002471,drug similarity,mean components,0.44752791920474666
CID000003658,drug similarity,mean components,0.47841497103348996
CID000002585,drug similarity,mean components,0.4163161141884353
CID000003715,drug similarity,mean components,0.441916884999517
CID000005401,drug similarity,mean components,0.5260665752404701
CID000002764,drug similarity,mean components,0.47418283551859
CID000005538,drug similarity,mean components,0.4896892661988115
CID000004158,drug similarity,mean components,0.5686051096283292
CID000004212,drug similarity,mean components,0.4750538152298447
CID000123631,drug similarity,mean components,0.4783604924243978
CID000216326,drug similarity,mean components,0.5754364603294874
CID000004485,drug similarity,mean components,0.5297392740928315
CID000016231,drug similarity,mean components,0.41837860191648235
CID000001046,drug similarity,mean components,0.39886442410858247
CID000003869,drug similarity,mean components,0.5064063430657154
CID000003696,drug similarity,mean components,0.5462490557977592
CID000002162,drug similarity,mean components,0.34488784904631975
CID000003746,drug similarity,mean components,0.4727068877700773
CID000056959,drug similarity,mean components,0.5003677212834836
CID000003157,drug similarity,mean components,0.37830944458756166
CID000001972,drug similarity,mean components,0.46880830014931196
CID000004911,drug similarity,mean components,0.43343996714933986
CID000004509,drug similarity,mean components,0.5059843598079964
CID000002284,drug similarity,mean components,0.47031811318596195
CID000003449,drug similarity,mean components,0.42489286862148
CID000093860,drug similarity,mean components,0.46082785123590253
CID000003826,drug similarity,mean components,0.4334259407262022
CID000004178,drug similarity,mean components,0.3755400121058754
CID000004107,drug similarity,mean components,0.4957484514826892
CID000004506,drug similarity,mean components,0.4138323917582123
CID000119182,drug similarity,mean components,0.4690075014645321
CID000005978,drug similarity,mean components,0.3822937921417755
CID000003461,drug similarity,mean components,0.47981907416381353
CID000002156,drug similarity,mean components,0.36495211911250536
CID000005651,drug similarity,mean components,0.3915960206209217
CID003002190,drug similarity,mean components,0.3584768669428626
CID005311048,drug similarity,mean components,0.37122491175333594
CID000003741,drug similarity,mean components,0.6310509256007804
CID000005408,drug similarity,mean components,0.4499891088505006
CID000003168,drug similarity,mean components,0.3994077557831557
CID005493381,drug similarity,mean components,0.4124574159279367
CID000002646,drug similarity,mean components,0.6254347704361561
CID000003310,drug similarity,mean components,0.5696336706328576
CID000071158,drug similarity,mean components,0.4708580402798269
CID000004449,drug similarity,mean components,0.4478930538118211
CID000001117,drug similarity,mean components,0.5425084890009673
CID000004894,drug similarity,mean components,0.6078303656156749
CID000071329,drug similarity,mean components,0.49434612444606973
CID000002631,drug similarity,mean components,0.5025186096850878
CID000003902,drug similarity,mean components,0.5061443108264448
CID000005496,drug similarity,mean components,0.5399788864077063
CID000005005,drug similarity,mean components,0.5297833605297331
CID000003763,drug similarity,mean components,0.5427089958052718
CID000002973,drug similarity,mean components,0.4620032257244362
CID000005376,drug similarity,mean components,0.4550011181971595
CID000003198,drug similarity,mean components,0.5614180818122614
CID005487301,drug similarity,mean components,0.4649176572879712
CID000005478,drug similarity,mean components,0.5059035181631
CID000002650,drug similarity,mean components,0.6068035747558865
CID000004607,drug similarity,mean components,0.5552481693258181
CID000004812,drug similarity,mean components,0.4686516995852623
CID000004828,drug similarity,mean components,0.4112495750417553
CID000003793,drug similarity,mean components,0.5142397292927529
CID000060953,drug similarity,mean components,0.5386025772487687
CID000003397,drug similarity,mean components,0.48076222944388214
CID000154059,drug similarity,mean components,0.49166228029645453
CID000004463,drug similarity,mean components,0.41174098939758896
CID000004205,drug similarity,mean components,0.27588211505202453
CID000072938,drug similarity,mean components,0.24859415249337802
CID000060198,drug similarity,mean components,0.4980561373838186
CID000002756,drug similarity,mean components,0.5972931703495342
CID000002160,drug similarity,mean components,0.49912236966833956
CID000004052,drug similarity,mean components,0.3781052134552707
CID000004674,drug similarity,mean components,0.5851454298671674
CID000003675,drug similarity,mean components,0.6311696450738605
CID003085017,drug similarity,mean components,0.3698533615762084
CID000001978,drug similarity,mean components,0.5970168059653315
CID005481350,drug similarity,mean components,0.5551259016371483
CID005281104,drug similarity,mean components,0.5264566433711376
CID005311181,drug similarity,mean components,0.6199191815060328
CID000005184,drug similarity,mean components,0.5090045943307061
CID000150311,drug similarity,mean components,0.39057466741134017
CID000003559,drug similarity,mean components,0.5110644459141519
CID005311027,drug similarity,mean components,0.6761782242083506
CID000443871,drug similarity,mean components,0.5176902486753836
CID000000191,drug similarity,mean components,0.4571273723325
CID000005726,drug similarity,mean components,0.6162573343551973
CID000060754,drug similarity,mean components,0.6267551506637042
CID000064147,drug similarity,mean components,0.44519104034939583
