side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.49999999999999994,0.27591226249452666
C0000731,tail,0.5,0.49999999999999994,0.27591226249452666
C0000731,both,0.5,0.49999999999999994,0.27591226249452666
C0000737,head,0.6778555115196052,0.6660660157190595,0.6748257691077956
C0000737,tail,0.7038904369463344,0.6974585752417932,0.660957924995077
C0000737,both,0.5590304373084729,0.5470519071845626,0.3712844537661327
C0000768,head,0.8259053770229091,0.8048275386939857,0.8129235207431966
C0000768,tail,0.8632859449550195,0.816769947153362,0.7349141849854611
C0000768,both,0.5700445555973728,0.5795043671291626,0.5102153615592799
C0000786,head,0.8452321967478942,0.829024046423964,0.791338957175888
C0000786,tail,0.9044637628935633,0.9042444948522019,0.9360048088094767
C0000786,both,0.6935273185892528,0.65069376485683,0.5006982140410625
C0000833,head,0.8319281799232606,0.7943926565430268,0.7490580335558664
C0000833,tail,0.8905715543736892,0.8683038292039339,0.8898841154224216
C0000833,both,0.6233046518639341,0.600094618542702,0.5054237765134569
C0001122,head,0.8000225573298567,0.7717005190723626,0.788004866652209
C0001122,tail,0.8518372810898411,0.8208494684529817,0.939526558198698
C0001122,both,0.568509161901207,0.5631290264628762,0.6406016714510996
C0001126,head,0.810151462596832,0.7774498733983748,0.6481064730498362
C0001126,tail,0.8592900913400393,0.8262943698544706,0.7341554593239078
C0001126,both,0.5594866458550122,0.5509735595257468,0.2852437707802962
C0001339,head,0.8369982622302531,0.8029207141277447,0.7930815685361128
C0001339,tail,0.8671657321386277,0.834804469895587,0.8232066398254452
C0001339,both,0.6551711290713178,0.6464119482924404,0.6749538729241777
C0001418,head,0.8236152020360891,0.7886107126824831,0.783851152268215
C0001418,tail,0.8604960822442734,0.8051146047251295,0.6737153515335517
C0001418,both,0.6067427578712574,0.5846228383676464,0.3941917193419668
C0001430,head,0.8945446524850504,0.8727810826725118,0.865747101815794
C0001430,tail,0.9038574649544162,0.888337432367821,0.9113365074596247
C0001430,both,0.6383197725713166,0.6286535031481804,0.5508734871862263
C0001546,head,0.8493336109954186,0.832075938975217,0.7881411700241365
C0001546,tail,0.926905456059975,0.9134360832629405,0.8864356900608744
C0001546,both,0.6784673052894626,0.6669978055056681,0.5311065773884569
C0001623,head,0.8501433631303761,0.8301676804872533,0.9297053223482256
C0001623,tail,0.8778145555742958,0.8697425511541664,0.9745739334993182
C0001623,both,0.6258538539382695,0.6153067142826257,0.526902927905718
C0001818,head,0.8350178359096314,0.7982836510333015,0.6989930873271659
C0001818,tail,0.9210017835909632,0.9109730444265784,0.9095001059087288
C0001818,both,0.6688466111771701,0.6197544028202733,0.38843379687001595
C0001824,head,0.7970073805572538,0.7638107834078836,0.7535258723121397
C0001824,tail,0.8573292427286225,0.8263175400689774,0.8925539234926694
C0001824,both,0.5790844178530875,0.5689851617381089,0.44517367521897566
C0001948,head,0.8520802729182094,0.8167713469047152,0.7619372391704026
C0001948,tail,0.8726948245092206,0.8320010178028912,0.7699310644892181
C0001948,both,0.65483373599291,0.6250581080301421,0.48339969401567723
C0001969,head,0.8635196612765191,0.8509523090570201,0.88081963525424
C0001969,tail,0.8730687806855547,0.826174740312517,0.7895785663933481
C0001969,both,0.6321336876717265,0.6210746593867205,0.5063375898064545
C0002064,head,0.8387603305785124,0.7847276125160936,0.6515027936428498
C0002064,tail,0.9042148760330578,0.8830099938466245,0.8519340673684808
C0002064,both,0.5439669421487603,0.5242569249429774,0.2672446331066094
C0002103,head,0.8769986419194206,0.8531939273569533,0.9452484298670017
C0002103,tail,0.9201312811226801,0.8973921093182832,0.8671231090557435
C0002103,both,0.6457175192394748,0.6490789331565535,0.7344036946765362
C0002170,head,0.8110835336133511,0.7785788295492675,0.8230089737482856
C0002170,tail,0.8793490712248153,0.8543491512072717,0.9279733331905275
C0002170,both,0.6414388715437659,0.6259675754260673,0.6466548965991169
C0002390,head,0.831304347826087,0.7861754251184706,0.686889006219336
C0002390,tail,0.9060869565217392,0.9008321200283175,0.9162563441937641
C0002390,both,0.6651039697542533,0.6556874877270107,0.4854465494116374
C0002453,head,0.8994705578512396,0.8925526579144797,0.9451194775503108
C0002453,tail,0.9019240702479339,0.8475105091444333,0.7173483682075296
C0002453,both,0.6827221074380165,0.6983306096216098,0.7311052574567591
C0002622,head,0.8250736884462552,0.7929467530138048,0.8534233101079239
C0002622,tail,0.8677380413460087,0.8287343963224043,0.7299103485216932
C0002622,both,0.621792666364871,0.5950902726960023,0.3487790449055124
C0002726,head,0.8358843537414966,0.8253419567167042,0.7114957331590327
C0002726,tail,0.9141156462585034,0.8972458949228405,0.8515393736363127
C0002726,both,0.5984977324263039,0.6285910234528037,0.4605746818224465
C0002736,head,0.9251562500000001,0.895293225881793,0.8441033511918126
C0002736,tail,0.93140625,0.9250614062833208,0.8980883709221579
C0002736,both,0.7375,0.7060182311617169,0.5962016706666405
C0002792,head,0.8018787704682563,0.7775126246566211,0.8292886854783431
C0002792,tail,0.8589284688307958,0.8155139899778203,0.722508418776283
C0002792,both,0.5971502441827061,0.5846848221542222,0.4627064274225306
C0002871,head,0.7952570393320393,0.7565628588827655,0.7884873580821266
C0002871,tail,0.8403163856243132,0.8015221775230116,0.7121601607538964
C0002871,both,0.5852388374538973,0.5637781235614815,0.31656202905164593
