Relation,AUROC,AUPRC,AP@50
C0005779,0.9790474801460347,0.972168125515343,1.0
C0011991,0.9687561585556128,0.9558706422554206,1.0
C0011860,0.9799318760374323,0.9726098976407055,1.0
C0038395,0.9731299687419459,0.9662049781936544,1.0
C1145670,0.9655561127646586,0.9508027772062332,0.969915635851819
C0012833,0.9692638478558021,0.9587105408801153,0.9723800930423198
C0520474,0.9727479841706301,0.9637075849166608,0.9692489691851524
C0021400,0.9788016528925619,0.972660209423792,1.0
C0024902,0.9871455528678714,0.9858316278135669,1.0
C0043144,0.9748342144882882,0.9645050333738936,1.0
C0085682,0.9771379340483711,0.9721995317978505,1.0
C0020676,0.9777215221837833,0.9692252012598597,1.0
C0151825,0.9811437074829932,0.978479422072117,1.0
C0013604,0.9645702105887362,0.9455793321885642,0.9524069176987272
C0042571,0.9756356656749086,0.968869236819227,1.0
C0009782,0.9775093710953768,0.9689000690830982,0.9638321582377566
C0008325,0.9760811522436046,0.9668850495934026,1.0
C0013144,0.9716425595268866,0.9638074463119579,1.0
C0013362,0.9748236702255973,0.9687860407235667,1.0
C0031046,0.9730835991743292,0.9641572946436592,0.9655350567884813
C0043246,0.9859674248277335,0.9834912690760906,1.0
C0151908,0.9703541271366185,0.9612415997768409,1.0
C0231807,0.9729159470381964,0.9556548252530808,0.8742322945773866
C0026946,0.9761735101632492,0.9702657762469713,1.0
C0162297,0.9691179261239408,0.9619901953641882,0.98
C0235946,0.9682559829134644,0.9491182540068759,0.913607516454617
C0030554,0.9688629299252555,0.9587085722750636,1.0
C0040034,0.9654553475836609,0.9531279347274313,1.0
C0032285,0.9711895398466115,0.9618181200397086,1.0
C0151723,0.9798312838892855,0.9751083041696483,1.0
C0036983,0.9746523517859392,0.9690397102534305,1.0
C0025286,0.9828341855368882,0.9822535415033244,1.0
C0027121,0.9752344093880025,0.9662553449955186,0.9783496381531335
C0027022,0.9840976331360947,0.9834525055562183,0.9127160370221322
C0013384,0.9646555946566372,0.9479556928959103,0.9647017234551478
C0016436,0.9790975213614858,0.9705063316769488,0.9629230673286656
C0004610,0.9785390562516663,0.9727889246453378,1.0
C0003873,0.9821680522370474,0.9785430397000789,1.0
C0575090,0.9723250933476975,0.9646303035711783,1.0
C0442874,0.9709799696416196,0.9615839508706345,0.9740476177098445
C0678222,0.9765974113835033,0.9688990237836942,1.0
C0700594,0.9792024949877478,0.9731178095834254,1.0
C0011849,0.9736672303310786,0.9657601298779297,1.0
C0024141,0.9739589909345724,0.9697768164134205,1.0
C0042029,0.973546824438975,0.9649643797916513,1.0
C0027497,0.9691034127136343,0.960166337838757,1.0
C0262385,0.9806315030854467,0.9800288305605119,1.0
C0002622,0.973493285046024,0.9655017675085649,1.0
C0917801,0.9687954671610058,0.9575969065653951,0.9779148555444378
C0020615,0.9669921452879792,0.9570276316288462,1.0
