side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5085842023522044,0.5086333888880095,0.35720141263566435
C0000731,tail,0.5092630692264104,0.5069259769697375,0.27591226249452666
C0000731,both,0.5018807383300707,0.5001344656731357,0.29849291511086845
C0000737,head,0.691367837873862,0.6835236656514199,0.7908983465216093
C0000737,tail,0.7068391314174447,0.6967129695061852,0.6934223091421307
C0000737,both,0.5576457634288959,0.5418575236038713,0.2990363009104942
C0000768,head,0.8544243821231912,0.8288458960736274,0.8264727971152149
C0000768,tail,0.8552311435523114,0.8192033348572351,0.7757297050454547
C0000768,both,0.6167499039569728,0.5911041308980522,0.3774416701965999
C0000786,head,0.8193711050853907,0.8010731824300594,0.7549220659739896
C0000786,tail,0.870700727843585,0.863739528412022,0.879252322666487
C0000786,both,0.6391703534560678,0.6179667828285702,0.3912983866178301
C0000833,head,0.8300041073384448,0.8088313890213779,0.9326701135769633
C0000833,tail,0.8687408725812341,0.833999632400977,0.8353650549788866
C0000833,both,0.5752441584519898,0.5480485426879405,0.2971028978803885
C0001122,head,0.8246867609319177,0.7938466266368872,0.8528777043460037
C0001122,tail,0.8528513201687861,0.8207289038279735,0.8791316816924412
C0001122,both,0.5843161216582442,0.5574202498316673,0.46573100049607186
C0001126,head,0.818070818070818,0.7917321005166681,0.6527213026035897
C0001126,tail,0.8555555555555556,0.8300841045180111,0.7655270305572273
C0001126,both,0.5814407814407815,0.5518135551009035,0.29134777918839044
C0001339,head,0.8507646747929967,0.824878800911739,0.8970409970271294
C0001339,tail,0.8535079403696277,0.8122536888017137,0.7790660820087392
C0001339,both,0.635735718100799,0.6086544025866336,0.38700132729312103
C0001418,head,0.8424062658613578,0.8128541457548539,0.9006363538054303
C0001418,tail,0.8590369879788596,0.8036581916337308,0.6665625954922514
C0001418,both,0.5947700209251995,0.570945181365236,0.31926362767183225
C0001430,head,0.9114523982181706,0.899221901416038,0.9436595633015312
C0001430,tail,0.8942815704962188,0.8642777030787255,0.8635175754122731
C0001430,both,0.6465088573500466,0.6045017958222294,0.3798262818416775
C0001546,head,0.8500166278683072,0.8351253482196119,0.7838925966260268
C0001546,tail,0.9147544618113291,0.8995920699052051,0.8650286300388187
C0001546,both,0.6735395189003437,0.6544680125226768,0.49594535752970403
C0001623,head,0.8348666666666668,0.7990610824835171,0.7416960199035364
C0001623,tail,0.8683,0.8190230806752817,0.7409824077069592
C0001623,both,0.5530555555555555,0.5395962230453304,0.3401415346468224
C0001818,head,0.8514688601645124,0.8070891163879939,0.7764797759637793
C0001818,tail,0.9349784567175872,0.934574673382871,0.9562548318618228
C0001818,both,0.6901684292988641,0.7044624783789744,0.6736325449101649
C0001824,head,0.8194103194103194,0.7818198252521815,0.7882768758995574
C0001824,tail,0.8405810930082774,0.8010104859676569,0.8604950371974033
C0001824,both,0.5910641444622027,0.5577406010604802,0.3279137552758948
C0001948,head,0.8631950901989957,0.8366802757189984,0.8646979198855158
C0001948,tail,0.8710557312007936,0.8373009548810276,0.8303358061764413
C0001948,both,0.6626247597793069,0.6296165910985965,0.50912351581357
C0001969,head,0.8579545454545454,0.8347558155107097,0.8142747573284187
C0001969,tail,0.8568861693861693,0.8228753849271441,0.7439363152650528
C0001969,both,0.5411810411810412,0.5396036782126009,0.34403767432324456
C0002064,head,0.8383597883597884,0.7675977099273783,0.6486285880773237
C0002064,tail,0.8894179894179894,0.8544794352190896,0.8181051669558553
C0002064,both,0.5872134038800706,0.5569644490522135,0.3348789766019018
C0002103,head,0.8830411877394636,0.8425692497359192,0.755871410425374
C0002103,tail,0.899477969348659,0.8770093385527917,0.8828004067119447
C0002103,both,0.6465708812260536,0.6174501341650337,0.40649560966443815
C0002170,head,0.8159545965169437,0.7776103104556997,0.7911105577079691
C0002170,tail,0.8736055459771841,0.8425844193182805,0.9102566927488346
C0002170,both,0.594223641289656,0.5700551808798568,0.32758364289386677
C0002390,head,0.8257743362831858,0.7891914552315786,0.6876360660155788
C0002390,tail,0.910319216182048,0.9077872162197886,0.9384203164881424
C0002390,both,0.6694058154235146,0.6219235657595079,0.4268916083536486
C0002453,head,0.8981840440726383,0.8863114318374055,0.9250484351340629
C0002453,tail,0.9183840032646399,0.8790648114376307,0.8142541752441792
C0002453,both,0.6879548391484731,0.6842674745154771,0.6103091119980256
C0002622,head,0.8400860908481662,0.8029151741488569,0.8685655043701028
C0002622,tail,0.8598632892564694,0.8180980593179978,0.7340978635314697
C0002622,both,0.6016282997480642,0.5768721357031337,0.2991490705177345
C0002726,head,0.8780673677793019,0.8824363208732275,0.8530323411221663
C0002726,tail,0.9147995732357872,0.8921670578327756,0.821907667343895
C0002726,both,0.6585886297820454,0.6100964132451135,0.3947114580228684
C0002736,head,0.8899350649350649,0.8723545006416041,0.8071331364315326
C0002736,tail,0.8949675324675325,0.8362750359466133,0.7237526166134822
C0002736,both,0.6920454545454545,0.6877614908714331,0.5311133318650229
C0002792,head,0.812216886556598,0.7878003448383667,0.9129636484345915
C0002792,tail,0.8456521201019828,0.7954579047305739,0.6734167254437896
C0002792,both,0.5841697814302335,0.5562244335781558,0.2961717090781229
C0002871,head,0.806631595727722,0.7675904609358295,0.8997225880457053
