Relation,AUROC,AUPRC,AP@50
C0005779,0.9678619820091083,0.9596100679676223,0.9760745588901876
C0011991,0.9596552527370137,0.9419961651474578,0.9540317312908962
C0011860,0.971308361748323,0.9592159415617659,0.955094917277445
C0038395,0.9636732509037079,0.9501161237367101,0.9471231609103785
C1145670,0.9562097687076857,0.9419374754137181,1.0
C0012833,0.958226841812625,0.9453430178154296,0.9629230673286656
C0520474,0.9625016256688466,0.9461843395574345,0.9485952583127761
C0021400,0.9687350780532599,0.9578985976565498,0.9638321582377566
C0024902,0.9806613391421082,0.9768833391627304,1.0
C0043144,0.967635586989251,0.9556160182597622,0.9520801067976246
C0085682,0.9643022137871619,0.9556570623220462,0.9723800930423198
C0020676,0.9736749071993132,0.9646397594502016,0.9563804730979908
C0151825,0.9731250000000001,0.9693231784983263,1.0
C0013604,0.9512838921957321,0.9295798936041254,0.9740476177098445
C0042571,0.9658121302281044,0.9517497318135657,0.9510745575524138
C0009782,0.9625156184922949,0.9473602405269484,0.9236221981553453
C0008325,0.9676301031956468,0.9565886842975689,0.9717918577482021
C0013144,0.9595074492612774,0.9460294992759988,1.0
C0013362,0.9643727115110418,0.9560686774572471,1.0
C0031046,0.9656478701444924,0.9553939957097627,0.9609706863762847
C0043246,0.9760114572144647,0.9682392330090279,0.9550471397646575
C0151908,0.9592222881610777,0.9429342122081598,0.9583836734693878
C0231807,0.9707439612699967,0.9535309185197959,0.8975061618284264
C0026946,0.9695829071866495,0.9630653430538332,1.0
C0162297,0.9581666020368034,0.9471090498784556,0.9655350567884813
C0235946,0.9569772938148842,0.9395535290201742,0.9356825599000778
C0030554,0.9561566597753328,0.9407855755409749,0.9678450282984528
C0040034,0.950254532310623,0.9320914286561852,0.9779148555444378
C0032285,0.9609888930572436,0.9473422827228154,1.0
C0151723,0.9699228853256617,0.9609387438341532,0.9692489691851524
C0036983,0.9630193731369742,0.9492015022172224,0.9242539914249346
C0025286,0.987536523009496,0.9875969585576371,1.0
C0027121,0.9684492023021536,0.9522366890405918,0.9563804730979908
C0027022,0.9715236686390533,0.9670803293247856,0.9175210248604312
C0013384,0.9543422199229299,0.9295402800630465,0.8817188029778312
C0016436,0.9716121742814773,0.9651952167219894,0.9535555408147057
C0004610,0.9684492737420558,0.9615537982081686,1.0
C0003873,0.97319241978159,0.9689029034804283,1.0
C0575090,0.9621904914156776,0.9492794668987738,0.9791918367346938
C0442874,0.9602114424719914,0.9420585061820314,0.8652417016561854
C0678222,0.9735708308853639,0.9617030647804563,0.967104287557712
C0700594,0.9729650256181778,0.9664646632315359,1.0
C0011849,0.9652165905225267,0.9535658554544115,1.0
C0024141,0.9611562839322241,0.9510981091587177,0.9638321582377566
C0042029,0.9644162608424642,0.9525286391208546,1.0
C0027497,0.9552805585056547,0.9380050962591161,0.8874968751579293
C0262385,0.9572992207558217,0.9525096818671794,0.9609706863762847
C0002622,0.9625547004677832,0.9487837152244256,0.9723800930423198
C0917801,0.9586016066023606,0.9410528840235179,0.9455432200537875
C0020615,0.9555794261382881,0.938241225662304,0.9570240289107541
C0011168,0.9702282441719575,0.9607511793029796,1.0
C0008033,0.9627450563295472,0.9537071287121058,1.0
C0011615,0.942387895464099,0.9128532291952216,0.910166815461147
C0042487,0.9545388148424024,0.9258626955965092,0.869501254158416
C0017152,0.9679717393379896,0.9577056965067153,1.0
C0009806,0.9667146147952757,0.9570367457670396,1.0
C0036689,0.9923890900860117,0.9922234477747778,1.0
C0026650,0.963578595480705,0.9530197317082268,0.9619706863762846
C0042909,0.9812295288485764,0.9725970584681205,0.9576304730979908
C0038362,0.9659916435710088,0.956404335369097,1.0
C0029408,0.9648493984883946,0.9549142545629802,1.0
C0037315,0.9707019386403114,0.9615599616762716,1.0
C0033687,0.960917301062913,0.9440074315160171,0.9711857971421415
C0012569,0.9642666098353667,0.951838124952335,0.9791918367346938
C0035309,0.9623095054727064,0.9481003077016822,0.9319800476229508
C0016977,0.9608475210159033,0.9507020132932312,1.0
C0013473,0.9720060206625355,0.9682094960285108,1.0
C0004144,0.9666739655242239,0.9544793871586694,1.0
C0018681,0.9576404922992557,0.9441932828216701,1.0
C0008350,0.965112045036655,0.9566870283805742,1.0
C0027051,0.9603271508033413,0.9465432962197695,1.0
C0030794,0.9723269896193772,0.9644309100363387,0.9750867540121387
C0004238,0.9597903322287058,0.9384517249407974,0.8643292191274895
C0005697,0.9703449905482042,0.9670197915770954,1.0
C0011606,0.9545251826220684,0.9305455894055148,0.920015893233411
C0020517,0.9481064180655246,0.9251962169292487,0.932552988894771
C0011175,0.9593944793180011,0.9441340496629149,0.9750867540121387
C0030193,0.9651249102781814,0.9529902969520718,0.9745739334993182
C0152031,0.9620879960121294,0.9452717804015386,0.892584121848744
C0004604,0.96704698255233,0.9522023307508745,0.9156146009497553
C0030196,0.9615386191696556,0.9452186004456741,0.9504134401309579
C0039239,0.9671152185581926,0.9585615541972836,1.0
C0018808,0.9684263813610267,0.9587448116790702,1.0
C0018524,0.9597672478028763,0.9476683099136689,1.0
C0039070,0.9547940751004307,0.9382521981158113,0.9619706863762846
C0019079,0.9589424860853433,0.9408602767358382,0.8992774922246007
C0031039,0.9644486070537202,0.9519535247800233,0.9487000566136484
C0035854,0.98249016898714,0.982049259893145,1.0
C0011882,0.9737998944962194,0.9667445708519584,1.0
C0000731,0.9670435095731257,0.9573394812977019,1.0
C0009676,0.959330687433718,0.9403746596831069,0.8905981957518976
C0005758,0.9512451079409165,0.9274385242386317,0.9256221981553453
C0043117,0.9620811596232625,0.9543949989749557,0.9750867540121387
C0344232,0.9606818956547949,0.9441473023006364,0.9692489691851524
C0018944,0.9664641224739627,0.9531672760737101,0.9678450282984528
C0019360,0.9687241552457466,0.9563597979825876,0.98
C0221245,0.9697502972651606,0.9538091034141827,0.9443730360905538
C0025345,0.9689827568615448,0.9672563856026093,0.9770158656454478
C0003850,0.965668635181901,0.9524511474385605,0.9685593140127385
C0011848,0.9735301768990635,0.9718671684095277,1.0
C0004096,0.9652798166060046,0.9501819025624809,1.0
C0000833,0.967603748907364,0.9570634173119477,0.9760745588901876
C0030446,0.9636578280690767,0.9488740208797614,0.969915635851819
C0036974,0.9618001988979833,0.9497880806016024,1.0
C0026764,0.975133631254172,0.9674057999158578,0.9711857971421415
