side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.5,0.4999999999999999,0.2759122624945266
C0000731,tail,0.5,0.4999999999999999,0.2759122624945266
C0000731,both,0.5,0.4999999999999999,0.2759122624945266
C0000737,head,0.6841924997616649,0.6691395762488483,0.6946665827384382
C0000737,tail,0.6985635098293346,0.693520167403479,0.8221259817927559
C0000737,both,0.5690086631830102,0.5502181874051313,0.2814426898187606
C0000768,head,0.8155373987786667,0.7780163766463464,0.7425637430281776
C0000768,tail,0.845560829923879,0.7993310475475828,0.710273593362724
C0000768,both,0.6151950369677913,0.5741549948882841,0.3093580297326672
C0000786,head,0.7953695779469394,0.7731168629168215,0.707382783426087
C0000786,tail,0.8602765641187334,0.8360131341741721,0.8506057646369178
C0000786,both,0.6323589027521284,0.6074237949578133,0.4511897819066856
C0000833,head,0.821028932350919,0.798998171688857,0.8912588051297482
C0000833,tail,0.8651898638082078,0.8330640385073855,0.8248510216239743
C0000833,both,0.6034213876856939,0.5848222418499993,0.5215513725568122
C0001122,head,0.8039284664103904,0.7729238685634776,0.8043809994350305
C0001122,tail,0.8471056126127698,0.8078043495602614,0.7962251795557422
C0001122,both,0.6052386713195635,0.5749283902516803,0.4566014823377986
C0001126,head,0.7996300150306395,0.7692682112520016,0.6752845229376111
C0001126,tail,0.8489998843796971,0.8207422248533047,0.7537634539329018
C0001126,both,0.5882761012833854,0.5821751714142702,0.3777469611693445
C0001339,head,0.8282535280983796,0.8026756021057521,0.930200548359572
C0001339,tail,0.8611460764459017,0.8243494370290629,0.827041400823538
C0001339,both,0.6647062423989206,0.6394559157979365,0.4495821212911752
C0001418,head,0.8281477880408363,0.7896918592324175,0.7390264694209767
C0001418,tail,0.8518509251050931,0.7946597923771428,0.5792763242856974
C0001418,both,0.6055095227201235,0.5879444636866702,0.480726766663835
C0001430,head,0.8726105283795706,0.8529645724504631,0.845437171235504
C0001430,tail,0.8888834427997255,0.8641879388080635,0.8629355259835105
C0001430,both,0.6742966375845506,0.63171655587275,0.4844307149728173
C0001546,head,0.8171595168679716,0.7800398441420253,0.6710347501066865
C0001546,tail,0.9170137442732196,0.9006867863716452,0.8864988539673223
C0001546,both,0.6608704706372345,0.6164224634201823,0.3922418137642048
C0001623,head,0.8275215044695565,0.792480676422102,0.8281587012812003
C0001623,tail,0.8628984651711925,0.8389489067092999,0.8258048584373031
C0001623,both,0.588305363467701,0.5861294168351586,0.5219096954588587
C0001818,head,0.8483947681331747,0.8033222287804478,0.7166296323209252
C0001818,tail,0.8933561236623068,0.8864348107281974,0.8914468242556637
C0001818,both,0.6495986920332937,0.6225714454471438,0.4256699948167672
C0001824,head,0.8162939994759367,0.7711958204335115,0.7235722903889136
C0001824,tail,0.8397458293300726,0.8003281501883548,0.7821635215278304
C0001824,both,0.6188477159577255,0.5870291254623143,0.4023296564247991
C0001948,head,0.8541441561752601,0.8303578098264093,0.8343125513586953
C0001948,tail,0.8556617173936797,0.8347301119016206,0.8784720526199307
C0001948,both,0.6497832922580098,0.6302097889174014,0.5384948833727654
C0001969,head,0.8750957164091708,0.8585885248011121,0.8715228428834064
C0001969,tail,0.8713571460745011,0.8473477883261498,0.8257713910042936
C0001969,both,0.6248367190667087,0.6292475829219576,0.5453274612519637
C0002064,head,0.8229752066115703,0.7870314291811155,0.7427776099975345
C0002064,tail,0.8950413223140496,0.8780705575501828,0.8456392767855229
C0002064,both,0.6720661157024794,0.6454540683004554,0.5146747913624956
C0002103,head,0.8700724309642374,0.8431972524383542,0.917247501611524
C0002103,tail,0.893662290629244,0.8779768565786101,0.915214460756243
C0002103,both,0.6521231326392033,0.6315595547418217,0.4907391942854333
C0002170,head,0.8095744143213315,0.7769981203359851,0.8567163072246846
C0002170,tail,0.8632794074706317,0.8390639545452009,0.8865934632162176
C0002170,both,0.6195334785831406,0.6047127695508239,0.6477809442104675
C0002390,head,0.8136862003780718,0.7751647779799573,0.6457793510429808
C0002390,tail,0.9088846880907372,0.9079542628182724,0.9122042026714337
C0002390,both,0.6749338374291115,0.6503380955978202,0.5393943854063545
C0002453,head,0.8621836260330579,0.8370992542656297,0.838071155515546
C0002453,tail,0.9018917871900828,0.853524363475202,0.7574864466635141
C0002453,both,0.6595751549586777,0.6195410380915751,0.4054786853287987
C0002622,head,0.8182812735777878,0.7796209644360149,0.7512599383814245
C0002622,tail,0.8556989085056085,0.8198641516956089,0.8220647659112315
C0002622,both,0.6234022433479202,0.6017919462111152,0.4782645391456486
C0002726,head,0.8289399092970521,0.7708342421216509,0.6282254834318247
C0002726,tail,0.9063208616780044,0.8878028199927078,0.8243376773590394
C0002726,both,0.6615646258503401,0.6263789317545997,0.4152915660455233
C0002736,head,0.918125,0.9172884617998136,0.8941643317268796
C0002736,tail,0.9046875,0.8592096430619334,0.7910912449873716
C0002736,both,0.745625,0.7669287275281269,0.669398601231855
C0002792,head,0.7965555874748635,0.7735631941740077,0.8468154828148227
C0002792,tail,0.8498707268026429,0.8019323667227467,0.792475041103588
C0002792,both,0.6082418845159437,0.5797842945586718,0.3966636662046883
C0002871,head,0.7953081674331542,0.753653029425658,0.7679723950461169
C0002871,tail,0.8330916970842317,0.7894578638870793,0.7448671631247414
C0002871,both,0.6087542000775558,0.5769146053316613,0.2522135110030053
C0002874,head,0.8153035246871527,0.7491395168209505,0.5889791427424266
C0002874,tail,0.8195345835275557,0.7865727540187191,0.7489268370895215
C0002874,both,0.6105274480978163,0.5797829399518034,0.3569677797096395
C0002878,head,0.8501925425002348,0.8098440697873677,0.7582705674857912
C0002878,tail,0.8297441264474232,0.809922566711083,0.8658471896420585
C0002878,both,0.6181754753183324,0.5883236820096492,0.3905790086336586
C0002884,head,0.7400999615532488,0.7515691301856593,0.53630483464577
C0002884,tail,0.8569780853517878,0.8235462696171946,0.6672625018365251
C0002884,both,0.5470972702806612,0.6067195853689327,0.37905381818938
C0002940,head,0.8739418167159365,0.8288286069455755,0.7387981589051755
C0002940,tail,0.8917125772641763,0.8655444480646248,0.884121405714085
C0002940,both,0.6632457672668638,0.6408916326685915,0.5119946059232939
C0002962,head,0.8340880116059262,0.79722847051376,0.8375778880710492
C0002962,tail,0.8626202688624411,0.8371629216516026,0.9118588251617912
