side_effect,fake_triple_component,AUROC,AUPRC,AP50
C0000731,head,0.6730642684799297,0.7298655964997038,0.8569041914545744
C0000731,tail,0.7178401696278423,0.7533486218484794,0.7515993776515739
C0000731,both,0.5180741390655845,0.5763421488508365,0.36125547275819403
C0000737,head,0.6873444192491811,0.7298998897880222,0.5437530797270014
C0000737,tail,0.7105240614764424,0.759009565694333,0.7703255277704736
C0000737,both,0.5175636180398084,0.602912427742259,0.41328991489801586
C0000768,head,0.6644736842105262,0.7470875588112097,0.6322028937368654
C0000768,tail,0.7734649122807018,0.8221893017585882,0.7324684328422777
C0000768,both,0.5133771929824562,0.5874625648294743,0.34355345391725606
C0000786,head,0.6304347826086957,0.7456042363512765,0.5777393172818172
C0000786,tail,0.6965217391304348,0.8144043814218506,0.650408989167459
C0000786,both,0.4504347826086956,0.6285214087232578,0.41964552217876777
C0000833,head,0.7142427497314715,0.7846158629950778,0.8419173932881846
C0000833,tail,0.7580236305048336,0.7730751757448475,0.6894672291744871
C0000833,both,0.5338775510204082,0.610273932618257,0.4215776651642418
C0001122,head,0.6681203931203931,0.7236662255939189,0.6333582436221099
C0001122,tail,0.7011363636363637,0.7617339367557335,0.6998892815120995
C0001122,both,0.4893120393120393,0.599084228144181,0.3543824630866933
C0001126,head,0.6506410256410257,0.8147696612147551,0.8147696612147555
C0001126,tail,0.7948717948717949,0.878969078272465,0.8789690782724651
C0001126,both,0.41666666666666663,0.6946514433452087,0.6946514433452088
C0001339,head,0.7187852152355195,0.7694541053589792,0.7469707351591289
C0001339,tail,0.704586432274059,0.7612734493840381,0.7873172454901157
C0001339,both,0.47830741491999096,0.5783475414235892,0.3764842692246463
C0001418,head,0.7635281385281385,0.7569298183541348,0.7418098395651889
C0001418,tail,0.7431199752628324,0.7273305194770177,0.5832188087270546
C0001418,both,0.5639687693259122,0.5806338702511311,0.4085407191754495
C0001430,head,0.6971335857220119,0.7274157889649587,0.5544134019225732
C0001430,tail,0.7917793401838832,0.7811621245402035,0.6655072934552048
C0001430,both,0.5262303948080043,0.5622229844589601,0.34105401426508836
C0001546,head,0.6583710407239819,0.7446021317146552,0.7446021317146554
C0001546,tail,0.8212669683257918,0.8642089449684857,0.8642089449684855
C0001546,both,0.47963800904977383,0.5807754573186512,0.5807754573186512
C0001623,head,0.7257326007326007,0.76926563774135,0.6569395574925458
C0001623,tail,0.8070054945054945,0.849230683647556,0.8145053200903893
C0001623,both,0.5501373626373626,0.6098699717679439,0.36675226760698787
C0001818,head,0.6497326203208557,0.8016425256862845,0.7146822874578385
C0001818,tail,0.7393048128342246,0.8709639306972012,0.7832280120588496
C0001818,both,0.5240641711229946,0.734340880264142,0.6353431354367748
C0001824,head,0.6701171874999999,0.6782664814993128,0.5285383883067231
C0001824,tail,0.7171875,0.7608301196335914,0.6387651329032012
