h,r,t,is_real,score
CID000002578,C0000731,CID000004594,1,1.6913402080535889
CID000004679,C0000731,CID000054688,0,1.6913402080535889
CID000003365,C0000731,CID000003929,1,1.5636850595474243
CID000003403,C0000731,CID000083786,0,1.5636850595474243
CID000003658,C0000731,CID005487301,0,1.4676389694213867
CID000002477,C0000731,CID000002541,1,1.4676389694213867
CID000002118,C0000731,CID000004900,1,1.3434967994689941
CID000004091,C0000731,CID000004205,0,1.3434967994689941
CID000004536,C0000731,CID000004583,1,1.3230054378509521
CID000003877,C0000731,CID000004894,0,1.3230054378509521
CID000002088,C0000731,CID000003154,0,1.319398283958435
CID000002520,C0000731,CID000005039,1,1.319398283958435
CID000004409,C0000731,CID000006691,0,1.2855594158172607
CID000002803,C0000731,CID000005002,1,1.2855594158172607
CID000003148,C0000731,CID000003365,1,1.284020185470581
CID000002609,C0000731,CID000003957,0,1.284020185470581
CID000004058,C0000731,CID000004594,1,1.2817039489746094
CID000000942,C0000731,CID000004691,0,1.2817039489746094
CID000004894,C0000731,CID000054688,1,1.266082525253296
CID000002250,C0000731,CID000003385,0,1.266082525253296
CID000002520,C0000731,CID000087177,1,1.2477736473083496
CID000003559,C0000731,CID000004900,0,1.2477736473083496
CID000004170,C0000731,CID000060147,1,1.2223484516143799
CID000002088,C0000731,CID000002676,0,1.2223484516143799
CID000002088,C0000731,CID000002267,1,1.2194362878799438
CID000003419,C0000731,CID000123620,0,1.2194362878799438
CID000003325,C0000731,CID000005732,1,1.213698387145996
CID000004889,C0000731,CID000065999,0,1.213698387145996
CID000002786,C0000731,CID000005358,1,1.1302510499954224
CID000003003,C0000731,CID000005379,0,1.1302510499954224
CID000002171,C0000731,CID000003825,0,1.0898991823196411
CID000005029,C0000731,CID005311048,1,1.0898991823196411
CID000003672,C0000731,CID000667490,1,1.0713170766830444
CID000004091,C0000731,CID000005095,0,1.0713170766830444
CID000003937,C0000731,CID005282226,0,0.9800810813903809
CID000002269,C0000731,CID000003042,1,0.9800810813903809
CID000002771,C0000731,CID000004920,1,0.9708293676376343
CID000002617,C0000731,CID000003467,0,0.9708293676376343
CID000003749,C0000731,CID000216239,0,0.9638867378234863
CID000104865,C0000731,CID003468412,1,0.9638867378234863
CID000002895,C0000731,CID000006691,1,0.9159282445907593
CID000000853,C0000731,CID000003478,0,0.9159282445907593
CID000002678,C0000731,CID000005073,1,0.8760566115379333
CID000002153,C0000731,CID000002656,0,0.8760566115379333
CID000001983,C0000731,CID004475485,0,0.8613319396972656
CID000003440,C0000731,CID000004745,1,0.8613319396972656
CID000123620,C0000731,CID000119607,0,0.8576693534851074
CID000005203,C0000731,CID000005596,1,0.8576693534851074
CID000005656,C0000731,CID000123631,0,0.8520659804344177
CID000002771,C0000731,CID000003393,1,0.8520659804344177
CID000004485,C0000731,CID000005472,0,0.8516842722892761
CID000005391,C0000731,CID000060852,1,0.8516842722892761
CID000001302,C0000731,CID000130881,0,0.839999794960022
CID000003075,C0000731,CID000005038,1,0.839999794960022
CID000004091,C0000731,CID000004168,0,0.8200286030769348
CID000002118,C0000731,CID000004594,1,0.8200286030769348
CID000000838,C0000731,CID000003016,1,0.8021319508552551
CID000002162,C0000731,CID000062924,0,0.8021319508552551
CID000003478,C0000731,CID000004885,0,0.7932331562042236
CID000002477,C0000731,CID000002818,1,0.7932331562042236
CID000004583,C0000731,CID000060835,1,0.7910439372062683
CID000001065,C0000731,CID000003639,0,0.7910439372062683
CID000002576,C0000731,CID000003255,0,0.7715837955474854
CID000003559,C0000731,CID000003658,1,0.7715837955474854
CID000002520,C0000731,CID000004599,0,0.7428408861160278
CID000003062,C0000731,CID000003446,1,0.7428408861160278
CID000000853,C0000731,CID000003899,0,0.7310130596160889
CID000000772,C0000731,CID000005376,1,0.7310130596160889
CID000003143,C0000731,CID000003746,0,0.7007253170013428
CID000002022,C0000731,CID000002162,1,0.7007253170013428
CID000004054,C0000731,CID000060831,0,0.6899889707565308
CID000003222,C0000731,CID000005212,1,0.6899889707565308
CID000005719,C0000731,CID000062924,1,0.6506924629211426
CID000003639,C0000731,CID000003825,0,0.6506924629211426
CID000003333,C0000731,CID000003715,0,0.6136342287063599
CID000002806,C0000731,CID000004909,1,0.6136342287063599
CID000001302,C0000731,CID000062924,1,0.6088324785232544
CID000002806,C0000731,CID006398970,0,0.6088324785232544
CID000024486,C0000731,CID000125889,1,0.5819288492202759
CID000003478,C0000731,CID000004547,0,0.5819288492202759
CID000002156,C0000731,CID000002187,1,0.5710673928260803
CID000003385,C0000731,CID000004674,0,0.5710673928260803
CID000002173,C0000731,CID000005732,0,0.5590105056762695
CID000003488,C0000731,CID000125889,1,0.5590105056762695
CID000002907,C0000731,CID000005372,1,0.5102887153625488
CID000003016,C0000731,CID000004845,0,0.5102887153625488
CID000027661,C0000731,CID000087177,0,0.4930681586265564
CID000001983,C0000731,CID000002141,1,0.4930681586265564
CID000001983,C0000731,CID000006691,1,0.4603535532951355
CID000003658,C0000731,CID000005291,0,0.4603535532951355
CID000003255,C0000731,CID000008953,1,0.401267945766449
CID000004594,C0000731,CID000154059,0,0.401267945766449
CID000000853,C0000731,CID000443871,0,0.3996703624725342
CID000000838,C0000731,CID000003640,1,0.3996703624725342
CID000004419,C0000731,CID000005039,0,0.39142733812332153
CID000005426,C0000731,CID005493381,1,0.39142733812332153
CID000002022,C0000731,CID000003878,0,0.3851861357688904
CID000002462,C0000731,CID000003899,1,0.3851861357688904
CID000001983,C0000731,CID000005672,1,0.3781743049621582
CID000054841,C0000731,CID000119607,0,0.3781743049621582
CID000001983,C0000731,CID000003510,1,0.34581661224365234
CID000004679,C0000731,CID000041693,0,0.34581661224365234
CID000004748,C0000731,CID000054454,0,0.32157444953918457
CID000000450,C0000731,CID000002250,1,0.32157444953918457
CID000003405,C0000731,CID000156419,1,0.3081459403038025
CID000003928,C0000731,CID000004594,0,0.3081459403038025
CID000125017,C0000731,CID000125889,1,0.3045482337474823
CID000002662,C0000731,CID000154059,0,0.3045482337474823
CID000002088,C0000731,CID000005076,0,0.29233378171920776
CID000003661,C0000731,CID000005039,1,0.29233378171920776
CID000002802,C0000731,CID000004539,0,0.2798616290092468
CID000002978,C0000731,CID000004583,1,0.2798616290092468
CID000002656,C0000731,CID000005291,0,0.19556711614131927
CID000004691,C0000731,CID000005426,1,0.19556711614131927
CID000003405,C0000731,CID000003658,0,0.18364040553569794
CID000003016,C0000731,CID000005203,1,0.18364040553569794
CID000002187,C0000731,CID000002250,0,0.16997843980789185
CID000003310,C0000731,CID000005514,1,0.16997843980789185
CID000002269,C0000731,CID000060865,1,0.15816563367843628
CID000003488,C0000731,CID000093860,0,0.15816563367843628
CID000003222,C0000731,CID000004920,1,0.10648465156555176
CID000004585,C0000731,CID000216239,0,0.10648465156555176
CID000002405,C0000731,CID000003461,0,0.09795468300580978
CID000003348,C0000731,CID000005291,1,0.09795468300580978
CID000000444,C0000731,CID000004889,1,0.08630232512950897
CID000004679,C0000731,CID000004595,0,0.08630232512950897
CID000004635,C0000731,CID000024486,1,0.08278331905603409
CID000002656,C0000731,CID000028112,0,0.08278331905603409
CID000004205,C0000731,CID000005035,1,0.06915287673473358
CID000019090,C0000731,CID006398525,0,0.06915287673473358
CID000083786,C0000731,CID000065999,0,0.06041345000267029
CID000002088,C0000731,CID000054374,1,0.06041345000267029
CID000004510,C0000731,CID000005155,0,0.041356801986694336
CID000002666,C0000731,CID000003158,1,0.041356801986694336
CID000003339,C0000731,CID000003958,1,0.028149262070655823
CID000000581,C0000731,CID000003957,0,0.028149262070655823
CID000004170,C0000731,CID000005645,0,-0.02054804563522339
CID000002662,C0000731,CID000003310,1,-0.02054804563522339
CID000002756,C0000731,CID000004599,0,-0.04128965735435486
CID000003958,C0000731,CID000027661,1,-0.04128965735435486
CID000004205,C0000731,CID000004614,0,-0.05138587951660156
CID000003016,C0000731,CID000004674,1,-0.05138587951660156
CID000005002,C0000731,CID000005376,1,-0.06381416320800781
CID000001983,C0000731,CID000003823,0,-0.06381416320800781
CID000003075,C0000731,CID000004819,0,-0.08338905870914459
CID000004510,C0000731,CID000005372,1,-0.08338905870914459
CID000003639,C0000731,CID000004920,1,-0.09610170125961304
CID000002083,C0000731,CID000000143,0,-0.09610170125961304
CID000002666,C0000731,CID000004873,1,-0.12465259432792664
CID000002520,C0000731,CID000004095,0,-0.12465259432792664
CID000005029,C0000731,CID000060852,1,-0.12639552354812622
CID000002656,C0000731,CID000034312,0,-0.12639552354812622
CID000002171,C0000731,CID000005735,0,-0.1650024950504303
CID000004900,C0000731,CID006436173,1,-0.1650024950504303
CID000002803,C0000731,CID000003446,1,-0.18088239431381226
CID000003419,C0000731,CID000005719,0,-0.18088239431381226
CID000002802,C0000731,CID005381226,0,-0.24060869216918945
CID000004510,C0000731,CID000005650,1,-0.24060869216918945
CID000003386,C0000731,CID000005077,0,-0.28082484006881714
CID000003382,C0000731,CID000003440,1,-0.28082484006881714
CID000004449,C0000731,CID000005358,1,-0.3069092929363251
CID000003255,C0000731,CID000130881,0,-0.3069092929363251
CID000003639,C0000731,CID000004539,0,-0.32502928376197815
CID000002802,C0000731,CID000005029,1,-0.32502928376197815
CID000003440,C0000731,CID000004607,1,-0.3279610574245453
CID000003454,C0000731,CID000003793,0,-0.3279610574245453
CID000002142,C0000731,CID000003310,0,-0.3354420065879822
CID000003878,C0000731,CID000005245,1,-0.3354420065879822
CID000002541,C0000731,CID000003308,0,-0.34092313051223755
CID000004205,C0000731,CID000004920,1,-0.34092313051223755
CID000003639,C0000731,CID000005206,0,-0.35107165575027466
CID000005512,C0000731,CID003468412,1,-0.35107165575027466
CID000003325,C0000731,CID000060877,1,-0.3628115653991699
CID000004609,C0000731,CID000077999,0,-0.3628115653991699
CID000005544,C0000731,CID000130881,1,-0.3820924460887909
CID000002802,C0000731,CID000002955,0,-0.3820924460887909
CID000000159,C0000731,CID000003405,1,-0.39553818106651306
CID000003749,C0000731,CID000005496,0,-0.39553818106651306
CID000000453,C0000731,CID000005732,0,-0.40290606021881104
CID000002678,C0000731,CID000005038,1,-0.40290606021881104
CID000002678,C0000731,CID000005523,1,-0.40895184874534607
CID000002311,C0000731,CID000005408,0,-0.40895184874534607
CID000000853,C0000731,CID000003203,0,-0.4365823268890381
CID000001983,C0000731,CID000002973,1,-0.4365823268890381
CID000005372,C0000731,CID000019090,0,-0.43709492683410645
CID000002585,C0000731,CID000005267,1,-0.43709492683410645
CID000002520,C0000731,CID000054374,1,-0.45768141746520996
CID000002265,C0000731,CID000003350,0,-0.45768141746520996
CID000002610,C0000731,CID000005267,0,-0.4609057903289795
CID000003325,C0000731,CID000005184,1,-0.4609057903289795
CID000005656,C0000731,CID000083786,1,-0.4682806730270386
CID000002771,C0000731,CID000004723,0,-0.4682806730270386
CID000003878,C0000731,CID000005719,0,-0.4796198606491089
CID000003308,C0000731,CID000003672,1,-0.4796198606491089
CID000003640,C0000731,CID000216239,1,-0.48422980308532715
CID000001971,C0000731,CID000004259,0,-0.48422980308532715
CID000004909,C0000731,CID000005035,0,-0.4898343086242676
CID000004510,C0000731,CID005311297,1,-0.4898343086242676
CID000002487,C0000731,CID000003883,0,-0.493575781583786
CID000004900,C0000731,CID000004946,1,-0.493575781583786
CID000005376,C0000731,CID000060831,0,-0.498819500207901
CID000003003,C0000731,CID000004991,1,-0.498819500207901
CID000004927,C0000731,CID000060787,0,-0.5438269972801208
CID000003954,C0000731,CID000068740,1,-0.5438269972801208
CID000003658,C0000731,CID004475485,1,-0.5468543171882629
CID000004091,C0000731,CID000213039,0,-0.5468543171882629
CID000003345,C0000731,CID000003746,1,-0.5756902694702148
CID000002609,C0000731,CID000004052,0,-0.5756902694702148
CID000002891,C0000731,CID000004170,1,-0.5887567400932312
CID003468412,C0000731,CID003085017,0,-0.5887567400932312
CID000000942,C0000731,CID000005038,1,-0.6171804666519165
CID000003367,C0000731,CID000005544,0,-0.6171804666519165
CID000002585,C0000731,CID000004034,1,-0.6436547040939331
CID000005291,C0000731,CID000005647,0,-0.6436547040939331
CID000004201,C0000731,CID000064147,0,-0.646181046962738
CID000002678,C0000731,CID000005731,1,-0.646181046962738
CID000003637,C0000731,CID000027661,0,-0.6525850296020508
CID000004107,C0000731,CID000004171,1,-0.6525850296020508
CID000004205,C0000731,CID000041774,0,-0.6558953523635864
CID000005005,C0000731,CID000010631,1,-0.6558953523635864
CID000004666,C0000731,CID000005978,0,-0.6578648090362549
CID000002118,C0000731,CID004475485,1,-0.6578648090362549
CID000002269,C0000731,CID000004112,1,-0.66610187292099
CID000002541,C0000731,CID000003404,0,-0.66610187292099
CID000005245,C0000731,CID000060852,1,-0.6784837245941162
CID000002656,C0000731,CID000004463,0,-0.6784837245941162
CID000003154,C0000731,CID000003652,0,-0.6816694736480713
CID000004917,C0000731,CID000019090,1,-0.6816694736480713
CID000005650,C0000731,CID000034312,1,-0.6958341598510742
CID000005379,C0000731,CID000059708,0,-0.6958341598510742
CID000004159,C0000731,CID000160051,0,-0.6987068057060242
CID000004900,C0000731,CID000005064,1,-0.6987068057060242
CID000003386,C0000731,CID000054547,0,-0.70465087890625
CID000003154,C0000731,CID000003440,1,-0.70465087890625
CID000003676,C0000731,CID000005514,1,-0.709466278553009
CID000005002,C0000731,CID000071329,0,-0.709466278553009
CID000003348,C0000731,CID000003350,1,-0.7315491437911987
CID000004485,C0000731,CID005493381,0,-0.7315491437911987
CID000002656,C0000731,CID000036339,0,-0.7343049645423889
CID000002520,C0000731,CID000004171,1,-0.7343049645423889
CID000003937,C0000731,CID000004745,1,-0.7356057167053223
CID000002153,C0000731,CID000004634,0,-0.7356057167053223
CID000004253,C0000731,CID000005645,1,-0.756188690662384
CID000004173,C0000731,CID000004264,0,-0.756188690662384
CID000000772,C0000731,CID000145068,0,-0.7614082098007202
CID000001302,C0000731,CID000034312,1,-0.7614082098007202
CID000000772,C0000731,CID000005215,0,-0.7671518921852112
CID000004635,C0000731,CID000005512,1,-0.7671518921852112
CID000005245,C0000731,CID000041781,1,-0.7688593864440918
CID000005002,C0000731,CID000074989,0,-0.7688593864440918
CID000002088,C0000731,CID000004536,0,-0.7815953493118286
CID000002173,C0000731,CID000003003,1,-0.7815953493118286
CID000003652,C0000731,CID000077999,1,-0.7956271171569824
CID000002520,C0000731,CID000002405,0,-0.7956271171569824
CID000003386,C0000731,CID000005391,1,-0.8032468557357788
CID000003008,C0000731,CID000005039,0,-0.8032468557357788
CID000005352,C0000731,CID003468412,0,-0.805041491985321
CID000005152,C0000731,CID000005717,1,-0.805041491985321
CID000002249,C0000731,CID000002726,0,-0.8050860166549683
CID000005039,C0000731,CID006447131,1,-0.8050860166549683
CID000002806,C0000731,CID000038904,1,-0.8159561157226562
CID000003639,C0000731,CID000003675,0,-0.8159561157226562
CID000004171,C0000731,CID000005372,1,-0.8357993364334106
CID000003823,C0000731,CID000005372,0,-0.8357993364334106
CID000004253,C0000731,CID000005454,0,-0.8410612344741821
CID000004411,C0000731,CID000004583,1,-0.8410612344741821
CID000005078,C0000731,CID000054841,0,-0.8702428340911865
CID000003158,C0000731,CID003002190,1,-0.8702428340911865
CID000001690,C0000731,CID000002308,0,-0.876383900642395
CID000002088,C0000731,CID000002477,1,-0.876383900642395
CID000003746,C0000731,CID000005556,1,-0.8862017393112183
CID000003676,C0000731,CID005481350,0,-0.8862017393112183
CID000003463,C0000731,CID000091270,0,-0.8956938982009888
CID000005039,C0000731,CID000024011,1,-0.8956938982009888
CID000002803,C0000731,CID000003962,1,-0.9060699939727783
CID000005029,C0000731,CID000004927,0,-0.9060699939727783
CID000004158,C0000731,CID000004856,1,-0.9311372637748718
CID000003640,C0000731,CID000060184,0,-0.9311372637748718
CID000003954,C0000731,CID000005746,0,-0.9630411863327026
CID000004053,C0000731,CID000004253,1,-0.9630411863327026
CID000004635,C0000731,CID001349907,0,-0.982997715473175
CID000004168,C0000731,CID000005408,1,-0.982997715473175
CID000000206,C0000731,CID000060696,0,-1.0013277530670166
CID000005732,C0000731,CID000028112,1,-1.0013277530670166
CID000000838,C0000731,CID000003478,0,-1.0081720352172852
CID000003032,C0000731,CID000123631,1,-1.0081720352172852
CID000004999,C0000731,CID000005523,0,-1.0139631032943726
CID000004635,C0000731,CID000054374,1,-1.0139631032943726
CID000002524,C0000731,CID000003823,0,-1.0147731304168701
CID000002083,C0000731,CID000024011,1,-1.0147731304168701
CID000003419,C0000731,CID000005402,0,-1.018890380859375
CID000003405,C0000731,CID000004889,1,-1.018890380859375
CID000004112,C0000731,CID000009433,0,-1.0253180265426636
CID000000853,C0000731,CID006447131,1,-1.0253180265426636
CID000004440,C0000731,CID000054688,1,-1.0317031145095825
CID000002576,C0000731,CID000002978,0,-1.0317031145095825
CID000160051,C0000731,CID000123620,0,-1.0353591442108154
CID000002249,C0000731,CID000024486,1,-1.0353591442108154
CID000004900,C0000731,CID000004991,1,-1.0489634275436401
CID000003339,C0000731,CID000003379,0,-1.0489634275436401
CID000163742,C0000731,CID000125889,0,-1.0524653196334839
CID000005291,C0000731,CID000060831,1,-1.0524653196334839
CID000002265,C0000731,CID000005735,0,-1.1005241870880127
CID000003121,C0000731,CID000003559,1,-1.1005241870880127
CID000002083,C0000731,CID000504578,0,-1.1063411235809326
CID000003325,C0000731,CID000004595,1,-1.1063411235809326
CID000002909,C0000731,CID000005656,1,-1.118775725364685
CID000002405,C0000731,CID000002891,0,-1.118775725364685
CID000000838,C0000731,CID000170361,1,-1.13176691532135
CID000002662,C0000731,CID000002719,0,-1.13176691532135
CID000001302,C0000731,CID000002171,1,-1.1411192417144775
CID000005650,C0000731,CID000074989,0,-1.1411192417144775
CID000002162,C0000731,CID000028112,1,-1.1431020498275757
CID004475485,C0000731,CID000150310,0,-1.1431020498275757
CID000002666,C0000731,CID000123620,1,-1.1434330940246582
CID000002476,C0000731,CID000003902,0,-1.1434330940246582
CID000003827,C0000731,CID000004091,0,-1.1649277210235596
CID000003405,C0000731,CID000004595,1,-1.1649277210235596
CID000003964,C0000731,CID000170361,0,-1.1737205982208252
CID000002726,C0000731,CID000002818,1,-1.1737205982208252
CID000005039,C0000731,CID000005077,1,-1.1897060871124268
CID000001065,C0000731,CID000000937,0,-1.1897060871124268
CID000004212,C0000731,CID000005291,1,-1.2041815519332886
CID000003158,C0000731,CID005381226,0,-1.2041815519332886
CID000083786,C0000731,CID000060854,0,-1.2122360467910767
CID000003715,C0000731,CID000054688,1,-1.2122360467910767
CID000002022,C0000731,CID000002522,0,-1.2155112028121948
CID000005732,C0000731,CID000104865,1,-1.2155112028121948
CID000004253,C0000731,CID000004425,0,-1.2214070558547974
CID000003339,C0000731,CID000003793,1,-1.2214070558547974
CID000002801,C0000731,CID000004052,0,-1.2220330238342285
CID000004583,C0000731,CID000004635,1,-1.2220330238342285
CID000003157,C0000731,CID000005394,0,-1.2247936725616455
CID000003962,C0000731,CID000005035,1,-1.2247936725616455
CID000004900,C0000731,CID000123620,1,-1.27874755859375
CID000002265,C0000731,CID000003403,0,-1.27874755859375
CID000002818,C0000731,CID000005035,0,-1.2934231758117676
