h,r,t,is_real,score
CID000003419,C0000731,CID000005090,1,2.725994110107422
CID000003365,C0000731,CID000005379,1,2.38581919670105
CID000003957,C0000731,CID000004635,1,2.3659329414367676
CID000002666,C0000731,CID000005203,1,2.3561058044433594
CID000002083,C0000731,CID000005523,1,2.3528153896331787
CID000002520,C0000731,CID000005039,1,2.3066773414611816
CID000002764,C0000731,CID000005379,1,2.2941489219665527
CID000002666,C0000731,CID000003446,1,2.278804302215576
CID000004173,C0000731,CID000004900,1,2.248718023300171
CID000002895,C0000731,CID000005039,1,2.2379016876220703
CID000002771,C0000731,CID000005650,1,2.2366368770599365
CID000003639,C0000731,CID000004889,1,2.234025716781616
CID000004449,C0000731,CID000005358,1,2.2324013710021973
CID000004900,C0000731,CID000123620,1,2.223154067993164
CID000004205,C0000731,CID000005002,1,2.200394630432129
CID000002806,C0000731,CID000005090,1,2.1699447631835938
CID000004449,C0000731,CID000005656,1,2.157560348510742
CID000005005,C0000731,CID000119607,1,2.151153326034546
CID000004585,C0000731,CID000004946,1,2.147500991821289
CID000005090,C0000731,CID000005391,1,2.141695499420166
CID000003222,C0000731,CID000004205,1,2.109496831893921
CID000004917,C0000731,CID000019090,1,2.1046838760375977
CID000002083,C0000731,CID000005005,1,2.104325771331787
CID000002083,C0000731,CID000005544,1,2.098607301712036
CID000002895,C0000731,CID000004946,1,2.0749011039733887
CID000004583,C0000731,CID000054688,1,2.069305658340454
CID000002462,C0000731,CID000005379,1,2.0549473762512207
CID000001983,C0000731,CID000005412,1,2.0519561767578125
CID000002678,C0000731,CID000005650,1,2.047466516494751
CID000003075,C0000731,CID000005090,1,2.045053482055664
CID000003419,C0000731,CID000004585,1,2.041963815689087
CID000002771,C0000731,CID000004927,1,2.0325169563293457
CID000002678,C0000731,CID000005732,1,2.024073839187622
CID000003957,C0000731,CID000005203,1,2.0195059776306152
CID000002803,C0000731,CID000004946,1,2.013981580734253
CID000003652,C0000731,CID000005267,1,2.0126426219940186
CID000002462,C0000731,CID000005650,1,2.0107367038726807
CID000005358,C0000731,CID000005523,1,2.004483222961426
CID000002088,C0000731,CID004183806,1,2.0022099018096924
CID000004107,C0000731,CID000005005,1,2.000962734222412
CID000002895,C0000731,CID000005391,1,1.9930896759033203
